server,model,type,E,I,S,N,T,F,J,P,EI_winner,EI_margin,SN_winner,SN_margin,TF_winner,TF_margin,JP_winner,JP_margin,items_used,items_skipped,valid_predictions,decode_method,path,remote_output_dir
s10_llama_jp,Llama-3.2-3B Base,INFJ,20,22,20,32,17,29,24,20,I,2,N,12,F,12,J,4,184,2,184,logit,/root/autodl-tmp/personality/llama-3B-Instruct,/root/autodl-tmp/personality/MBTI/results/remote_runs/s10_llama_jp
s2_llama_ei,Llama-3.2-3B Base,INFJ,20,22,20,32,17,29,24,20,I,2,N,12,F,12,J,4,184,2,184,logit,/root/autodl-tmp/personality/llama-3B-Instruct,/root/autodl-tmp/personality/mbti_results_remote/s2_llama_ei
s3_llama_ft,Llama-3.2-3B Base,INFJ,20,22,20,32,17,29,24,20,I,2,N,12,F,12,J,4,184,2,184,logit,/root/autodl-tmp/personality/llama-3B-Instruct,/root/autodl-tmp/personality/mbti_results_remote/s3_llama_ft
s2_llama_ei,Llama-3.2-3B E,ENFJ,22,20,21,31,17,29,25,19,E,2,N,10,F,12,J,6,184,2,184,logit,/root/autodl-tmp/personality/dpo_outputs/model_e_3B,/root/autodl-tmp/personality/mbti_results_remote/s2_llama_ei
s2_llama_ei,Llama-3.2-3B I,INFJ,18,24,22,30,17,29,24,20,I,6,N,8,F,12,J,4,184,2,184,logit,/root/autodl-tmp/personality/dpo_outputs/model_i_3B,/root/autodl-tmp/personality/mbti_results_remote/s2_llama_ei
s3_llama_ft,Llama-3.2-3B F,ENFJ,21,21,18,34,8,38,22,22,E,0,N,16,F,30,J,0,184,2,184,logit,/root/autodl-tmp/personality/dpo_outputs/llama-3B-Instruct_F_seed42_20260420,/root/autodl-tmp/personality/mbti_results_remote/s3_llama_ft
s3_llama_ft,Llama-3.2-3B T,INTJ,20,22,24,28,28,18,25,19,I,2,N,4,T,10,J,6,184,2,184,logit,/root/autodl-tmp/personality/dpo_outputs/llama-3B-Instruct_T_seed42_20260420,/root/autodl-tmp/personality/mbti_results_remote/s3_llama_ft
s10_llama_jp,Llama-3.2-3B J,INFJ,20,22,22,30,22,24,24,20,I,2,N,8,F,2,J,4,184,2,184,logit,/root/autodl-tmp/personality/dpo_outputs/model_j_3B,/root/autodl-tmp/personality/MBTI/results/remote_runs/s10_llama_jp
s10_llama_jp,Llama-3.2-3B P,INFJ,20,22,17,35,14,32,22,22,I,2,N,18,F,18,J,0,184,2,184,logit,/root/autodl-tmp/personality/dpo_outputs/model_p_3B,/root/autodl-tmp/personality/MBTI/results/remote_runs/s10_llama_jp
s1_qwen3b_ft,Qwen2.5-3B Base,ENTJ,23,19,20,32,28,18,26,18,E,4,N,12,T,10,J,8,184,2,184,logit,/root/autodl-tmp/personality/qwen2.5-3B-Instruct,/root/autodl-tmp/personality/mbti_results_remote/s1_qwen3b_ft
s7_qwen3b_jp,Qwen2.5-3B Base,ENTJ,23,19,20,32,28,18,26,18,E,4,N,12,T,10,J,8,184,2,184,logit,/root/autodl-tmp/personality/qwen2.5-3B-Instruct,/root/autodl-tmp/personality/mbti_results_remote/s7_qwen3b_jp
