dataset,model_code,model_display,labels,support,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
imdb_sentiment,base,原始基座模型,negative|positive,10000,0.94,0.95,0.94,0.95,0.95,0.94,0.95
imdb_sentiment,j,J性格模型,negative|positive,10000,0.94,0.95,0.94,0.95,0.95,0.94,0.95
imdb_sentiment,p,P性格模型,negative|positive,10000,0.94,0.95,0.94,0.95,0.95,0.94,0.95
mental_sentiment,base,原始基座模型,depression|normal,31747,0.8,0.84,0.8,0.79,0.85,0.8,0.79
mental_sentiment,j,J性格模型,depression|normal,31747,0.79,0.84,0.8,0.79,0.84,0.79,0.79
mental_sentiment,p,P性格模型,depression|normal,31747,0.81,0.85,0.81,0.81,0.85,0.81,0.8
news_sentiment,base,原始基座模型,bearish|bullish|neutral,11931,0.79,0.77,0.77,0.75,0.81,0.79,0.79
news_sentiment,j,J性格模型,bearish|bullish|neutral,11931,0.78,0.76,0.78,0.75,0.81,0.78,0.79
news_sentiment,p,P性格模型,bearish|bullish|neutral,11931,0.8,0.78,0.76,0.75,0.81,0.8,0.8
fiqasa_sentiment,base,原始基座模型,negative|neutral|positive,1173,0.7,0.68,0.74,0.64,0.87,0.7,0.75
fiqasa_sentiment,j,J性格模型,negative|neutral|positive,1173,0.71,0.67,0.73,0.64,0.87,0.71,0.76
fiqasa_sentiment,p,P性格模型,negative|neutral|positive,1173,0.68,0.68,0.73,0.62,0.88,0.68,0.74
imdb_sklearn,base,原始基座模型,negative|positive,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95
imdb_sklearn,j,J性格模型,negative|positive,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95
imdb_sklearn,p,P性格模型,negative|positive,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95
sst2,base,原始基座模型,negative|positive,10000,0.87,0.92,0.88,0.89,0.93,0.87,0.89
sst2,j,J性格模型,negative|positive,10000,0.87,0.92,0.88,0.89,0.92,0.87,0.89
sst2,p,P性格模型,negative|positive,10000,0.87,0.92,0.88,0.89,0.93,0.87,0.89
