dataset,model_code,model_display,labels,support,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
imdb_sentiment,e,E性格模型,negative|positive,10000,0.94,0.94,0.94,0.94,0.94,0.94,0.94
imdb_sentiment,i,I性格模型,negative|positive,10000,0.92,0.93,0.92,0.92,0.93,0.92,0.92
mental_sentiment,e,E性格模型,depression|normal,31747,0.88,0.88,0.88,0.88,0.88,0.88,0.88
mental_sentiment,i,I性格模型,depression|normal,31747,0.87,0.87,0.87,0.87,0.87,0.87,0.87
news_sentiment,e,E性格模型,bearish|bullish|neutral,11931,0.78,0.73,0.77,0.75,0.8,0.78,0.79
news_sentiment,i,I性格模型,bearish|bullish|neutral,11931,0.8,0.77,0.74,0.75,0.8,0.8,0.8
fiqasa_sentiment,e,E性格模型,negative|neutral|positive,1173,0.79,0.64,0.67,0.65,0.81,0.79,0.8
fiqasa_sentiment,i,I性格模型,negative|neutral|positive,1173,0.72,0.61,0.67,0.61,0.81,0.72,0.74
imdb_sklearn,e,E性格模型,negative|positive,10000,0.93,0.94,0.93,0.93,0.94,0.93,0.93
imdb_sklearn,i,I性格模型,negative|positive,10000,0.92,0.92,0.92,0.92,0.93,0.92,0.92
sst2,e,E性格模型,negative|positive,10000,0.8,0.84,0.82,0.8,0.86,0.8,0.8
sst2,i,I性格模型,negative|positive,10000,0.71,0.8,0.74,0.71,0.82,0.71,0.7
