dataset,model_code,model_display,labels,support,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
imdb_sentiment,j,J性格模型,negative|positive,10000,0.93,0.93,0.93,0.93,0.93,0.93,0.93
imdb_sentiment,p,P性格模型,negative|positive,10000,0.93,0.93,0.93,0.93,0.93,0.93,0.93
mental_sentiment,j,J性格模型,depression|normal,31747,0.87,0.87,0.87,0.87,0.88,0.87,0.87
mental_sentiment,p,P性格模型,depression|normal,31747,0.87,0.88,0.87,0.87,0.88,0.87,0.87
news_sentiment,j,J性格模型,bearish|bullish|neutral,11931,0.78,0.73,0.77,0.75,0.8,0.78,0.79
news_sentiment,p,P性格模型,bearish|bullish|neutral,11931,0.8,0.76,0.73,0.75,0.8,0.8,0.8
fiqasa_sentiment,j,J性格模型,negative|neutral|positive,1173,0.79,0.63,0.65,0.64,0.8,0.79,0.79
fiqasa_sentiment,p,P性格模型,negative|neutral|positive,1173,0.73,0.62,0.68,0.62,0.82,0.73,0.75
imdb_sklearn,j,J性格模型,negative|positive,10000,0.93,0.93,0.93,0.93,0.93,0.93,0.93
imdb_sklearn,p,P性格模型,negative|positive,10000,0.93,0.93,0.93,0.93,0.93,0.93,0.93
sst2,j,J性格模型,negative|positive,10000,0.77,0.83,0.79,0.77,0.84,0.77,0.76
sst2,p,P性格模型,negative|positive,10000,0.75,0.82,0.77,0.74,0.83,0.75,0.74
