model_root,pair,dataset,domain,run,model,base_accuracy_strict,base_f1_macro_strict,accuracy_strict,f1_macro_strict,delta_accuracy_strict,delta_f1_macro_strict,delta_acc_bucket,delta_f1_bucket,n_total,source_file
llama-3b_newlayout,ST-NF,fiqasa,finance,avg,NF,0.5140664961636828,0.4598915552665369,0.7664109121909634,0.6178760740605387,0.2523444160272805,0.15798451879400177,improve,improve,1173.0,llama-3b_newlayout/ST-NF/summaries/sentiment.csv
llama-3b_newlayout,ST-NF,imdb,movie,avg,NF,0.9265,0.927965996497824,0.9263,0.9307218150709278,-0.00019999999999997797,0.0027558185731038076,tie,tie,10000.0,llama-3b_newlayout/ST-NF/summaries/sentiment.csv
llama-3b_newlayout,ST-NF,imdb_sklearn,movie,avg,NF,0.9336,0.9335448794648232,0.9344,0.9365407090594796,0.0008000000000000229,0.002995829594656385,tie,tie,10000.0,llama-3b_newlayout/ST-NF/summaries/sentiment.csv
llama-3b_newlayout,ST-NF,mental,mental,avg,NF,0.5971272876177277,0.5481880514291009,0.5382398336850727,0.5004735864382379,-0.05888745393265504,-0.04771446499086296,decline,decline,31747.0,llama-3b_newlayout/ST-NF/summaries/sentiment.csv
llama-3b_newlayout,ST-NF,news,finance,avg,NF,0.600033526108457,0.6044963210398845,0.4023133014835303,0.4508346418976605,-0.19772022462492667,-0.153661679142224,decline,decline,11931.0,llama-3b_newlayout/ST-NF/summaries/sentiment.csv
llama-3b_newlayout,ST-NF,sst2,movie,avg,NF,0.8071,0.829650405547375,0.8751,0.8915933532889913,0.06799999999999995,0.06194294774161624,improve,improve,10000.0,llama-3b_newlayout/ST-NF/summaries/sentiment.csv
llama-3b_newlayout,ST-NF,fiqasa,finance,avg,ST,0.5140664961636828,0.4598915552665369,0.4978687127024723,0.4377313567989506,-0.016197783461210535,-0.022160198467586323,decline,decline,1173.0,llama-3b_newlayout/ST-NF/summaries/sentiment.csv
llama-3b_newlayout,ST-NF,imdb,movie,avg,ST,0.9265,0.927965996497824,0.88995,0.8951125309102369,-0.03654999999999997,-0.03285346558758706,decline,decline,10000.0,llama-3b_newlayout/ST-NF/summaries/sentiment.csv
llama-3b_newlayout,ST-NF,imdb_sklearn,movie,avg,ST,0.9336,0.9335448794648232,0.9004000000000001,0.9029152122252764,-0.033199999999999896,-0.030629667239546854,decline,decline,10000.0,llama-3b_newlayout/ST-NF/summaries/sentiment.csv
llama-3b_newlayout,ST-NF,mental,mental,avg,ST,0.5971272876177277,0.5481880514291009,0.7854757929883138,0.7969543532636801,0.18834850537058612,0.24876630183457926,improve,improve,31747.0,llama-3b_newlayout/ST-NF/summaries/sentiment.csv
