model_root,pair,dataset,domain,run,model_a,model_b,acc_a,acc_b,f1_a,f1_b,adv_acc_a_minus_b,adv_f1_a_minus_b,winner_acc,winner_f1
llama-3b_newlayout,ST-NF,fiqasa,finance,avg,ST,NF,0.4978687127024723,0.7664109121909634,0.4377313567989506,0.6178760740605387,-0.26854219948849106,-0.1801447172615881,NF,NF
llama-3b_newlayout,ST-NF,imdb,movie,avg,ST,NF,0.88995,0.9263,0.8951125309102369,0.9307218150709278,-0.03634999999999999,-0.03560928416069087,NF,NF
llama-3b_newlayout,ST-NF,imdb_sklearn,movie,avg,ST,NF,0.9004000000000001,0.9344,0.9029152122252764,0.9365407090594796,-0.03399999999999992,-0.03362549683420324,NF,NF
llama-3b_newlayout,ST-NF,mental,mental,avg,ST,NF,0.7854757929883138,0.5382398336850727,0.7969543532636801,0.5004735864382379,0.24723595930324116,0.2964807668254422,ST,ST
llama-3b_newlayout,ST-NF,news,finance,avg,ST,NF,0.6972592406336434,0.4023133014835303,0.6731303627632751,0.4508346418976605,0.29494593915011313,0.2222957208656146,ST,ST
llama-3b_newlayout,ST-NF,sst2,movie,avg,ST,NF,0.68455,0.8751,0.7027565867237505,0.8915933532889913,-0.19055,-0.18883676656524073,NF,NF
llama-3b_newlayout,decision,fiqasa,finance,avg,F,T,0.6521739130434783,0.4317988064791134,0.5554494922533697,0.3897006678256151,0.22037510656436488,0.16574882442775463,F,F
llama-3b_newlayout,decision,imdb,movie,avg,F,T,0.9312,0.8967499999999999,0.9342574717149392,0.9020212780945438,0.03445000000000009,0.032236193620395426,F,F
llama-3b_newlayout,decision,imdb_sklearn,movie,avg,F,T,0.9356,0.90325,0.935585375847112,0.9027068766644571,0.03234999999999999,0.03287849918265484,F,F
llama-3b_newlayout,decision,mental,mental,avg,F,T,0.559832425111034,0.5967335496267363,0.4853706358161589,0.5440693202372702,-0.036901124515702266,-0.05869868442111126,T,T
llama-3b_newlayout,decision,news,finance,avg,F,T,0.5442125555276172,0.659668091526276,0.5551737664774236,0.6494256080603952,-0.11545553599865888,-0.09425184158297162,T,T
llama-3b_newlayout,decision,sst2,movie,avg,F,T,0.8576,0.7042999999999999,0.8773311113525764,0.7355681452474598,0.1533000000000001,0.14176296610511652,F,F
llama-3b_newlayout,energy,fiqasa,finance,avg,E,I,0.7578857630008525,0.5358056265984654,0.595157855259749,0.470285018356557,0.2220801364023871,0.12487283690319195,E,E
llama-3b_newlayout,energy,imdb,movie,avg,E,I,0.931,0.9183,0.9322557101002048,0.920310314928281,0.012700000000000045,0.011945395171923834,E,E
llama-3b_newlayout,energy,imdb_sklearn,movie,avg,E,I,0.93735,0.93005,0.9373760831308372,0.9300093645941908,0.007299999999999973,0.007366718536646388,E,E
llama-3b_newlayout,energy,mental,mental,avg,E,I,0.6251614325763064,0.5652345103474344,0.594763245620485,0.4983711551786129,0.05992692222887197,0.09639209044187208,E,E
llama-3b_newlayout,energy,news,finance,avg,E,I,0.4998323694577152,0.6686363255385132,0.5206305283000596,0.6494292286620509,-0.16880395608079796,-0.12879870036199126,I,I
llama-3b_newlayout,energy,sst2,movie,avg,E,I,0.86115,0.77,0.8709661247661735,0.7985884525457474,0.09114999999999995,0.07237767222042613,E,E
llama-3b_newlayout,execution,fiqasa,finance,avg,J,P,0.6602728047740836,0.5895140664961638,0.5398590209395104,0.5069568398439803,0.07075873827791979,0.032902181095530114,J,J
llama-3b_newlayout,execution,imdb,movie,avg,J,P,0.92285,0.9264,0.9236230383323144,0.9303555337751632,-0.003550000000000053,-0.006732495442848818,tie,P
llama-3b_newlayout,execution,imdb_sklearn,movie,avg,J,P,0.933,0.93715,0.9335971097552214,0.939879279738404,-0.004149999999999987,-0.0062821699831826505,tie,P
llama-3b_newlayout,execution,mental,mental,avg,J,P,0.6218540334519798,0.733439380098907,0.5943192263078836,0.7734170753158666,-0.11158534664692721,-0.17909784900798298,P,P
llama-3b_newlayout,execution,news,finance,avg,J,P,0.5933283044170647,0.5630709915346577,0.5944461322522188,0.566368292112998,0.030257312882407073,0.028077840139220767,J,J
llama-3b_newlayout,execution,sst2,movie,avg,J,P,0.7986,0.77965,0.8050620992900875,0.8324579401054599,0.018950000000000022,-0.027395840815372385,J,P
llama-3b_newlayout,information,fiqasa,finance,avg,N,S,0.5515771526001705,0.6035805626598465,0.4854572696297754,0.5004206480257969,-0.052003410059676014,-0.014963378396021465,S,S
llama-3b_newlayout,information,imdb,movie,avg,N,S,0.91325,0.9123,0.9248520077690676,0.9123239707394948,0.0009500000000000064,0.012528037029572836,tie,N
llama-3b_newlayout,information,imdb_sklearn,movie,avg,N,S,0.9342,0.9132,0.93423310689792,0.912860315031966,0.02100000000000002,0.02137279186595409,N,N
llama-3b_newlayout,information,mental,mental,avg,N,S,0.56317132327464,0.6225312627964847,0.4887805819687594,0.5779823474677219,-0.05935993952184471,-0.08920176549896253,S,S
llama-3b_newlayout,information,news,finance,avg,N,S,0.4857514039057916,0.6113485877126812,0.5168150474843185,0.607486408403984,-0.1255971838068896,-0.09067136091966554,S,S
llama-3b_newlayout,information,sst2,movie,avg,N,S,0.7779,0.75875,0.8322306373735404,0.7568940552036891,0.01915,0.07533658216985128,N,N
qwen-3b_newlayout,decision,fiqasa,finance,avg,F,T,0.7928388746803069,0.7024722932651322,0.6376767932922134,0.6056967627951487,0.09036658141517473,0.03198003049706466,F,F
qwen-3b_newlayout,decision,imdb,movie,avg,F,T,0.9359,0.9267,0.9358857659989096,0.9265610351187034,0.009199999999999986,0.009324730880206245,F,F
qwen-3b_newlayout,decision,imdb_sklearn,movie,avg,F,T,0.9252,0.9107,0.9250899174177014,0.9106556960035432,0.014500000000000068,0.014434221414158177,F,F
qwen-3b_newlayout,decision,mental,mental,avg,F,T,0.8709799351119791,0.9095032601505654,0.8708290595454202,0.909180696782071,-0.03852332503858624,-0.038351637236650804,T,T
qwen-3b_newlayout,decision,news,finance,avg,F,T,0.7453692062693823,0.7950716620568268,0.7111373013888578,0.7562167187262708,-0.04970245578744448,-0.04507941733741305,T,T
qwen-3b_newlayout,decision,sst2,movie,avg,F,T,0.8106,0.7084,0.8096787734133709,0.6989326267045294,0.10219999999999996,0.11074614670884153,F,F
qwen-3b_newlayout,energy,fiqasa,finance,avg,E,I,0.7945439045183291,0.7186700767263428,0.6514843484883209,0.6127829750894782,0.07587382779198637,0.03870137339884272,E,E
qwen-3b_newlayout,energy,imdb,movie,avg,E,I,0.9357,0.9247,0.9356775070674463,0.9245492425961388,0.01100000000000001,0.011128264471307547,E,E
qwen-3b_newlayout,energy,imdb_sklearn,movie,avg,E,I,0.9345,0.9184,0.9344852586066013,0.918185140990316,0.016100000000000003,0.016300117616285248,E,E
qwen-3b_newlayout,energy,mental,mental,avg,E,I,0.8764922669858569,0.8664125744164803,0.8764397233283066,0.8662239948028801,0.010079692569376575,0.010215728525426404,E,E
qwen-3b_newlayout,energy,news,finance,avg,E,I,0.7829184477411785,0.801357807392507,0.7484372080395824,0.7495360996063801,-0.01843935965132848,-0.0010988915667977661,I,tie
qwen-3b_newlayout,energy,sst2,movie,avg,E,I,0.8001,0.7148,0.7988573889011605,0.7061132160909569,0.08530000000000004,0.09274417281020364,E,E
qwen-3b_newlayout,execution,fiqasa,finance,avg,J,P,0.7894288150042625,0.7297527706734868,0.6354356250639531,0.6228626850946063,0.05967604433077578,0.01257293996934683,J,J
qwen-3b_newlayout,execution,imdb,movie,avg,J,P,0.9319,0.9308,0.9318390634411068,0.9307401345426932,0.0010999999999999899,0.0010989288984135648,tie,tie
qwen-3b_newlayout,execution,imdb_sklearn,movie,avg,J,P,0.9296,0.9268,0.9295239009464108,0.9267127691626648,0.0028000000000000247,0.002811131783746035,tie,tie
qwen-3b_newlayout,execution,mental,mental,avg,J,P,0.867735534066211,0.8706019466406275,0.8675636630440682,0.8704982552698288,-0.0028664125744165547,-0.002934592225760646,tie,tie
qwen-3b_newlayout,execution,news,finance,avg,J,P,0.7817450339451848,0.7985080881736653,0.7466888180904507,0.7472150315428562,-0.016763054228480456,-0.000526213452405444,P,tie
qwen-3b_newlayout,execution,sst2,movie,avg,J,P,0.7705,0.7454,0.7674134795597936,0.7406896278802304,0.02510000000000001,0.02672385167956315,J,J
qwen-3b_newlayout,information,fiqasa,finance,avg,N,S,0.7595907928388747,0.7689684569479965,0.6378668580738237,0.6441622069943894,-0.009377664109121886,-0.006295348920565713,S,S
qwen-3b_newlayout,information,imdb,movie,avg,N,S,0.9338,0.9277,0.9337673579046696,0.927588160638224,0.006099999999999994,0.0061791972664455574,N,N
qwen-3b_newlayout,information,imdb_sklearn,movie,avg,N,S,0.9295,0.9264,0.9294884086045874,0.9262452891683712,0.0030999999999999917,0.0032431194362161353,tie,tie
qwen-3b_newlayout,information,mental,mental,avg,N,S,0.8378429457901534,0.8949192049642486,0.8368013402389158,0.8949431117426208,-0.0570762591740952,-0.05814177150370492,S,S
qwen-3b_newlayout,information,news,finance,avg,N,S,0.7789791299974855,0.8012739921213645,0.7374131437165977,0.7584995293104501,-0.02229486212387899,-0.02108638559385234,S,S
qwen-3b_newlayout,information,sst2,movie,avg,N,S,0.7576,0.7645,0.7537243303973573,0.7610515912286233,-0.006899999999999906,-0.007327260831266003,S,S
qwen-7b_newlayout,decision,fiqasa,finance,avg,F,T,0.7306052855924978,0.6555839727195226,0.6562452049819567,0.6121031516890839,0.0750213128729752,0.044142053292872796,F,F
qwen-7b_newlayout,decision,imdb,movie,avg,F,T,0.9453,0.9404,0.9472871084639938,0.941567398802251,0.0049000000000000155,0.005719709661742733,tie,F
qwen-7b_newlayout,decision,imdb_sklearn,movie,avg,F,T,0.947,0.9414,0.9494205918898344,0.942715230505326,0.005599999999999938,0.00670536138450839,F,F
qwen-7b_newlayout,decision,mental,mental,avg,F,T,0.8083598450247268,0.8666330676914354,0.8047192259107003,0.8660651775380782,-0.058273222666708646,-0.06134595162737788,T,T
qwen-7b_newlayout,decision,news,finance,avg,F,T,0.752828765401056,0.795323107870254,0.7317573548274301,0.7463662000093098,-0.04249434246919792,-0.01460884518187966,T,T
qwen-7b_newlayout,decision,sst2,movie,avg,F,T,0.8951,0.8399,0.9116279698117116,0.8701925670674756,0.05520000000000003,0.04143540274423596,F,F
qwen-7b_newlayout,energy,fiqasa,finance,avg,E,I,0.7263427109974424,0.6692242114236999,0.6545848822241199,0.620902591396088,0.05711849957374249,0.03368229082803187,E,E
