model_root,pair,model,domain,n_datasets,n_improve_acc,n_decline_acc,n_tie_acc,improve_rate_acc,mean_delta_acc,median_delta_acc,n_improve_f1,n_decline_f1,n_tie_f1,improve_rate_f1,mean_delta_f1,median_delta_f1
llama-3b_newlayout,ST-NF,NF,finance,2,1,1,0,0.5,0.02731209570117693,0.02731209570117693,1,1,0,0.5,0.002161419825888883,0.002161419825888883
llama-3b_newlayout,ST-NF,NF,mental,1,0,1,0,0.0,-0.05888745393265504,-0.05888745393265504,0,1,0,0.0,-0.04771446499086296,-0.04771446499086296
llama-3b_newlayout,ST-NF,NF,movie,3,1,0,2,0.3333333333333333,0.022866666666666664,0.0008000000000000229,1,0,2,0.3333333333333333,0.022564865303125476,0.002995829594656385
llama-3b_newlayout,ST-NF,ST,finance,2,1,1,0,0.5,0.04051396553198797,0.04051396553198797,1,1,0,0.5,0.02323692162790214,0.02323692162790214
llama-3b_newlayout,ST-NF,ST,mental,1,1,0,0,1.0,0.18834850537058612,0.18834850537058612,1,0,0,1.0,0.24876630183457926,0.24876630183457926
llama-3b_newlayout,ST-NF,ST,movie,3,0,3,0,0.0,-0.06409999999999998,-0.03654999999999997,0,3,0,0.0,-0.06345898388358613,-0.03285346558758706
llama-3b_newlayout,decision,F,finance,2,1,1,0,0.5,0.041143223149477826,0.041143223149477826,1,1,0,0.5,0.02311769121218593,0.02311769121218593
llama-3b_newlayout,decision,F,mental,1,0,1,0,0.0,-0.03729486250669367,-0.03729486250669367,0,1,0,0.0,-0.06281741561294196,-0.06281741561294196
llama-3b_newlayout,decision,F,movie,3,1,0,2,0.3333333333333333,0.019066666666666676,0.0047000000000000375,2,0,1,0.6666666666666666,0.018670892468201788,0.006291475217115261
llama-3b_newlayout,decision,T,finance,2,1,1,0,0.5,-0.011316562133375174,-0.011316562133375174,1,1,0,0.5,-0.012630800210205573,-0.012630800210205573
llama-3b_newlayout,decision,T,mental,1,0,0,1,0.0,-0.00039373799099140516,-0.00039373799099140516,0,0,1,0.0,-0.004118731191830705,-0.004118731191830705
llama-3b_newlayout,decision,T,movie,3,0,3,0,0.0,-0.05430000000000005,-0.030349999999999988,0,3,0,0.0,-0.05028832716785381,-0.030838002800366082
