dataset,df,effect_cramers_v,effect_js,effect_tv,labels,model,model_root,n_dropped,n_total,n_used,p_value,pair,run,source_file,statistic,test
imdb,2,0.1110170755451428,0.0006792533084597563,0.024800000000000027,positive|negative|neutral,F,llama-3b_newlayout,0,10000,10000,2.979288148736876e-54,decision,run-001,llama-3b_newlayout/decision/summaries/sentiment_significance.csv,246.49582125191884,stuart_maxwell
imdb,2,0.09582713674883583,0.0007199430880659276,0.020000000000000028,positive|negative|neutral,F,llama-3b_newlayout,0,10000,10000,1.3165337620843117e-40,decision,run-002,llama-3b_newlayout/decision/summaries/sentiment_significance.csv,183.65680274960167,stuart_maxwell
imdb,2,0.14279669259352412,0.003797214410620271,0.0406,positive|negative|neutral,T,llama-3b_newlayout,0,10000,10000,2.7763000388850214e-89,decision,run-001,llama-3b_newlayout/decision/summaries/sentiment_significance.csv,407.8179083129885,stuart_maxwell
imdb,2,0.13872237803650664,0.0026188956699631856,0.038599999999999975,positive|negative|neutral,T,llama-3b_newlayout,0,10000,10000,2.6595744544494623e-84,decision,run-002,llama-3b_newlayout/decision/summaries/sentiment_significance.csv,384.8779633620692,stuart_maxwell
mental,1,0.16082167750750267,0.0012825189574891451,0.02814569536423845,normal|depression,F,llama-3b_newlayout,339,31747,31408,2.654879962867571e-220,decision,run-001,llama-3b_newlayout/decision/summaries/sentiment_significance.csv,962.0,mcnemar_exact
mental,1,0.24880811349175735,0.007110994097070077,0.06203252808809956,normal|depression,F,llama-3b_newlayout,328,31747,31419,0.0,decision,run-002,llama-3b_newlayout/decision/summaries/sentiment_significance.csv,1953.0,mcnemar_exact
mental,1,0.030491287859465536,2.7186954606567195e-05,0.004260054045461731,normal|depression,T,llama-3b_newlayout,292,31747,31455,7.122484821297147e-08,decision,run-001,llama-3b_newlayout/decision/summaries/sentiment_significance.csv,614.0,mcnemar_exact
mental,1,0.03359961947422846,2.8470706376736675e-05,0.004359170166730292,normal|depression,T,llama-3b_newlayout,319,31747,31428,2.7567895257476673e-09,decision,run-002,llama-3b_newlayout/decision/summaries/sentiment_significance.csv,529.0,mcnemar_exact
news,2,0.1471534031702919,0.001719147095935472,0.046266029670605946,neutral|bearish|bullish,F,llama-3b_newlayout,0,11931,11931,6.276178609543423e-113,decision,run-001,llama-3b_newlayout/decision/summaries/sentiment_significance.csv,516.7107084294488,stuart_maxwell
news,2,0.19207547078691145,0.007977298869660655,0.0875031430726678,neutral|bearish|bullish,F,llama-3b_newlayout,0,11931,11931,6.86280455654759e-192,decision,run-002,llama-3b_newlayout/decision/summaries/sentiment_significance.csv,880.3404433383622,stuart_maxwell
news,2,0.2213439526207208,0.007580472949719936,0.09865057413460736,neutral|bearish|bullish,T,llama-3b_newlayout,0,11931,11931,1.3762966559794678e-254,decision,run-001,llama-3b_newlayout/decision/summaries/sentiment_significance.csv,1169.0744346224099,stuart_maxwell
news,2,0.21310013125830865,0.006978797828193502,0.09513033274662647,neutral|bearish|bullish,T,llama-3b_newlayout,0,11931,11931,4.970376485819778e-236,decision,run-002,llama-3b_newlayout/decision/summaries/sentiment_significance.csv,1083.6131727153625,stuart_maxwell
fiqasa,2,0.28534171385403234,0.025867965589512196,0.1628303495311168,positive|negative|neutral,F,llama-3b_newlayout,0,1173,1173,3.330220894647826e-42,decision,run-001,llama-3b_newlayout/decision/summaries/sentiment_significance.csv,191.0110705384571,stuart_maxwell
