model_root,pair,model,dataset,test,n_rows,n_sig_p_lt_0.05,sig_rate,p_min,p_median,p_max,effect_cramers_v_median,effect_tv_median,effect_js_median
llama-3b_newlayout,ST-NF,NF,fiqasa,stuart_maxwell,2,2,1.0,2.0775905525745766e-84,2.9742167594027034e-81,5.946355928252832e-81,0.4010698524807432,0.3158567774936061,0.11164176997523328
llama-3b_newlayout,ST-NF,NF,imdb,stuart_maxwell,2,2,1.0,4.4730754407449404e-123,2.1538841381985545e-119,4.3073209688530346e-119,0.16646760169484426,0.05535,0.0031010059492821472
llama-3b_newlayout,ST-NF,NF,imdb_sklearn,stuart_maxwell,2,2,1.0,3.3036072487483526e-141,5.24213980880433e-139,1.0451243545121177e-138,0.17904875980449403,0.06474999999999999,0.005216963946119789
llama-3b_newlayout,ST-NF,NF,mental,mcnemar_exact,2,2,1.0,2.6918946107268347e-34,9.925566733588935e-16,1.985113346717787e-15,0.057974896565946274,0.014954984375797016,0.0003572492878597825
llama-3b_newlayout,ST-NF,NF,news,stuart_maxwell,2,2,1.0,0.0,0.0,0.0,0.3813080486468714,0.2912580672198475,0.06569827722112032
llama-3b_newlayout,ST-NF,NF,sst2,stuart_maxwell,2,2,1.0,0.0,0.0,0.0,0.2698672529634728,0.14254999999999998,0.014958635158259933
llama-3b_newlayout,ST-NF,ST,fiqasa,stuart_maxwell,2,2,1.0,4.498419322019669e-19,3.4060175930520455e-11,6.812035141119897e-11,0.16552276352088763,0.06862745098039215,0.003558510563841083
llama-3b_newlayout,ST-NF,ST,imdb,stuart_maxwell,2,2,1.0,5.850347277495003e-115,4.335684029153528e-112,8.66551771102956e-112,0.16104894853699103,0.05209999999999998,0.004120798194244621
llama-3b_newlayout,ST-NF,ST,imdb_sklearn,stuart_maxwell,2,2,1.0,3.6436046702150605e-112,5.137731235100098e-110,1.0239026423498045e-109,0.15930145180481486,0.050850000000000006,0.005274669007153528
llama-3b_newlayout,ST-NF,ST,mental,mcnemar_exact,2,2,1.0,0.0,0.0,0.0,0.5430853822387729,0.2962626744840827,0.07971166029300628
llama-3b_newlayout,ST-NF,ST,news,stuart_maxwell,2,2,1.0,0.0,0.0,0.0,0.3032798424438658,0.1839745201575727,0.0296122679427207
llama-3b_newlayout,ST-NF,ST,sst2,stuart_maxwell,2,2,1.0,7.338532596397326e-307,1.4139129982722262e-295,2.827825996537114e-295,0.2629633938356595,0.13735000000000003,0.016796455219682288
llama-3b_newlayout,decision,F,fiqasa,stuart_maxwell,2,2,1.0,3.691829002133728e-45,1.6669563618249797e-42,3.330220894647826e-42,0.2903368465728053,0.16837169650468883,0.027484108591403163
llama-3b_newlayout,decision,F,imdb,stuart_maxwell,2,2,1.0,2.979288148736876e-54,6.582668810421707e-41,1.3165337620843117e-40,0.10342210614698932,0.022400000000000028,0.000699598198262842
llama-3b_newlayout,decision,F,imdb_sklearn,stuart_maxwell,2,2,1.0,4.679172641186482e-31,7.246326212003207e-21,1.4492652423538497e-20,0.07557800147029747,0.013899999999999968,0.00014260128953267346
llama-3b_newlayout,decision,F,mental,mcnemar_exact,2,2,1.0,0.0,1.3274399814337855e-220,2.654879962867571e-220,0.20481489549963,0.045089111726169,0.004196756527279611
llama-3b_newlayout,decision,F,news,stuart_maxwell,2,2,1.0,6.86280455654759e-192,3.1380893047717117e-113,6.276178609543423e-113,0.16961443697860168,0.06688458637163687,0.0048482229827980635
llama-3b_newlayout,decision,F,sst2,stuart_maxwell,2,2,1.0,2.875505692098979e-172,1.4147766929293544e-169,2.8266778801666097e-169,0.19787256347447396,0.07639999999999997,0.00471950920482141
llama-3b_newlayout,decision,T,fiqasa,stuart_maxwell,2,2,1.0,1.4042596014979176e-37,1.6010422067931956e-19,3.2020844135863912e-19,0.22975037785418723,0.10187553282182436,0.015292137891486667
llama-3b_newlayout,decision,T,imdb,stuart_maxwell,2,2,1.0,2.7763000388850214e-89,1.3298011087249257e-84,2.6595744544494623e-84,0.1407595353150154,0.03959999999999998,0.0032080550402917283
llama-3b_newlayout,decision,T,imdb_sklearn,stuart_maxwell,2,2,1.0,2.402728460984503e-107,4.251477067652122e-93,8.50295413530422e-93,0.15114329697276715,0.04575,0.0015369235594678721
llama-3b_newlayout,decision,T,mental,mcnemar_exact,2,2,1.0,2.7567895257476673e-09,3.699081886935957e-08,7.122484821297147e-08,0.032045453666846996,0.004309612106096011,2.7828830491651935e-05
llama-3b_newlayout,decision,T,news,stuart_maxwell,2,2,1.0,1.3762966559794678e-254,2.485188242909889e-236,4.970376485819778e-236,0.21722204193951472,0.09689045344061692,0.007279635388956719
llama-3b_newlayout,decision,T,sst2,stuart_maxwell,2,2,1.0,6.302095320230546e-303,2.930634041939142e-190,5.861268083878284e-190,0.2362639956354606,0.11065000000000001,0.015320077998500936
llama-3b_newlayout,energy,E,fiqasa,stuart_maxwell,2,2,1.0,4.949455520108961e-83,1.0232056436794094e-81,1.996916732157729e-81,0.39998080029792593,0.2911338448422848,0.12381598451714837
llama-3b_newlayout,energy,E,imdb,stuart_maxwell,2,2,1.0,1.3510252550844588e-27,3.381936352269993e-23,6.763737602014477e-23,0.07505230386968591,0.012099999999999991,0.0001257708360968502
llama-3b_newlayout,energy,E,imdb_sklearn,stuart_maxwell,2,2,1.0,1.6557155274518677e-23,2.969868830865412e-19,5.939572090178079e-19,0.06860414541597044,0.011049999999999982,0.00013800958920570267
llama-3b_newlayout,energy,E,mental,mcnemar_exact,2,2,1.0,0.0,0.0,0.0,0.19429946429152184,0.038996252283093814,0.0020320483320586885
llama-3b_newlayout,energy,E,news,stuart_maxwell,2,2,1.0,0.0,0.0,0.0,0.2490347099592124,0.1215740507920543,0.014363562275297944
llama-3b_newlayout,energy,E,sst2,stuart_maxwell,2,2,1.0,3.778449161449957e-153,9.764723659159685e-146,1.9529446940474452e-145,0.18494004729495028,0.06364999999999998,0.007517241419794989
llama-3b_newlayout,energy,I,fiqasa,stuart_maxwell,2,2,1.0,9.083557353938467e-13,6.878728074443128e-08,1.3757365313312716e-07,0.13490090268449723,0.06223358908780903,0.0038588226809532257
llama-3b_newlayout,energy,I,imdb,stuart_maxwell,2,2,1.0,5.0531455234330976e-26,1.4731204407402159e-25,2.440926329137122e-25,0.0758004138647138,0.012099999999999979,0.0001908277878297298
