pair,dataset,run,model,labels,n_total,count_positive,ratio_positive,count_negative,ratio_negative,count_neutral,ratio_neutral,accuracy_strict,precision_macro_strict,recall_macro_strict,f1_macro_strict,precision_weighted_strict,recall_weighted_strict,f1_weighted_strict,support_strict,accuracy_neutral,precision_macro_neutral,recall_macro_neutral,f1_macro_neutral,precision_weighted_neutral,recall_weighted_neutral,f1_weighted_neutral,support_neutral,count_normal,ratio_normal,count_depression,ratio_depression,count_bearish,ratio_bearish,count_bullish,ratio_bullish
ST-NF,imdb,run-001,BASE,positive|negative|neutral,10000.0,4623.0,0.4623,5343.0,0.5343,34.0,0.0034,0.9265,0.9318787625721695,0.9265,0.927965996497824,0.9318787625721696,0.9265,0.9279659964978239,10000,0.9265,0.9318787625721695,0.9265,0.927965996497824,0.9318787625721696,0.9265,0.9279659964978239,10000,,,,,,,,
ST-NF,imdb,run-001,NF,positive|negative|neutral,10000.0,5119.0,0.5119,4798.0,0.4798,83.0,0.0083,0.9273,0.9355091425164861,0.9273,0.93114239992951,0.9355091425164861,0.9273,0.9311423999295101,10000,0.9273,0.9355091425164861,0.9273,0.93114239992951,0.9355091425164861,0.9273,0.9311423999295101,10000,,,,,,,,
ST-NF,imdb,run-001,ST,positive|negative|neutral,10000.0,4095.0,0.4095,5771.0,0.5771,134.0,0.0134,0.8895,0.912929283696915,0.8895,0.8944684454710077,0.912929283696915,0.8895,0.8944684454710077,10000,0.8895,0.912929283696915,0.8895,0.8944684454710077,0.912929283696915,0.8895,0.8944684454710077,10000,,,,,,,,
ST-NF,imdb,run-002,BASE,positive|negative|neutral,10000.0,4623.0,0.4623,5343.0,0.5343,34.0,0.0034,0.9265,0.9318787625721695,0.9265,0.927965996497824,0.9318787625721696,0.9265,0.9279659964978239,10000,0.9265,0.9318787625721695,0.9265,0.927965996497824,0.9318787625721696,0.9265,0.9279659964978239,10000,,,,,,,,
ST-NF,imdb,run-002,NF,positive|negative|neutral,10000.0,5111.0,0.5111,4781.0,0.4781,108.0,0.0108,0.9253,0.9358806959868662,0.9253,0.9303012302123457,0.9358806959868662,0.9253,0.9303012302123458,10000,0.9253,0.9358806959868662,0.9253,0.9303012302123457,0.9358806959868662,0.9253,0.9303012302123458,10000,,,,,,,,
ST-NF,imdb,run-002,ST,positive|negative|neutral,10000.0,4109.0,0.4109,5749.0,0.5749,142.0,0.0142,0.8904,0.9140784893611176,0.8904,0.8957566163494661,0.9140784893611177,0.8904,0.8957566163494659,10000,0.8904,0.9140784893611176,0.8904,0.8957566163494661,0.9140784893611177,0.8904,0.8957566163494659,10000,,,,,,,,
ST-NF,imdb,avg,BASE,positive|negative|neutral,10000.0,4623.0,0.4623,5343.0,0.5343,34.0,0.0034,0.9265,0.9318787625721695,0.9265,0.927965996497824,0.9318787625721696,0.9265,0.9279659964978239,10000,0.9265,0.9318787625721695,0.9265,0.927965996497824,0.9318787625721696,0.9265,0.9279659964978239,10000,,,,,,,,
ST-NF,imdb,avg,NF,positive|negative|neutral,10000.0,5115.0,0.5115,4789.5,0.47895,95.5,0.00955,0.9263,0.9356949192516761,0.9263,0.9307218150709278,0.9356949192516761,0.9263,0.930721815070928,10000,0.9263,0.9356949192516761,0.9263,0.9307218150709278,0.9356949192516761,0.9263,0.930721815070928,10000,,,,,,,,
ST-NF,imdb,avg,ST,positive|negative|neutral,10000.0,4102.0,0.4102,5760.0,0.576,138.0,0.0138,0.88995,0.9135038865290163,0.88995,0.8951125309102369,0.9135038865290164,0.88995,0.8951125309102368,10000,0.88995,0.9135038865290163,0.88995,0.8951125309102369,0.9135038865290164,0.88995,0.8951125309102368,10000,,,,,,,,
ST-NF,mental,run-001,BASE,normal|depression|neutral,31747.0,,,,,262.0,0.00825274829117712,0.5971272876177277,0.7370436852209301,0.6076081043593938,0.5481880514291009,0.7426188550063219,0.5971272876177277,0.5437367980253128,31747,0.5971272876177277,0.7370436852209301,0.6076081043593938,0.5481880514291009,0.7426188550063219,0.5971272876177277,0.5437367980253128,31747,4472.0,0.14086370365703846,27013.0,0.8508835480517845,,,,
