pair,dataset,run,model,test,statistic,df,p_value,effect_cramers_v,effect_tv,effect_js,n_total,n_used,n_dropped,labels
ST-NF,imdb,run-001,NF,stuart_maxwell,545.0946198807853,2,4.3073209688530346e-119,0.16509006933804124,0.054500000000000014,0.0027315800925023725,10000,10000,0,positive|negative|neutral
ST-NF,imdb,run-002,NF,stuart_maxwell,563.4397804963087,2,4.4730754407449404e-123,0.16784513405164725,0.05619999999999999,0.0034704318060619225,10000,10000,0,positive|negative|neutral
ST-NF,imdb,run-001,ST,stuart_maxwell,526.0615693423182,2,5.850347277495003e-115,0.16218223844526228,0.05279999999999998,0.004044705313014013,10000,10000,0,positive|negative|neutral
ST-NF,imdb,run-002,ST,stuart_maxwell,511.4603574931449,2,8.66551771102956e-112,0.15991565862871981,0.05139999999999999,0.00419689107547523,10000,10000,0,positive|negative|neutral
ST-NF,mental,run-001,NF,mcnemar_exact,2002.0,1,2.6918946107268347e-34,0.07017045391414797,0.018120648879117934,0.0005042495402954152,31747,30021,1726,normal|depression
ST-NF,mental,run-002,NF,mcnemar_exact,1997.0,1,1.985113346717787e-15,0.04577933921774457,0.011789319872476098,0.00021024903542414975,31747,30112,1635,normal|depression
ST-NF,mental,run-001,ST,mcnemar_exact,8879.0,1,0.0,0.5356225900803824,0.2883203341709363,0.07595909377940015,31747,30643,1104,normal|depression
ST-NF,mental,run-002,ST,mcnemar_exact,9388.0,1,0.0,0.5505481743971635,0.30420501479722917,0.08346422680661239,31747,30749,998,normal|depression
ST-NF,news,run-001,NF,stuart_maxwell,3462.664530951786,2,0.0,0.380935799405164,0.29067136032185065,0.0655279834564312,11931,11931,0,neutral|bearish|bullish
ST-NF,news,run-002,NF,stuart_maxwell,3476.2125758396496,2,0.0,0.38168029788857877,0.29184477411784426,0.06586857098580945,11931,11931,0,neutral|bearish|bullish
ST-NF,news,run-001,ST,stuart_maxwell,2211.335031183349,2,0.0,0.3044204700946741,0.18539937976699356,0.03004767735405607,11931,11931,0,neutral|bearish|bullish
ST-NF,news,run-002,ST,stuart_maxwell,2178.316764272392,2,0.0,0.3021392147930575,0.18254966054815186,0.02917685853138533,11931,11931,0,neutral|bearish|bullish
ST-NF,fiqasa,run-001,NF,stuart_maxwell,369.45322789923364,2,5.946355928252832e-81,0.3968402629906007,0.3086104006820119,0.10645421763757582,1173,1173,0,positive|negative|neutral
ST-NF,fiqasa,run-002,NF,stuart_maxwell,385.3718779548442,2,2.0775905525745766e-84,0.4052994419708858,0.3231031543052003,0.11682932231289075,1173,1173,0,positive|negative|neutral
ST-NF,fiqasa,run-001,ST,stuart_maxwell,84.49078138718174,2,4.498419322019669e-19,0.18977572506972057,0.08184143222506392,0.004889501872809399,1173,1173,0,positive|negative|neutral
ST-NF,fiqasa,run-002,ST,stuart_maxwell,46.81949020287844,2,6.812035141119897e-11,0.1412698019720547,0.05541346973572038,0.0022275192548727677,1173,1173,0,positive|negative|neutral
ST-NF,imdb_sklearn,run-001,NF,stuart_maxwell,635.4252139106165,2,1.0451243545121177e-138,0.17824494577836095,0.0642,0.004984043154712715,10000,10000,0,positive|negative|neutral
ST-NF,imdb_sklearn,run-002,NF,stuart_maxwell,646.9389662700233,2,3.3036072487483526e-141,0.17985257383062708,0.06529999999999998,0.005449884737526863,10000,10000,0,positive|negative|neutral
ST-NF,imdb_sklearn,run-001,ST,stuart_maxwell,513.193113859374,2,3.6436046702150605e-112,0.16018631556087648,0.05149999999999999,0.005226099330320047,10000,10000,0,positive|negative|neutral
ST-NF,imdb_sklearn,run-002,ST,stuart_maxwell,501.91630738016784,2,1.0239026423498045e-109,0.15841658804875325,0.050200000000000015,0.005323238683987009,10000,10000,0,positive|negative|neutral
ST-NF,sst2,run-001,NF,stuart_maxwell,1441.6981403186737,2,0.0,0.2684863255660029,0.1411,0.014655475324082307,10000,10000,0,positive|negative|neutral
ST-NF,sst2,run-002,NF,stuart_maxwell,1471.5115069824496,2,0.0,0.27124818036094267,0.14399999999999996,0.015261794992437558,10000,10000,0,positive|negative|neutral
ST-NF,sst2,run-001,ST,stuart_maxwell,1409.800969290558,2,7.338532596397326e-307,0.26549962046023323,0.13990000000000005,0.017346977247356534,10000,10000,0,positive|negative|neutral
ST-NF,sst2,run-002,ST,stuart_maxwell,1356.446188431816,2,2.827825996537114e-295,0.2604271672110857,0.13480000000000003,0.016245933192008045,10000,10000,0,positive|negative|neutral
