pair,dataset,run,model,test,statistic,df,p_value,effect_cramers_v,effect_tv,effect_js,n_total,n_used,n_dropped,labels
decision,imdb,run-001,F,stuart_maxwell,246.49582125191884,2,2.979288148736876e-54,0.1110170755451428,0.024800000000000027,0.0006792533084597563,10000,10000,0,positive|negative|neutral
decision,imdb,run-002,F,stuart_maxwell,183.65680274960167,2,1.3165337620843117e-40,0.09582713674883583,0.020000000000000028,0.0007199430880659276,10000,10000,0,positive|negative|neutral
decision,imdb,run-001,T,stuart_maxwell,407.8179083129885,2,2.7763000388850214e-89,0.14279669259352412,0.0406,0.003797214410620271,10000,10000,0,positive|negative|neutral
decision,imdb,run-002,T,stuart_maxwell,384.8779633620692,2,2.6595744544494623e-84,0.13872237803650664,0.038599999999999975,0.0026188956699631856,10000,10000,0,positive|negative|neutral
decision,mental,run-001,F,mcnemar_exact,962.0,1,2.654879962867571e-220,0.16082167750750267,0.02814569536423845,0.0012825189574891451,31747,31408,339,normal|depression
decision,mental,run-002,F,mcnemar_exact,1953.0,1,0.0,0.24880811349175735,0.06203252808809956,0.007110994097070077,31747,31419,328,normal|depression
decision,mental,run-001,T,mcnemar_exact,614.0,1,7.122484821297147e-08,0.030491287859465536,0.004260054045461731,2.7186954606567195e-05,31747,31455,292,normal|depression
decision,mental,run-002,T,mcnemar_exact,529.0,1,2.7567895257476673e-09,0.03359961947422846,0.004359170166730292,2.8470706376736675e-05,31747,31428,319,normal|depression
decision,news,run-001,F,stuart_maxwell,516.7107084294488,2,6.276178609543423e-113,0.1471534031702919,0.046266029670605946,0.001719147095935472,11931,11931,0,neutral|bearish|bullish
decision,news,run-002,F,stuart_maxwell,880.3404433383622,2,6.86280455654759e-192,0.19207547078691145,0.0875031430726678,0.007977298869660655,11931,11931,0,neutral|bearish|bullish
decision,news,run-001,T,stuart_maxwell,1169.0744346224099,2,1.3762966559794678e-254,0.2213439526207208,0.09865057413460736,0.007580472949719936,11931,11931,0,neutral|bearish|bullish
decision,news,run-002,T,stuart_maxwell,1083.6131727153625,2,4.970376485819778e-236,0.21310013125830865,0.09513033274662647,0.006978797828193502,11931,11931,0,neutral|bearish|bullish
decision,fiqasa,run-001,F,stuart_maxwell,191.0110705384571,2,3.330220894647826e-42,0.28534171385403234,0.1628303495311168,0.025867965589512196,1173,1173,0,positive|negative|neutral
decision,fiqasa,run-002,F,stuart_maxwell,204.62041436989165,2,3.691829002133728e-45,0.29533197929157823,0.17391304347826086,0.02910025159329413,1173,1173,0,positive|negative|neutral
decision,fiqasa,run-001,T,stuart_maxwell,169.71227650183286,2,1.4042596014979176e-37,0.2689630529061069,0.14066496163682862,0.025110244480640864,1173,1173,0,positive|negative|neutral
decision,fiqasa,run-002,T,stuart_maxwell,85.17062957978165,2,3.2020844135863912e-19,0.19053770280226756,0.0630861040068201,0.005474031302332469,1173,1173,0,positive|negative|neutral
decision,imdb_sklearn,run-001,F,stuart_maxwell,139.67403314917124,2,4.679172641186482e-31,0.08356854466519423,0.01589999999999997,0.0001827805707929923,10000,10000,0,positive|negative|neutral
decision,imdb_sklearn,run-002,F,stuart_maxwell,91.36129032258061,2,1.4492652423538497e-20,0.0675874582754007,0.011899999999999966,0.0001024220082723546,10000,10000,0,positive|negative|neutral
decision,imdb_sklearn,run-001,T,stuart_maxwell,491.0,2,2.402728460984503e-107,0.15668439615992397,0.049100000000000005,0.0017619975023407536,10000,10000,0,positive|negative|neutral
decision,imdb_sklearn,run-002,T,stuart_maxwell,423.99999999999994,2,8.50295413530422e-93,0.14560219778561034,0.04239999999999999,0.0013118496165949907,10000,10000,0,positive|negative|neutral
decision,sst2,run-001,F,stuart_maxwell,776.1955571756516,2,2.8266778801666097e-169,0.19700197425097696,0.07319999999999996,0.003995521709976481,10000,10000,0,positive|negative|neutral
decision,sst2,run-002,F,stuart_maxwell,789.9768148865797,2,2.875505692098979e-172,0.19874315269797094,0.07959999999999998,0.0054434966996663395,10000,10000,0,positive|negative|neutral
decision,sst2,run-001,T,stuart_maxwell,1391.684802017163,2,6.302095320230546e-303,0.26378824860265887,0.1337,0.02335221437793865,10000,10000,0,positive|negative|neutral
decision,sst2,run-002,T,stuart_maxwell,871.4456033842478,2,5.861268083878284e-190,0.20873974266826234,0.08760000000000001,0.007287941619063225,10000,10000,0,positive|negative|neutral
