pair,dataset,run,model,labels,n_total,count_positive,ratio_positive,count_negative,ratio_negative,count_neutral,ratio_neutral,accuracy_strict,precision_macro_strict,recall_macro_strict,f1_macro_strict,precision_weighted_strict,recall_weighted_strict,f1_weighted_strict,support_strict,accuracy_neutral,precision_macro_neutral,recall_macro_neutral,f1_macro_neutral,precision_weighted_neutral,recall_weighted_neutral,f1_weighted_neutral,support_neutral,count_normal,ratio_normal,count_depression,ratio_depression,count_bearish,ratio_bearish,count_bullish,ratio_bullish
energy,imdb,run-001,BASE,positive|negative|neutral,10000.0,4623.0,0.4623,5343.0,0.5343,34.0,0.0034,0.9265,0.9318787625721695,0.9265,0.927965996497824,0.9318787625721696,0.9265,0.9279659964978239,10000,0.9265,0.9318787625721695,0.9265,0.927965996497824,0.9318787625721696,0.9265,0.9279659964978239,10000,,,,,,,,
energy,imdb,run-001,E,positive|negative|neutral,10000.0,4737.0,0.4737,5237.0,0.5237,26.0,0.0026,0.9308,0.9342976964099288,0.9308000000000001,0.9319589526115424,0.9342976964099289,0.9308,0.9319589526115424,10000,0.9308,0.9342976964099288,0.9308000000000001,0.9319589526115424,0.9342976964099289,0.9308,0.9319589526115424,10000,,,,,,,,
energy,imdb,run-001,I,positive|negative|neutral,10000.0,4499.0,0.4499,5458.0,0.5458,43.0,0.0043,0.9183,0.9261853597041352,0.9183,0.9200771926531265,0.9261853597041354,0.9183,0.9200771926531266,10000,0.9183,0.9261853597041352,0.9183,0.9200771926531265,0.9261853597041354,0.9183,0.9200771926531266,10000,,,,,,,,
energy,imdb,run-002,BASE,positive|negative|neutral,10000.0,4623.0,0.4623,5343.0,0.5343,34.0,0.0034,0.9265,0.9318787625721695,0.9265,0.927965996497824,0.9318787625721696,0.9265,0.9279659964978239,10000,0.9265,0.9318787625721695,0.9265,0.927965996497824,0.9318787625721696,0.9265,0.9279659964978239,10000,,,,,,,,
energy,imdb,run-002,E,positive|negative|neutral,10000.0,4751.0,0.4751,5219.0,0.5219,30.0,0.003,0.9312,0.934941541133987,0.9312,0.9325524675888675,0.9349415411339871,0.9312,0.9325524675888676,10000,0.9312,0.934941541133987,0.9312,0.9325524675888675,0.9349415411339871,0.9312,0.9325524675888676,10000,,,,,,,,
energy,imdb,run-002,I,positive|negative|neutral,10000.0,4505.0,0.4505,5442.0,0.5442,53.0,0.0053,0.9183,0.9269387478733457,0.9183,0.9205434372034356,0.9269387478733457,0.9183,0.9205434372034357,10000,0.9183,0.9269387478733457,0.9183,0.9205434372034356,0.9269387478733457,0.9183,0.9205434372034357,10000,,,,,,,,
energy,imdb,avg,BASE,positive|negative|neutral,10000.0,4623.0,0.4623,5343.0,0.5343,34.0,0.0034,0.9265,0.9318787625721695,0.9265,0.927965996497824,0.9318787625721696,0.9265,0.9279659964978239,10000,0.9265,0.9318787625721695,0.9265,0.927965996497824,0.9318787625721696,0.9265,0.9279659964978239,10000,,,,,,,,
energy,imdb,avg,E,positive|negative|neutral,10000.0,4744.0,0.4744,5228.0,0.5228,28.0,0.0028,0.931,0.9346196187719579,0.931,0.9322557101002049,0.934619618771958,0.931,0.9322557101002049,10000,0.931,0.9346196187719579,0.931,0.9322557101002049,0.934619618771958,0.931,0.9322557101002049,10000,,,,,,,,
energy,imdb,avg,I,positive|negative|neutral,10000.0,4502.0,0.4502,5450.0,0.545,48.0,0.0048,0.9183,0.9265620537887405,0.9183,0.920310314928281,0.9265620537887406,0.9183,0.9203103149282812,10000,0.9183,0.9265620537887405,0.9183,0.920310314928281,0.9265620537887406,0.9183,0.9203103149282812,10000,,,,,,,,
energy,mental,run-001,BASE,normal|depression|neutral,31747.0,,,,,262.0,0.00825274829117712,0.5971272876177277,0.7370436852209301,0.6076081043593938,0.5481880514291009,0.7426188550063219,0.5971272876177277,0.5437367980253128,31747,0.5971272876177277,0.7370436852209301,0.6076081043593938,0.5481880514291009,0.7426188550063219,0.5971272876177277,0.5437367980253128,31747,4472.0,0.14086370365703846,27013.0,0.8508835480517845,,,,
