pair,dataset,run,model,test,statistic,df,p_value,effect_cramers_v,effect_tv,effect_js,n_total,n_used,n_dropped,labels
energy,imdb,run-001,E,stuart_maxwell,102.09576300378924,2,6.763737602014477e-23,0.07144780017739848,0.011399999999999981,0.0001269704099881217,10000,10000,0,positive|negative|neutral
energy,imdb,run-002,E,stuart_maxwell,123.73786751682611,2,1.3510252550844588e-27,0.07865680756197334,0.0128,0.00012457126220557875,10000,10000,0,positive|negative|neutral
energy,imdb,run-001,I,stuart_maxwell,116.49440298507453,2,5.0531455234330976e-26,0.07631985422715197,0.012399999999999961,0.00014298732486495776,10000,10000,0,positive|negative|neutral
energy,imdb,run-002,I,stuart_maxwell,113.3444994290065,2,2.440926329137122e-25,0.07528097350227562,0.011799999999999998,0.00023866825079450185,10000,10000,0,positive|negative|neutral
energy,mental,run-001,E,mcnemar_exact,1169.0,1,0.0,0.18617038980213874,0.03601498223260878,0.0017371568296625783,31747,31237,510,normal|depression
energy,mental,run-002,E,mcnemar_exact,1343.0,1,0.0,0.20242853878090492,0.04197752233357885,0.0023269398344547988,31747,31231,516,normal|depression
energy,mental,run-001,I,mcnemar_exact,1207.0,1,0.0,0.1938506488636508,0.03801905733133626,0.002425081488402517,31747,31379,368,normal|depression
energy,mental,run-002,I,mcnemar_exact,1006.0,1,2.2304184463277204e-270,0.1737264244043725,0.031108561229043152,0.0015824961794965228,31747,31374,373,normal|depression
energy,news,run-001,E,stuart_maxwell,1470.8222071695993,2,0.0,0.24827138588265296,0.1212806973430559,0.014232904190250528,11931,11931,0,neutral|bearish|bullish
energy,news,run-002,E,stuart_maxwell,1488.966317417756,2,0.0,0.24979803403577183,0.12186740424105269,0.01449422036034536,11931,11931,0,neutral|bearish|bullish
energy,news,run-001,I,stuart_maxwell,1716.3414088917043,2,0.0,0.2681936059632954,0.148185399379767,0.018358019253771507,11931,11931,0,neutral|bearish|bullish
energy,news,run-002,I,stuart_maxwell,1699.1253894033518,2,0.0,0.266845137877554,0.14634146341463417,0.017989051576158085,11931,11931,0,neutral|bearish|bullish
energy,fiqasa,run-001,E,stuart_maxwell,371.63557635083833,2,1.996916732157729e-81,0.3980105986493149,0.2855924978687127,0.12392500173803607,1173,1173,0,positive|negative|neutral
energy,fiqasa,run-002,E,stuart_maxwell,379.0305702878255,2,4.949455520108961e-83,0.40195100194653705,0.2966751918158568,0.12370696729626067,1173,1173,0,positive|negative|neutral
energy,fiqasa,run-001,I,stuart_maxwell,55.454280627933315,2,9.083557353938467e-13,0.1537458967880776,0.07502131287297527,0.00528046697274908,1173,1173,0,positive|negative|neutral
energy,fiqasa,run-002,I,stuart_maxwell,31.59821280820784,2,1.3757365313312716e-07,0.11605590858091686,0.04944586530264279,0.002437178389157371,1173,1173,0,positive|negative|neutral
energy,imdb_sklearn,run-001,E,stuart_maxwell,83.93495934959557,2,5.939572090178079e-19,0.06478231214984363,0.010199999999999992,0.00012449265524690903,10000,10000,0,positive|negative|neutral
energy,imdb_sklearn,run-002,E,stuart_maxwell,104.9104477611921,2,1.6557155274518677e-23,0.07242597868209726,0.011899999999999971,0.00015152652316449632,10000,10000,0,positive|negative|neutral
energy,imdb_sklearn,run-001,I,stuart_maxwell,50.80373831775884,2,9.291982736789882e-12,0.05040026702199049,0.007299999999999978,8.814606396558735e-05,10000,10000,0,positive|negative|neutral
energy,imdb_sklearn,run-002,I,stuart_maxwell,28.173913043478493,2,7.622764728981915e-07,0.03753259453027361,0.00500000000000001,6.778452304444767e-05,10000,10000,0,positive|negative|neutral
energy,sst2,run-001,E,stuart_maxwell,666.4110003022063,2,1.9529446940474452e-145,0.18253917391921745,0.0615,0.007476611001533755,10000,10000,0,positive|negative|neutral
energy,sst2,run-002,E,stuart_maxwell,701.9324111547838,2,3.778449161449957e-153,0.18734092067068314,0.06579999999999997,0.007557871838056222,10000,10000,0,positive|negative|neutral
energy,sst2,run-001,I,stuart_maxwell,435.16998491383913,2,3.1918202888427356e-95,0.14750762436461362,0.0435,0.0023290612717771723,10000,10000,0,positive|negative|neutral
energy,sst2,run-002,I,stuart_maxwell,395.8835267030834,2,1.083888075113404e-86,0.1406917777809143,0.039200000000000054,0.0022322561826252432,10000,10000,0,positive|negative|neutral
