pair,dataset,run,model,labels,n_total,count_positive,ratio_positive,count_negative,ratio_negative,count_neutral,ratio_neutral,accuracy_strict,precision_macro_strict,recall_macro_strict,f1_macro_strict,precision_weighted_strict,recall_weighted_strict,f1_weighted_strict,support_strict,accuracy_neutral,precision_macro_neutral,recall_macro_neutral,f1_macro_neutral,precision_weighted_neutral,recall_weighted_neutral,f1_weighted_neutral,support_neutral,count_normal,ratio_normal,count_depression,ratio_depression,count_bearish,ratio_bearish,count_bullish,ratio_bullish
execution,imdb,run-001,BASE,positive|negative|neutral,10000,4623.0,0.4623,5343.0,0.5343,34,0.0034,0.9265,0.9318787625721695,0.9265,0.927965996497824,0.9318787625721696,0.9265,0.9279659964978239,10000,0.9265,0.9318787625721695,0.9265,0.927965996497824,0.9318787625721696,0.9265,0.9279659964978239,10000,,,,,,,,
execution,imdb,run-001,J,positive|negative|neutral,10000,4555.0,0.4555,5426.0,0.5426,19,0.0019,0.9222,0.9271868221592745,0.9221999999999999,0.9229195457196883,0.9271868221592746,0.9222,0.9229195457196882,10000,0.9222,0.9271868221592745,0.9221999999999999,0.9229195457196883,0.9271868221592746,0.9222,0.9229195457196882,10000,,,,,,,,
execution,imdb,run-001,P,positive|negative|neutral,10000,4689.0,0.4689,5231.0,0.5231,80,0.008,0.9267,0.9354402219913855,0.9267000000000001,0.9303537353094593,0.9354402219913857,0.9267,0.9303537353094594,10000,0.9267,0.9354402219913855,0.9267000000000001,0.9303537353094593,0.9354402219913857,0.9267,0.9303537353094594,10000,,,,,,,,
execution,imdb,run-002,BASE,positive|negative|neutral,10000,4623.0,0.4623,5343.0,0.5343,34,0.0034,0.9265,0.9318787625721695,0.9265,0.927965996497824,0.9318787625721696,0.9265,0.9279659964978239,10000,0.9265,0.9318787625721695,0.9265,0.927965996497824,0.9318787625721696,0.9265,0.9279659964978239,10000,,,,,,,,
execution,imdb,run-002,J,positive|negative|neutral,10000,4576.0,0.4576,5403.0,0.5403,21,0.0021,0.9235,0.9283563610413277,0.9235,0.9243265309449407,0.9283563610413277,0.9235,0.9243265309449405,10000,0.9235,0.9283563610413277,0.9235,0.9243265309449407,0.9283563610413277,0.9235,0.9243265309449405,10000,,,,,,,,
execution,imdb,run-002,P,positive|negative|neutral,10000,4695.0,0.4695,5212.0,0.5212,93,0.0093,0.9261,0.935935994350712,0.9260999999999999,0.9303573322408669,0.935935994350712,0.9261,0.9303573322408669,10000,0.9261,0.935935994350712,0.9260999999999999,0.9303573322408669,0.935935994350712,0.9261,0.9303573322408669,10000,,,,,,,,
execution,imdb,avg,BASE,positive|negative|neutral,10000,4623.0,0.4623,5343.0,0.5343,34,0.0034,0.9265,0.9318787625721695,0.9265,0.927965996497824,0.9318787625721696,0.9265,0.9279659964978239,10000,0.9265,0.9318787625721695,0.9265,0.927965996497824,0.9318787625721696,0.9265,0.9279659964978239,10000,,,,,,,,
execution,imdb,avg,J,positive|negative|neutral,20000,9131.0,0.45655,10829.0,0.54145,40,0.002,0.92285,0.9277715916003011,0.92285,0.9236230383323145,0.9277715916003011,0.92285,0.9236230383323143,10000,0.92285,0.9277715916003011,0.92285,0.9236230383323145,0.9277715916003011,0.92285,0.9236230383323143,10000,,,,,,,,
execution,imdb,avg,P,positive|negative|neutral,20000,9384.0,0.4692,10443.0,0.52215,173,0.00865,0.9264,0.9356881081710487,0.9264,0.9303555337751631,0.9356881081710489,0.9264,0.9303555337751632,10000,0.9264,0.9356881081710487,0.9264,0.9303555337751631,0.9356881081710489,0.9264,0.9303555337751632,10000,,,,,,,,
execution,mental,run-001,BASE,normal|depression|neutral,31747,,,,,262,0.00825274829117712,0.5971272876177277,0.7370436852209301,0.6076081043593938,0.5481880514291009,0.7426188550063219,0.5971272876177277,0.5437367980253128,31747,0.5971272876177277,0.7370436852209301,0.6076081043593938,0.5481880514291009,0.7426188550063219,0.5971272876177277,0.5437367980253128,31747,4472.0,0.14086370365703846,27013.0,0.8508835480517845,,,,
execution,mental,run-001,J,normal|depression|neutral,31747,,,,,556,0.017513465839291902,0.6212240526663937,0.7384688566175308,0.6300950580766673,0.5945573348624559,0.7435363015919777,0.6212240526663937,0.5913024312585723,31747,0.6212240526663937,0.7384688566175308,0.6300950580766673,0.5945573348624559,0.7435363015919777,0.6212240526663937,0.5913024312585723,31747,5931.0,0.18682080196554005,25260.0,0.795665732195168,,,,
execution,mental,run-001,P,normal|depression|neutral,31747,,,,,3464,0.10911267206350206,0.729013765080165,0.8181655866171877,0.7289900277568516,0.7709095576317804,0.8187395292000365,0.729013765080165,0.7711777154078896,31747,0.729013765080165,0.8181655866171877,0.7289900277568516,0.7709095576317804,0.8187395292000365,0.729013765080165,0.7711777154078896,31747,14240.0,0.4485463193372602,14043.0,0.44234100859923775,,,,
execution,mental,run-002,BASE,normal|depression|neutral,31747,,,,,262,0.00825274829117712,0.5971272876177277,0.7370436852209301,0.6076081043593938,0.5481880514291009,0.7426188550063219,0.5971272876177277,0.5437367980253128,31747,0.5971272876177277,0.7370436852209301,0.6076081043593938,0.5481880514291009,0.7426188550063219,0.5971272876177277,0.5437367980253128,31747,4472.0,0.14086370365703846,27013.0,0.8508835480517845,,,,
execution,mental,run-002,J,normal|depression|neutral,31747,,,,,484,0.015245535011182159,0.6224840142375657,0.7396874796714565,0.6314829403796594,0.5940811177533112,0.7447796322075363,0.6224840142375657,0.5907550318156793,31747,0.6224840142375657,0.7396874796714565,0.6314829403796594,0.5940811177533112,0.7447796322075363,0.6224840142375657,0.5907550318156793,31747,5865.0,0.1847418653731061,25398.0,0.8000125996157117,,,,
execution,mental,run-002,P,normal|depression|neutral,31747,,,,,3121,0.09830850159070148,0.7378649951176489,0.8183669304481849,0.7380327068258676,0.7759245929999528,0.8189629383884252,0.7378649951176489,0.7760999475098672,31747,0.7378649951176489,0.8183669304481849,0.7380327068258676,0.7759245929999528,0.8189629383884252,0.7378649951176489,0.7760999475098672,31747,14274.0,0.44961728667275647,14352.0,0.45207421173654205,,,,
execution,mental,avg,BASE,normal|depression|neutral,31747,,,,,262,0.00825274829117712,0.5971272876177277,0.7370436852209301,0.6076081043593938,0.5481880514291009,0.7426188550063219,0.5971272876177277,0.5437367980253128,31747,0.5971272876177277,0.7370436852209301,0.6076081043593938,0.5481880514291009,0.7426188550063219,0.5971272876177277,0.5437367980253128,31747,4472.0,0.14086370365703846,27013.0,0.8508835480517845,,,,
execution,mental,avg,J,normal|depression|neutral,63494,,,,,1040,0.01637950042523703,0.6218540334519798,0.7390781681444937,0.6307889992281633,0.5943192263078836,0.744157966899757,0.6218540334519798,0.5910287315371259,31747,0.6218540334519798,0.7390781681444937,0.6307889992281633,0.5943192263078836,0.744157966899757,0.6218540334519798,0.5910287315371259,31747,11796.0,0.1857813336693231,50658.0,0.7978391659054399,,,,
execution,mental,avg,P,normal|depression|neutral,63494,,,,,6585,0.10371058682710177,0.733439380098907,0.8182662585326863,0.7335113672913596,0.7734170753158666,0.8188512337942309,0.733439380098907,0.7736388314588785,31747,0.733439380098907,0.8182662585326863,0.7335113672913596,0.7734170753158666,0.8188512337942309,0.733439380098907,0.7736388314588785,31747,28514.0,0.44908180300500833,28395.0,0.4472076101678899,,,,
execution,news,run-001,BASE,bearish|bullish|neutral,11931,,,,,3865,0.3239460229653843,0.600033526108457,0.6142924679879471,0.7294047658553365,0.6044963210398845,0.7494132661774064,0.600033526108457,0.601903135825658,11931,0.6002011566507418,0.6143088550311541,0.7294908540096064,0.6045765808896332,0.7494451749686046,0.6002011566507418,0.6020594175144822,11931,,,,,2840.0,0.2380353700444221,5226.0,0.4380186069901936
execution,news,run-001,J,bearish|bullish|neutral,11931,,,,,3831,0.32109630374654263,0.59525605565334,0.602129012687795,0.7291332220317215,0.5960244097197608,0.7414646591209454,0.59525605565334,0.5948230835960383,11931,0.5955075014667672,0.6021558110633634,0.7292623542631264,0.5961459065330265,0.74151684082082,0.5955075014667672,0.5950596617509111,11931,,,,,3260.0,0.273237783924231,4840.0,0.4056659123292264
execution,news,run-001,P,bearish|bullish|neutral,11931,,,,,3635,0.3046685106026318,0.5656692649400721,0.5824143710046985,0.7002837344176648,0.5685895421698929,0.7198674838765962,0.5656692649400721,0.5634422818776428,11931,0.5662559718380689,0.5824946978931766,0.7005850429576098,0.5688851893537161,0.7200238961029914,0.5662559718380689,0.5640179650034982,11931,,,,,3087.0,0.25873774201659544,5209.0,0.4365937473807728
execution,news,run-002,BASE,bearish|bullish|neutral,11931,,,,,3865,0.3239460229653843,0.600033526108457,0.6142924679879471,0.7294047658553365,0.6044963210398845,0.7494132661774064,0.600033526108457,0.601903135825658,11931,0.6002011566507418,0.6143088550311541,0.7294908540096064,0.6045765808896332,0.7494451749686046,0.6002011566507418,0.6020594175144822,11931,,,,,2840.0,0.2380353700444221,5226.0,0.4380186069901936
execution,news,run-002,J,bearish|bullish|neutral,11931,,,,,3776,0.3164864638337105,0.5914005531807895,0.6004168033321639,0.7278222741472696,0.5928678547846766,0.7403331941128699,0.5914005531807895,0.5902738642094149,11931,0.5916519989942167,0.600444107617294,0.7279514063786747,0.5929904543476415,0.7403863609180118,0.5916519989942167,0.5905125896345091,11931,,,,,3282.0,0.27508171988936386,4873.0,0.40843181627692565
execution,news,run-002,P,bearish|bullish|neutral,11931,,,,,3562,0.29854999580923647,0.5604727181292432,0.5801515283819264,0.6979988442313986,0.5641470420561032,0.7185017119564077,0.5604727181292432,0.5572933594849572,11931,0.5611432402983824,0.580245477401523,0.6983431968484785,0.56448899951265,0.718684649147194,0.5611432402983824,0.5579592178061786,11931,,,,,3108.0,0.2604978627105859,5261.0,0.4409521414801777
execution,news,avg,BASE,bearish|bullish|neutral,11931,,,,,3865,0.3239460229653843,0.600033526108457,0.6142924679879471,0.7294047658553365,0.6044963210398845,0.7494132661774064,0.600033526108457,0.601903135825658,11931,0.6002011566507418,0.6143088550311541,0.7294908540096064,0.6045765808896332,0.7494451749686046,0.6002011566507418,0.6020594175144822,11931,,,,,2840.0,0.2380353700444221,5226.0,0.4380186069901936
execution,news,avg,J,bearish|bullish|neutral,23862,,,,,7607,0.31879138379012656,0.5933283044170647,0.6012729080099795,0.7284777480894955,0.5944461322522188,0.7408989266169077,0.5933283044170647,0.5925484739027266,11931,0.593579750230492,0.6012999593403288,0.7286068803209005,0.594568180440334,0.7409516008694159,0.593579750230492,0.59278612569271,11931,,,,,6542.0,0.2741597519067974,9713.0,0.407048864303076
execution,news,avg,P,bearish|bullish|neutral,23862,,,,,7197,0.3016092532059341,0.5630709915346577,0.5812829496933125,0.6991412893245317,0.566368292112998,0.7191845979165019,0.5630709915346577,0.5603678206813,11931,0.5636996060682256,0.5813700876473498,0.6994641199030441,0.566687094433183,0.7193542726250928,0.5636996060682256,0.5609885914048385,11931,,,,,6195.0,0.25961780236359067,10470.0,0.4387729444304752
execution,fiqasa,run-001,BASE,negative|positive|neutral,1173,236.0,0.20119352088661552,587.0,0.5004262574595055,350,0.29838022165387895,0.5140664961636828,0.5537654384292083,0.5758578954937533,0.45989155526653697,0.7779515920093809,0.5140664961636828,0.5239134832338336,1173,0.5140664961636828,0.5535136595567398,0.5758578954937533,0.45957474922242864,0.7778929938574765,0.5140664961636828,0.523839750880857,1173,,,,,,,,
execution,fiqasa,run-001,J,negative|positive|neutral,1173,441.0,0.37595907928388744,653.0,0.556692242114237,79,0.06734867860187553,0.658994032395567,0.5691338620426514,0.5787614136330789,0.5392106285902903,0.7511456238058748,0.658994032395567,0.6600526460743146,1173,0.658994032395567,0.5691338620426514,0.5787614136330789,0.5392106285902903,0.7511456238058748,0.658994032395567,0.6600526460743146,1173,,,,,,,,
execution,fiqasa,run-001,P,negative|positive|neutral,1173,341.0,0.2907075873827792,579.0,0.4936061381074169,253,0.21568627450980393,0.587382779198636,0.5528115783476989,0.5814440543230529,0.5051486898283878,0.7695102725798041,0.587382779198636,0.6073216323043967,1173,0.587382779198636,0.5528115783476989,0.5814440543230529,0.5051486898283878,0.7695102725798041,0.587382779198636,0.6073216323043967,1173,,,,,,,,
