pair,dataset,run,model,test,statistic,df,p_value,effect_cramers_v,effect_tv,effect_js,n_total,n_used,n_dropped,labels
execution,imdb,run-001,J,stuart_maxwell,62.58873929008566,2,2.5646490762215576e-14,0.05594137077784458,0.008299999999999974,0.0001964729249767643,10000,10000,0,positive|negative|neutral
execution,imdb,run-002,J,stuart_maxwell,40.118248175182494,2,1.942822377038371e-09,0.044787413508251675,0.005999999999999993,0.0001326249173825636,10000,10000,0,positive|negative|neutral
execution,imdb,run-001,P,stuart_maxwell,97.23598820058996,2,7.681984756240821e-22,0.06972660475047884,0.011199999999999991,0.0007485857396535515,10000,10000,0,positive|negative|neutral
execution,imdb,run-002,P,stuart_maxwell,120.166149068323,2,8.058464072846151e-27,0.07751327275645216,0.013099999999999992,0.0011063357294073073,10000,10000,0,positive|negative|neutral
execution,mental,run-001,J,mcnemar_exact,2636.0,1,2.2894974118683677e-187,0.1610421427543616,0.04688856729377712,0.0028610508524238125,31747,31095,652,normal|depression
execution,mental,run-002,J,mcnemar_exact,2617.0,1,3.748853945219033e-172,0.15447800535233547,0.044767497833830744,0.0026247384047391725,31747,31161,586,normal|depression
execution,mental,run-001,P,mcnemar_exact,10162.0,1,0.0,0.5981781073440371,0.3586641194367791,0.11046889005749938,31747,28266,3481,normal|depression
execution,mental,run-002,P,mcnemar_exact,10217.0,1,0.0,0.5961101789604467,0.35625393274138295,0.10967743201254736,31747,28606,3141,normal|depression
execution,news,run-001,J,stuart_maxwell,324.4905042958536,2,3.4497075338420406e-71,0.11661316306637896,0.03520241387980888,0.0013269949813683214,11931,11931,0,neutral|bearish|bullish
execution,news,run-002,J,stuart_maxwell,325.39216677263863,2,2.197802980718224e-71,0.11677506729962189,0.03704634984494176,0.0013699467311392363,11931,11931,0,neutral|bearish|bullish
execution,news,run-001,P,stuart_maxwell,85.10770735603087,2,3.3044270141263745e-19,0.05972154371897105,0.02070237197217334,0.0005253520945491005,11931,11931,0,neutral|bearish|bullish
execution,news,run-002,P,stuart_maxwell,109.78028511422329,2,1.4504874534702362e-24,0.06782796017476436,0.025396027156147832,0.0007424834140100725,11931,11931,0,neutral|bearish|bullish
execution,fiqasa,run-001,J,stuart_maxwell,301.3918792913453,2,3.5775438585797236e-66,0.3584278683115051,0.23103154305200338,0.07732849974652807,1173,1173,0,positive|negative|neutral
execution,fiqasa,run-002,J,stuart_maxwell,299.55086273499865,2,8.981660445879826e-66,0.35733148439804974,0.2293265132139813,0.07631488199569395,1173,1173,0,positive|negative|neutral
execution,fiqasa,run-001,P,stuart_maxwell,111.41787783794055,2,6.396099848154354e-25,0.21792820274278246,0.08951406649616367,0.010743610733592594,1173,1173,0,positive|negative|neutral
execution,fiqasa,run-002,P,stuart_maxwell,113.71418471056121,2,2.0289835828732195e-25,0.22016248428028717,0.09462915601023018,0.011022747042781621,1173,1173,0,positive|negative|neutral
execution,imdb_sklearn,run-001,J,stuart_maxwell,22.93675072343941,2,1.045557361220534e-05,0.03386498982979281,0.004800000000000014,0.0006630582569894859,10000,10000,0,positive|negative|neutral
execution,imdb_sklearn,run-002,J,stuart_maxwell,18.99292786421501,2,7.511697955739692e-05,0.030816333221373865,0.0029000000000000184,0.0008038205671864536,10000,10000,0,positive|negative|neutral
execution,imdb_sklearn,run-001,P,stuart_maxwell,115.67496262421952,2,7.6120392498684e-26,0.07605095746413043,0.015899999999999977,0.002730649657410458,10000,10000,0,positive|negative|neutral
execution,imdb_sklearn,run-002,P,stuart_maxwell,129.94402985074626,2,6.067537089743221e-29,0.08060522000799522,0.01700000000000001,0.0033916134156977778,10000,10000,0,positive|negative|neutral
execution,sst2,run-001,J,stuart_maxwell,602.1453181294803,2,1.7611871830552177e-131,0.17351445445977698,0.059600000000000035,0.008230332968464503,10000,10000,0,positive|negative|neutral
execution,sst2,run-002,J,stuart_maxwell,528.8309258568307,2,1.464952422598814e-115,0.1626085677104424,0.052000000000000025,0.007245221296633216,10000,10000,0,positive|negative|neutral
execution,sst2,run-001,P,stuart_maxwell,806.5049637819293,2,7.407510929935982e-176,0.2008114742466089,0.0684,0.01099854969619167,10000,10000,0,positive|negative|neutral
execution,sst2,run-002,P,stuart_maxwell,874.3590355331621,2,1.3656764891105959e-190,0.2090883826917653,0.07379999999999999,0.012468184140673511,10000,10000,0,positive|negative|neutral
