model_root,dimension,dataset,p_value,effect_cramers_v,effect_tv,effect_js,n_total,n_used,n_dropped,p_value_clamped,neg_log10_p
llama-3b_newlayout,ST-NF,fiqasa,1.7030087965260224e-11,0.2832963080008154,0.1922421142369991,0.05760014026953713,1173.0,1173.0,0.0,1.7030087965260224e-11,10.768783108776773
llama-3b_newlayout,ST-NF,imdb,2.1678421222709707e-112,0.1637582751159176,0.053724999999999926,0.0036109020717633496,10000.0,10000.0,0.0,2.1678421222709707e-112,111.66397234940449
llama-3b_newlayout,ST-NF,imdb_sklearn,2.5688656175500486e-110,0.1691751058046544,0.05779999999999995,0.005245816476636625,10000.0,10000.0,0.0,2.5688656175500486e-110,109.59025861394423
llama-3b_newlayout,ST-NF,mental,4.962783366794468e-16,0.30053013940235956,0.15560882942993984,0.04003445479043297,31747.0,30381.25,1365.75,4.962783366794468e-16,15.304274682017901
llama-3b_newlayout,ST-NF,news,0.0,0.34229394554536857,0.23761629368871,0.04765527258192047,11931.0,11931.0,0.0,1e-300,300.0
llama-3b_newlayout,ST-NF,sst2,7.069564991361131e-296,0.2664153233995661,0.13994999999999996,0.015877545188971075,10000.0,10000.0,0.0,7.069564991361131e-296,295.1506073086449
llama-3b_newlayout,decision,fiqasa,8.005211033965978e-20,0.2600436122134962,0.13512361466325656,0.02138812324144485,1173.0,1173.0,0.0,8.005211033965978e-20,19.096627214690482
llama-3b_newlayout,decision,imdb,3.291334405210853e-41,0.12209082073100232,0.030999999999999972,0.001953826619277225,10000.0,10000.0,0.0,3.291334405210853e-41,40.48262799040094
llama-3b_newlayout,decision,imdb_sklearn,3.623163106001603e-21,0.11336064922153227,0.029824999999999924,0.0008397624245002,10000.0,10000.0,0.0,3.623163106001603e-21,20.440912114642803
llama-3b_newlayout,decision,mental,1.8495409434679785e-08,0.11843017458323844,0.02469936191613245,0.002112292678885601,31747.0,31427.5,319.5,1.8495409434679785e-08,7.732936050222934
llama-3b_newlayout,decision,news,1.5690446523858556e-113,0.19341823945905817,0.08188751990612685,0.006063929185877349,11931.0,11931.0,0.0,1.5690446523858556e-113,112.8043646969428
llama-3b_newlayout,decision,sst2,7.073883464646772e-170,0.21706827955496724,0.09352499999999994,0.010019793601661124,10000.0,10000.0,0.0,7.073883464646772e-170,169.15034209904172
llama-3b_newlayout,energy,fiqasa,3.439364037221564e-08,0.26744085149121155,0.17668371696504687,0.06383740359905073,1173.0,1173.0,0.0,3.439364037221564e-08,7.463521854131672
llama-3b_newlayout,energy,imdb,1.6983337783386977e-23,0.0754263588671998,0.012099999999999927,0.00015829931196325,10000.0,10000.0,0.0,1.6983337783386977e-23,22.76997695258133
llama-3b_newlayout,energy,imdb_sklearn,1.9057144122038056e-07,0.0562852880960512,0.008599999999999925,0.00010798744135533376,10000.0,10000.0,0.0,1.9057144122038056e-07,6.719942181607948
llama-3b_newlayout,energy,mental,5.576046115819301e-271,0.1890440004627667,0.0367800307816417,0.00201791858300405,31747.0,31305.25,441.75,5.576046115819301e-271,270.25367364313047
llama-3b_newlayout,energy,news,0.0,0.2582770409398185,0.1344187410946274,0.016268548845131323,11931.0,11931.0,0.0,1e-300,300.0
llama-3b_newlayout,energy,sst2,2.709720195763061e-87,0.16451987418385708,0.05249999999999998,0.00489895007349805,10000.0,10000.0,0.0,2.709720195763061e-87,86.56707555182294
llama-3b_newlayout,execution,fiqasa,2.1062708577568933e-25,0.28846250993315603,0.16112531969309457,0.043852434879649,1173.0,1173.0,0.0,2.1062708577568933e-25,24.6764857810777
llama-3b_newlayout,execution,imdb,4.857120058824754e-10,0.06199216544825675,0.0096499999999999,0.000546004827855,10000.0,10000.0,0.0,4.857120058824754e-10,9.313621161455792
llama-3b_newlayout,execution,imdb_sklearn,2.1393138292400565e-05,0.05533437513082305,0.010149999999999975,0.0018972854743209751,10000.0,10000.0,0.0,2.1393138292400565e-05,4.669725501398646
llama-3b_newlayout,execution,mental,9.37213486304759e-173,0.3774521086027952,0.20164352932644244,0.05640802783180237,31747.0,29782.0,1965.0,9.37213486304759e-173,172.02816147062396
llama-3b_newlayout,execution,news,8.261103797502273e-20,0.090234433564934,0.0295867907132679,0.00099119430526665,11931.0,11931.0,0.0,8.261103797502273e-20,19.082961921064907
llama-3b_newlayout,execution,sst2,3.662381056497035e-116,0.18650571977714836,0.06344999999999998,0.009735572025490701,10000.0,10000.0,0.0,3.662381056497035e-116,115.4362364710326
llama-3b_newlayout,information,fiqasa,8.568636852969621e-12,0.2545029409045272,0.14876385336743386,0.04152339003852845,1173.0,1173.0,0.0,8.568636852969621e-12,11.067088262594975
llama-3b_newlayout,information,imdb,3.0351306547582597e-58,0.11708898024329151,0.02624999999999995,0.004079321564046476,10000.0,10000.0,0.0,3.0351306547582597e-58,57.517822608898705
llama-3b_newlayout,information,imdb_sklearn,4.888593020537576e-22,0.10071456040313702,0.024249999999999976,0.000517067887556075,10000.0,10000.0,0.0,4.888593020537576e-22,21.31081611661054
llama-3b_newlayout,information,mental,3.1497499335936472e-71,0.15207273925424003,0.02991712059922045,0.0017943991939734,31747.0,31458.25,288.75,3.1497499335936472e-71,70.50172392455052
llama-3b_newlayout,information,news,3.134926128330749e-277,0.2504838741607689,0.1227893722236191,0.013080705107335451,11931.0,11931.0,0.0,3.134926128330749e-277,276.5037726884653
llama-3b_newlayout,information,sst2,2.7417806324564126e-185,0.2243945902393843,0.09672499999999995,0.017943087140189176,10000.0,10000.0,0.0,2.7417806324564126e-185,184.56196729568978
