pair,dataset,run,model,test,statistic,df,p_value,effect_cramers_v,effect_tv,effect_js,n_total,n_used,n_dropped,labels,model_root,dimension
decision,imdb,run-001,F,stuart_maxwell,246.49582125191884,2,2.979288148736876e-54,0.1110170755451428,0.0248,0.0006792533084597,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,decision
decision,imdb,run-002,F,stuart_maxwell,183.65680274960167,2,1.3165337620843114e-40,0.0958271367488358,0.02,0.0007199430880659,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,decision
decision,imdb,run-001,T,stuart_maxwell,407.8179083129885,2,2.7763000388850214e-89,0.1427966925935241,0.0406,0.0037972144106202,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,decision
decision,imdb,run-002,T,stuart_maxwell,384.8779633620692,2,2.6595744544494623e-84,0.1387223780365066,0.0385999999999999,0.0026188956699631,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,decision
decision,mental,run-001,F,mcnemar_exact,962.0,1,2.654879962867571e-220,0.1608216775075026,0.0281456953642384,0.0012825189574891,31747,31408,339,normal|depression,llama-3b_newlayout,decision
decision,mental,run-002,F,mcnemar_exact,1953.0,1,0.0,0.2488081134917573,0.0620325280880995,0.00711099409707,31747,31419,328,normal|depression,llama-3b_newlayout,decision
decision,mental,run-001,T,mcnemar_exact,614.0,1,7.122484821297147e-08,0.0304912878594655,0.0042600540454617,2.7186954606567195e-05,31747,31455,292,normal|depression,llama-3b_newlayout,decision
decision,mental,run-002,T,mcnemar_exact,529.0,1,2.7567895257476673e-09,0.0335996194742284,0.0043591701667302,2.8470706376736675e-05,31747,31428,319,normal|depression,llama-3b_newlayout,decision
decision,news,run-001,F,stuart_maxwell,516.7107084294488,2,6.276178609543422e-113,0.1471534031702919,0.0462660296706059,0.0017191470959354,11931,11931,0,neutral|bearish|bullish,llama-3b_newlayout,decision
decision,news,run-002,F,stuart_maxwell,880.3404433383622,2,6.86280455654759e-192,0.1920754707869114,0.0875031430726678,0.0079772988696606,11931,11931,0,neutral|bearish|bullish,llama-3b_newlayout,decision
decision,news,run-001,T,stuart_maxwell,1169.07443462241,2,1.3762966559794678e-254,0.2213439526207208,0.0986505741346073,0.0075804729497199,11931,11931,0,neutral|bearish|bullish,llama-3b_newlayout,decision
decision,news,run-002,T,stuart_maxwell,1083.6131727153625,2,4.970376485819778e-236,0.2131001312583086,0.0951303327466264,0.0069787978281935,11931,11931,0,neutral|bearish|bullish,llama-3b_newlayout,decision
decision,fiqasa,run-001,F,stuart_maxwell,191.0110705384571,2,3.330220894647826e-42,0.2853417138540323,0.1628303495311168,0.0258679655895121,1173,1173,0,positive|negative|neutral,llama-3b_newlayout,decision
decision,fiqasa,run-002,F,stuart_maxwell,204.62041436989165,2,3.691829002133728e-45,0.2953319792915782,0.1739130434782608,0.0291002515932941,1173,1173,0,positive|negative|neutral,llama-3b_newlayout,decision
decision,fiqasa,run-001,T,stuart_maxwell,169.71227650183286,2,1.4042596014979176e-37,0.2689630529061069,0.1406649616368286,0.0251102444806408,1173,1173,0,positive|negative|neutral,llama-3b_newlayout,decision
decision,fiqasa,run-002,T,stuart_maxwell,85.17062957978165,2,3.2020844135863912e-19,0.1905377028022675,0.0630861040068201,0.0054740313023324,1173,1173,0,positive|negative|neutral,llama-3b_newlayout,decision
decision,imdb_sklearn,run-001,F,stuart_maxwell,139.67403314917124,2,4.679172641186482e-31,0.0835685446651942,0.0158999999999999,0.0001827805707929,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,decision
decision,imdb_sklearn,run-002,F,stuart_maxwell,91.3612903225806,2,1.4492652423538494e-20,0.0675874582754007,0.0118999999999999,0.0001024220082723,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,decision
decision,imdb_sklearn,run-001,T,stuart_maxwell,491.0,2,2.402728460984503e-107,0.1566843961599239,0.0491,0.0017619975023407,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,decision
decision,imdb_sklearn,run-002,T,stuart_maxwell,424.0,2,8.50295413530422e-93,0.1456021977856103,0.0423999999999999,0.0013118496165949,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,decision
decision,sst2,run-001,F,stuart_maxwell,776.1955571756516,2,2.8266778801666097e-169,0.1970019742509769,0.0731999999999999,0.0039955217099764,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,decision
decision,sst2,run-002,F,stuart_maxwell,789.9768148865797,2,2.875505692098979e-172,0.1987431526979709,0.0795999999999999,0.0054434966996663,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,decision
decision,sst2,run-001,T,stuart_maxwell,1391.684802017163,2,6.302095320230546e-303,0.2637882486026588,0.1337,0.0233522143779386,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,decision
decision,sst2,run-002,T,stuart_maxwell,871.4456033842478,2,5.861268083878283e-190,0.2087397426682623,0.0876,0.0072879416190632,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,decision
energy,imdb,run-001,E,stuart_maxwell,102.09576300378924,2,6.763737602014477e-23,0.0714478001773984,0.0113999999999999,0.0001269704099881,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,energy
energy,imdb,run-002,E,stuart_maxwell,123.73786751682611,2,1.3510252550844588e-27,0.0786568075619733,0.0128,0.0001245712622055,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,energy
energy,imdb,run-001,I,stuart_maxwell,116.49440298507452,2,5.0531455234330976e-26,0.0763198542271519,0.0123999999999999,0.0001429873248649,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,energy
energy,imdb,run-002,I,stuart_maxwell,113.3444994290065,2,2.440926329137122e-25,0.0752809735022756,0.0117999999999999,0.0002386682507945,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,energy
energy,mental,run-001,E,mcnemar_exact,1169.0,1,0.0,0.1861703898021387,0.0360149822326087,0.0017371568296625,31747,31237,510,normal|depression,llama-3b_newlayout,energy
energy,mental,run-002,E,mcnemar_exact,1343.0,1,0.0,0.2024285387809049,0.0419775223335788,0.0023269398344547,31747,31231,516,normal|depression,llama-3b_newlayout,energy
energy,mental,run-001,I,mcnemar_exact,1207.0,1,0.0,0.1938506488636508,0.0380190573313362,0.0024250814884025,31747,31379,368,normal|depression,llama-3b_newlayout,energy
energy,mental,run-002,I,mcnemar_exact,1006.0,1,2.2304184463277204e-270,0.1737264244043725,0.0311085612290431,0.0015824961794965,31747,31374,373,normal|depression,llama-3b_newlayout,energy
energy,news,run-001,E,stuart_maxwell,1470.822207169599,2,0.0,0.2482713858826529,0.1212806973430559,0.0142329041902505,11931,11931,0,neutral|bearish|bullish,llama-3b_newlayout,energy
