model_root,dimension,dataset,model,statistic,df,p_value,effect_cramers_v,effect_tv,effect_js,n_total,n_used,n_dropped,test,labels,p_value_clamped,neg_log10_p,significant,conclusion
llama-3b_newlayout,ST-NF,fiqasa,NF,377.41255292703886,2.0,2.9742167594027034e-81,0.4010698524807432,0.3158567774936061,0.11164176997523326,1173.0,1173.0,0.0,stuart_maxwell,positive|negative|neutral,2.9742167594027034e-81,80.52662738349999,True,显著差异
llama-3b_newlayout,ST-NF,fiqasa,ST,65.65513579503009,2.0,3.406017593052045e-11,0.1655227635208876,0.06862745098039211,0.003558510563841,1173.0,1173.0,0.0,stuart_maxwell,positive|negative|neutral,3.406017593052045e-11,10.467753113112792,True,显著差异
llama-3b_newlayout,ST-NF,imdb,NF,554.267200188547,2.0,2.1538841381985545e-119,0.1664676016948442,0.055349999999999955,0.0031010059492821,10000.0,10000.0,0.0,stuart_maxwell,positive|negative|neutral,2.1538841381985545e-119,118.66677766199179,True,显著差异
llama-3b_newlayout,ST-NF,imdb,ST,518.7609634177315,2.0,4.335684029153528e-112,0.16104894853699098,0.052099999999999896,0.0041207981942446,10000.0,10000.0,0.0,stuart_maxwell,positive|negative|neutral,4.335684029153528e-112,111.36294237531543,True,显著差异
llama-3b_newlayout,ST-NF,imdb_sklearn,NF,641.1820900903199,2.0,5.2421398088043296e-139,0.17904875980449395,0.06474999999999995,0.00521696394611975,10000.0,10000.0,0.0,stuart_maxwell,positive|negative|neutral,5.2421398088043296e-139,138.2804914005236,True,显著差异
llama-3b_newlayout,ST-NF,imdb_sklearn,ST,507.5547106197709,2.0,5.137731235100097e-110,0.1593014518048148,0.05084999999999995,0.0052746690071535,10000.0,10000.0,0.0,stuart_maxwell,positive|negative|neutral,5.137731235100097e-110,109.28922861828025,True,显著差异
llama-3b_newlayout,ST-NF,mental,NF,1999.5,1.0,9.925566733588935e-16,0.057974896565946205,0.01495498437579695,0.00035724928785975,31747.0,30066.5,1680.5,mcnemar_exact,normal|depression,9.925566733588935e-16,15.00324468635392,True,显著差异
llama-3b_newlayout,ST-NF,mental,ST,9133.5,1.0,0.0,0.5430853822387729,0.2962626744840827,0.07971166029300619,31747.0,30696.0,1051.0,mcnemar_exact,normal|depression,1e-300,300.0,True,显著差异
llama-3b_newlayout,ST-NF,news,NF,3469.438553395718,2.0,0.0,0.38130804864687134,0.29125806721984737,0.06569827722112029,11931.0,11931.0,0.0,stuart_maxwell,neutral|bearish|bullish,1e-300,300.0,True,显著差异
llama-3b_newlayout,ST-NF,news,ST,2194.8258977278706,2.0,0.0,0.3032798424438658,0.18397452015757265,0.02961226794272065,11931.0,11931.0,0.0,stuart_maxwell,neutral|bearish|bullish,1e-300,300.0,True,显著差异
llama-3b_newlayout,ST-NF,sst2,NF,1456.6048236505617,2.0,0.0,0.26986725296347275,0.14254999999999995,0.0149586351582599,10000.0,10000.0,0.0,stuart_maxwell,positive|negative|neutral,1e-300,300.0,True,显著差异
llama-3b_newlayout,ST-NF,sst2,ST,1383.123578861187,2.0,1.4139129982722262e-295,0.2629633938356595,0.13735,0.01679645521968225,10000.0,10000.0,0.0,stuart_maxwell,positive|negative|neutral,1.4139129982722262e-295,294.84957731298095,True,显著差异
llama-3b_newlayout,decision,fiqasa,F,197.81574245417437,2.0,1.6669563618249797e-42,0.29033684657280523,0.1683716965046888,0.0274841085914031,1173.0,1173.0,0.0,stuart_maxwell,positive|negative|neutral,1.6669563618249797e-42,41.778075769138205,True,显著差异
llama-3b_newlayout,decision,fiqasa,T,127.44145304080726,2.0,1.6010422067931956e-19,0.2297503778541872,0.10187553282182435,0.015292137891486599,1173.0,1173.0,0.0,stuart_maxwell,positive|negative|neutral,1.6010422067931956e-19,18.7955972190265,True,显著差异
llama-3b_newlayout,decision,imdb,F,215.07631200076025,2.0,6.582668810421706e-41,0.1034221061469893,0.0224,0.0006995981982628,10000.0,10000.0,0.0,stuart_maxwell,positive|negative|neutral,6.582668810421706e-41,40.18159799473696,True,显著差异
llama-3b_newlayout,decision,imdb,T,396.34793583752884,2.0,1.3298011087249257e-84,0.14075953531501534,0.03959999999999995,0.00320805504029165,10000.0,10000.0,0.0,stuart_maxwell,positive|negative|neutral,1.3298011087249257e-84,83.87621330929039,True,显著差异
llama-3b_newlayout,decision,imdb_sklearn,F,115.51766173587592,2.0,7.246326212003205e-21,0.07557800147029745,0.0138999999999999,0.0001426012895326,10000.0,10000.0,0.0,stuart_maxwell,positive|negative|neutral,7.246326212003205e-21,20.13988211897882,True,显著差异
llama-3b_newlayout,decision,imdb_sklearn,T,457.5,2.0,4.251477067652122e-93,0.1511432969727671,0.04574999999999995,0.0015369235594678001,10000.0,10000.0,0.0,stuart_maxwell,positive|negative|neutral,4.251477067652122e-93,92.37146015915334,True,显著差异
llama-3b_newlayout,decision,mental,F,1457.5,1.0,1.3274399814337855e-220,0.20481489549962995,0.04508911172616895,0.00419675652727955,31747.0,31413.5,333.5,mcnemar_exact,normal|depression,1.3274399814337855e-220,219.87698510589348,True,显著差异
llama-3b_newlayout,decision,mental,T,571.5,1.0,3.699081886935957e-08,0.03204545366684695,0.00430961210609595,2.7828830491651935e-05,31747.0,31441.5,305.5,mcnemar_exact,normal|depression,3.699081886935957e-08,7.431906054558953,True,显著差异
llama-3b_newlayout,decision,news,F,698.5255758839055,2.0,3.138089304771711e-113,0.16961443697860165,0.06688458637163684,0.004848222982797999,11931.0,11931.0,0.0,stuart_maxwell,neutral|bearish|bullish,3.138089304771711e-113,112.50333470127882,True,显著差异
llama-3b_newlayout,decision,news,T,1126.3438036688863,2.0,2.485188242909889e-236,0.2172220419395147,0.09689045344061685,0.0072796353889567,11931.0,11931.0,0.0,stuart_maxwell,neutral|bearish|bullish,2.485188242909889e-236,235.60464070964264,True,显著差异
llama-3b_newlayout,decision,sst2,F,783.0861860311156,2.0,1.4147766929293544e-169,0.1978725634744739,0.0763999999999999,0.004719509204821349,10000.0,10000.0,0.0,stuart_maxwell,positive|negative|neutral,1.4147766929293544e-169,168.84931210337774,True,显著差异
llama-3b_newlayout,decision,sst2,T,1131.5652027007054,2.0,2.9306340419391417e-190,0.23626399563546058,0.11065,0.0153200779985009,10000.0,10000.0,0.0,stuart_maxwell,positive|negative|neutral,2.9306340419391417e-190,189.53303840997825,True,显著差异
llama-3b_newlayout,energy,fiqasa,E,375.3330733193319,2.0,1.0232056436794094e-81,0.39998080029792593,0.2911338448422848,0.1238159845171483,1173.0,1173.0,0.0,stuart_maxwell,positive|negative|neutral,1.0232056436794094e-81,80.9900370730915,True,显著差异
llama-3b_newlayout,energy,fiqasa,I,43.52624671807058,2.0,6.878728074443128e-08,0.1349009026844972,0.062233589087808946,0.0038588226809531502,1173.0,1173.0,0.0,stuart_maxwell,positive|negative|neutral,6.878728074443128e-08,7.162491858467691,True,显著差异
llama-3b_newlayout,energy,imdb,E,112.91681526030769,2.0,3.381936352269993e-23,0.07505230386968584,0.012099999999999951,0.0001257708360968,10000.0,10000.0,0.0,stuart_maxwell,positive|negative|neutral,3.381936352269993e-23,22.470834570043433,True,显著差异
llama-3b_newlayout,energy,imdb,I,114.91945120704051,2.0,1.4731204407402159e-25,0.07580041386471376,0.0120999999999999,0.0001908277878297,10000.0,10000.0,0.0,stuart_maxwell,positive|negative|neutral,1.4731204407402159e-25,24.8317617442568,True,显著差异
llama-3b_newlayout,energy,imdb_sklearn,E,94.42270355539384,2.0,2.969868830865412e-19,0.0686041454159704,0.0110499999999999,0.00013800958920565,10000.0,10000.0,0.0,stuart_maxwell,positive|negative|neutral,2.969868830865412e-19,18.527262731588284,True,显著差异
llama-3b_newlayout,energy,imdb_sklearn,I,39.48882568061867,2.0,3.8114288244046413e-07,0.043966430776132,0.006149999999999951,7.796529350501751e-05,10000.0,10000.0,0.0,stuart_maxwell,positive|negative|neutral,3.8114288244046413e-07,6.418912185944305,True,显著差异
llama-3b_newlayout,energy,mental,E,1256.0,1.0,0.0,0.19429946429152178,0.03899625228309375,0.0020320483320586,31747.0,31234.0,513.0,mcnemar_exact,normal|depression,1e-300,300.0,True,显著差异
llama-3b_newlayout,energy,mental,I,1106.5,1.0,1.1152092231638602e-270,0.18378853663401165,0.03456380928018965,0.0020037888339495,31747.0,31376.5,370.5,mcnemar_exact,normal|depression,1.1152092231638602e-270,269.95264364746646,True,显著差异
llama-3b_newlayout,energy,news,E,1479.8942622936775,2.0,0.0,0.24903470995921234,0.12157405079205424,0.0143635622752979,11931.0,11931.0,0.0,stuart_maxwell,neutral|bearish|bullish,1e-300,300.0,True,显著差异
llama-3b_newlayout,energy,news,I,1707.733399147528,2.0,0.0,0.2675193719204247,0.14726343139720055,0.018173535414964748,11931.0,11931.0,0.0,stuart_maxwell,neutral|bearish|bullish,1e-300,300.0,True,显著差异
llama-3b_newlayout,energy,sst2,E,684.171705728495,2.0,9.764723659159683e-146,0.18494004729495023,0.06364999999999996,0.00751724141979495,10000.0,10000.0,0.0,stuart_maxwell,positive|negative|neutral,9.764723659159683e-146,145.01034004269874,True,显著差异
llama-3b_newlayout,energy,sst2,I,415.5267558084613,2.0,5.419440391526122e-87,0.14409970107276393,0.04135,0.0022806587272011496,10000.0,10000.0,0.0,stuart_maxwell,positive|negative|neutral,5.419440391526122e-87,86.26604555615896,True,显著差异
llama-3b_newlayout,execution,fiqasa,J,300.47137101317196,2.0,6.279602152229776e-66,0.35787967635477735,0.2301790281329923,0.07682169087111096,1173.0,1173.0,0.0,stuart_maxwell,positive|negative|neutral,6.279602152229776e-66,65.20206787036544,True,显著差异
llama-3b_newlayout,execution,fiqasa,P,112.56603127425089,2.0,4.2125417155137865e-25,0.21904534351153476,0.09207161125319685,0.01088317888818705,1173.0,1173.0,0.0,stuart_maxwell,positive|negative|neutral,4.2125417155137865e-25,24.37545578541372,True,显著差异
llama-3b_newlayout,execution,imdb,J,51.35349373263408,2.0,9.714240117645667e-10,0.05036439214304805,0.0071499999999998995,0.0001645489211796,10000.0,10000.0,0.0,stuart_maxwell,positive|negative|neutral,9.714240117645667e-10,9.012591165791983,True,显著差异
llama-3b_newlayout,execution,imdb,P,108.70106863445648,2.0,3.841032670440775e-22,0.07361993875346545,0.0121499999999999,0.0009274607345304,10000.0,10000.0,0.0,stuart_maxwell,positive|negative|neutral,3.841032670440775e-22,21.415551998866636,True,显著差异
llama-3b_newlayout,execution,imdb_sklearn,J,20.96483929382721,2.0,4.278627658480113e-05,0.0323406615255833,0.0038499999999999997,0.0007334394120879,10000.0,10000.0,0.0,stuart_maxwell,positive|negative|neutral,4.278627658480113e-05,4.368695505734665,True,显著差异
llama-3b_newlayout,execution,imdb_sklearn,P,122.80949623748289,2.0,3.809053393479072e-26,0.07832808873606281,0.01644999999999995,0.0030611315365540502,10000.0,10000.0,0.0,stuart_maxwell,positive|negative|neutral,3.809053393479072e-26,25.419182939565147,True,显著差异
llama-3b_newlayout,execution,mental,J,2626.5,1.0,1.874426972609518e-172,0.15776007405334852,0.0458280325638039,0.00274289462858145,31747.0,31128.0,619.0,mcnemar_exact,normal|depression,1.874426972609518e-172,171.72713147495998,True,显著差异
llama-3b_newlayout,execution,mental,P,10189.5,1.0,0.0,0.597144143152242,0.357459026089081,0.11007316103502329,31747.0,28436.0,3311.0,mcnemar_exact,normal|depression,1e-300,300.0,True,显著差异
llama-3b_newlayout,execution,news,J,324.94133553424615,2.0,2.8237552572801324e-71,0.11669411518300035,0.03612438186237525,0.00134847085625375,11931.0,11931.0,0.0,stuart_maxwell,neutral|bearish|bullish,2.8237552572801324e-71,70.54917294749943,True,显著差异
llama-3b_newlayout,execution,news,P,97.44399623512707,2.0,1.6522207595004546e-19,0.06377475194686766,0.02304919956416055,0.00063391775427955,11931.0,11931.0,0.0,stuart_maxwell,neutral|bearish|bullish,1.6522207595004546e-19,18.781931925400926,True,显著差异
llama-3b_newlayout,execution,sst2,J,565.4881219931556,2.0,7.32476211299407e-116,0.16806151108510964,0.0558,0.00773777713254885,10000.0,10000.0,0.0,stuart_maxwell,positive|negative|neutral,7.32476211299407e-116,115.13520647536862,True,显著差异
llama-3b_newlayout,execution,sst2,P,840.4319996575457,2.0,3.703755464967998e-176,0.20494992846918708,0.07109999999999994,0.01173336691843255,10000.0,10000.0,0.0,stuart_maxwell,positive|negative|neutral,3.703755464967998e-176,175.4313576947009,True,显著差异
llama-3b_newlayout,information,fiqasa,N,56.511473841375995,2.0,1.7137273705939242e-11,0.15478132970609634,0.05498721227621475,0.00338703537510005,1173.0,1173.0,0.0,stuart_maxwell,positive|negative|neutral,1.7137273705939242e-11,10.766058266930994,True,显著差异
llama-3b_newlayout,information,fiqasa,S,294.3656043749839,2.0,1.4142623344864329e-64,0.354224552102958,0.242540494458653,0.07965974470195686,1173.0,1173.0,0.0,stuart_maxwell,positive|negative|neutral,1.4142623344864329e-64,63.84947002487249,True,显著差异
llama-3b_newlayout,information,imdb,N,273.70606337826723,2.0,4.5041929932829895e-58,0.11696055937626246,0.023549999999999953,0.007010968292459251,10000.0,10000.0,0.0,stuart_maxwell,positive|negative|neutral,4.5041929932829895e-58,57.3463830093374,True,显著差异
llama-3b_newlayout,information,imdb,S,274.890713136488,2.0,1.5660683162335298e-58,0.11721740111032056,0.028949999999999948,0.0011476748356337,10000.0,10000.0,0.0,stuart_maxwell,positive|negative|neutral,1.5660683162335298e-58,57.80518929673778,True,显著差异
llama-3b_newlayout,information,imdb_sklearn,N,110.31959579948739,2.0,9.777186041075152e-22,0.07409811279064904,0.01489999999999995,0.00021044871572385,10000.0,10000.0,0.0,stuart_maxwell,positive|negative|neutral,9.777186041075152e-22,21.009786120946558,True,显著差异
llama-3b_newlayout,information,imdb_sklearn,S,324.4144638898997,2.0,1.948521980124531e-68,0.127331008015625,0.033600000000000005,0.0008236870593883,10000.0,10000.0,0.0,stuart_maxwell,positive|negative|neutral,1.948521980124531e-68,67.71029469082436,True,显著差异
