dataset,model_code,model_display,labels,support,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
imdb_sentiment,base,原始基座模型,negative|positive,10000,0.93,0.93,0.93,0.93,0.93,0.93,0.93
imdb_sentiment,st,ST性格模型,negative|positive,10000,0.89,0.91,0.89,0.89,0.91,0.89,0.89
imdb_sentiment,nf,NF性格模型,negative|positive,10000,0.93,0.94,0.93,0.93,0.94,0.93,0.93
mental_sentiment,base,原始基座模型,depression|normal,31747,0.69,0.76,0.7,0.68,0.76,0.69,0.68
mental_sentiment,st,ST性格模型,depression|normal,31747,0.79,0.82,0.8,0.8,0.82,0.79,0.8
mental_sentiment,nf,NF性格模型,depression|normal,31747,0.58,0.71,0.59,0.52,0.72,0.58,0.51
news_sentiment,base,原始基座模型,bearish|bullish|neutral,11931,0.58,0.59,0.72,0.58,0.73,0.58,0.57
news_sentiment,st,ST性格模型,bearish|bullish|neutral,11931,0.7,0.65,0.75,0.67,0.76,0.7,0.71
news_sentiment,nf,NF性格模型,bearish|bullish|neutral,11931,0.4,0.6,0.59,0.45,0.72,0.4,0.37
fiqasa_sentiment,base,原始基座模型,negative|neutral|positive,1173,0.64,0.56,0.59,0.54,0.76,0.64,0.65
fiqasa_sentiment,st,ST性格模型,negative|neutral|positive,1173,0.5,0.54,0.56,0.44,0.77,0.5,0.48
fiqasa_sentiment,nf,NF性格模型,negative|neutral|positive,1173,0.76,0.61,0.63,0.62,0.78,0.76,0.76
imdb_sklearn,base,原始基座模型,negative|positive,10000,0.94,0.94,0.94,0.94,0.94,0.94,0.94
imdb_sklearn,st,ST性格模型,negative|positive,10000,0.9,0.92,0.9,0.9,0.92,0.9,0.9
imdb_sklearn,nf,NF性格模型,negative|positive,10000,0.94,0.94,0.94,0.94,0.94,0.94,0.94
sst2,base,原始基座模型,negative|positive,10000,0.82,0.88,0.83,0.84,0.89,0.82,0.83
sst2,st,ST性格模型,negative|positive,10000,0.68,0.83,0.71,0.7,0.84,0.68,0.69
sst2,nf,NF性格模型,negative|positive,10000,0.88,0.91,0.88,0.89,0.91,0.88,0.89
