pair,dataset,run,model,test,statistic,df,p_value,effect_cramers_v,effect_tv,effect_js,n_total,n_used,n_dropped,labels
decision,imdb,run-001,F,stuart_maxwell,159.99999999999994,2,1.8048513878454602e-35,0.08944271909999157,0.015999999999999986,0.00018506111966010326,10000,10000,0,positive|negative|neutral
decision,imdb,run-002,F,stuart_maxwell,159.99999999999994,2,1.8048513878454602e-35,0.08944271909999157,0.015999999999999986,0.00018506111966010326,10000,10000,0,positive|negative|neutral
decision,imdb,run-001,T,stuart_maxwell,125.99999999999994,2,4.359610000063195e-28,0.0793725393319377,0.012599999999999972,0.00011516170900959487,10000,10000,0,positive|negative|neutral
decision,imdb,run-002,T,stuart_maxwell,125.99999999999994,2,4.359610000063195e-28,0.0793725393319377,0.012599999999999972,0.00011516170900959487,10000,10000,0,positive|negative|neutral
decision,mental,run-001,F,mcnemar_exact,1807.0,1,0.0,0.23857653693877504,0.05691876397769863,0.00234219620383826,31747,31747,0,normal|depression
decision,mental,run-002,F,mcnemar_exact,1807.0,1,0.0,0.23857653693877504,0.05691876397769863,0.00234219620383826,31747,31747,0,normal|depression
decision,mental,run-001,T,mcnemar_exact,1174.0,1,0.0,0.1916463124824113,0.03685387595678333,0.000982700662679862,31747,31747,0,normal|depression
decision,mental,run-002,T,mcnemar_exact,1174.0,1,0.0,0.1916463124824113,0.03685387595678333,0.000982700662679862,31747,31747,0,normal|depression
decision,news,run-001,F,stuart_maxwell,873.0388507408745,2,2.642544552051358e-190,0.1912772699416969,0.07333836224960184,0.005154216571171304,11931,11931,0,neutral|bearish|bullish
decision,news,run-002,F,stuart_maxwell,873.0388507408745,2,2.642544552051358e-190,0.1912772699416969,0.07333836224960184,0.005154216571171304,11931,11931,0,neutral|bearish|bullish
decision,news,run-001,T,stuart_maxwell,520.0259765412222,2,1.1961729327975913e-113,0.14762472391997047,0.0418238203000587,0.0017728731666684545,11931,11931,0,neutral|bearish|bullish
decision,news,run-002,T,stuart_maxwell,520.0259765412222,2,1.1961729327975913e-113,0.14762472391997047,0.0418238203000587,0.0017728731666684545,11931,11931,0,neutral|bearish|bullish
decision,fiqasa,run-001,F,stuart_maxwell,85.83779705771406,2,2.293819284244738e-19,0.19128251698305684,0.07075873827791988,0.007162812133710516,1173,1173,0,positive|negative|neutral
decision,fiqasa,run-002,F,stuart_maxwell,85.83779705771406,2,2.293819284244738e-19,0.19128251698305684,0.07075873827791988,0.007162812133710516,1173,1173,0,positive|negative|neutral
decision,fiqasa,run-001,T,stuart_maxwell,97.34206471494608,2,7.285162083938075e-22,0.20369776927697789,0.08098891730605284,0.008965345957913463,1173,1173,0,positive|negative|neutral
decision,fiqasa,run-002,T,stuart_maxwell,97.34206471494608,2,7.285162083938075e-22,0.20369776927697789,0.08098891730605284,0.008965345957913463,1173,1173,0,positive|negative|neutral
decision,imdb_sklearn,run-001,F,stuart_maxwell,93.5871559633027,2,4.762196308729068e-21,0.06840583160933822,0.010099999999999998,7.443620140060864e-05,10000,10000,0,positive|negative|neutral
decision,imdb_sklearn,run-002,F,stuart_maxwell,93.5871559633027,2,4.762196308729068e-21,0.06840583160933822,0.010099999999999998,7.443620140060864e-05,10000,10000,0,positive|negative|neutral
decision,imdb_sklearn,run-001,T,stuart_maxwell,112.03669724770629,2,4.693969975249699e-25,0.07484540642140514,0.011399999999999948,0.00031392643580441064,10000,10000,0,positive|negative|neutral
decision,imdb_sklearn,run-002,T,stuart_maxwell,112.03669724770629,2,4.693969975249699e-25,0.07484540642140514,0.011399999999999948,0.00031392643580441064,10000,10000,0,positive|negative|neutral
decision,sst2,run-001,F,stuart_maxwell,569.1441601216118,2,2.581760344799719e-124,0.1686926436039242,0.05689999999999999,0.0027341792050141764,10000,10000,0,positive|negative|neutral
decision,sst2,run-002,F,stuart_maxwell,569.1441601216118,2,2.581760344799719e-124,0.1686926436039242,0.05689999999999999,0.0027341792050141764,10000,10000,0,positive|negative|neutral
decision,sst2,run-001,T,stuart_maxwell,537.3408380237618,2,2.079311581343535e-117,0.16391168933663056,0.05360000000000001,0.0026199313391118673,10000,10000,0,positive|negative|neutral
decision,sst2,run-002,T,stuart_maxwell,537.3408380237618,2,2.079311581343535e-117,0.16391168933663056,0.05360000000000001,0.0026199313391118673,10000,10000,0,positive|negative|neutral
