pair,dataset,run,model,labels,n_total,count_positive,ratio_positive,count_negative,ratio_negative,count_neutral,ratio_neutral,accuracy_strict,precision_macro_strict,recall_macro_strict,f1_macro_strict,precision_weighted_strict,recall_weighted_strict,f1_weighted_strict,support_strict,accuracy_neutral,precision_macro_neutral,recall_macro_neutral,f1_macro_neutral,precision_weighted_neutral,recall_weighted_neutral,f1_weighted_neutral,support_neutral,count_normal,ratio_normal,count_depression,ratio_depression,count_bearish,ratio_bearish,count_bullish,ratio_bullish
energy,imdb_sklearn,avg,BASE,positive|negative|neutral,10000.0,4417.0,0.4417,5582.0,0.5582,1.0,0.0001,0.9195,0.9256911405535776,0.9198396461713039,0.9192950359506324,0.9259842907686961,0.9195,0.9192696941781072,10000,0.9195,0.9256911405535776,0.9198396461713039,0.9192950359506324,0.9259842907686961,0.9195,0.9192696941781072,10000,,,,,,,,
energy,imdb_sklearn,avg,E,positive|negative|neutral,10000.0,4669.0,0.4669,5330.0,0.533,1.0,0.0001,0.9345,0.9366836147726191,0.9346989921603941,0.9344852586066013,0.9368606752855146,0.9345,0.9344738798404709,10000,0.9345,0.9366836147726191,0.9346989921603941,0.9344852586066013,0.9368606752855146,0.9345,0.9344738798404709,10000,,,,,,,,
energy,imdb_sklearn,avg,I,positive|negative|neutral,10000.0,4410.0,0.441,5589.0,0.5589,1.0,0.0001,0.9184,0.9247211176472736,0.9187435317971572,0.9181851409903161,0.9250169651027347,0.9184,0.9181591338256909,10000,0.9184,0.9247211176472736,0.9187435317971572,0.9181851409903161,0.9250169651027347,0.9184,0.9181591338256909,10000,,,,,,,,
energy,imdb,run-001,BASE,positive|negative|neutral,10000.0,4691.0,0.4691,5309.0,0.5309,0.0,0.0,0.9315,0.9331543203062866,0.9315,0.93143453300646,0.9331543203062865,0.9315,0.93143453300646,10000,0.9315,0.9331543203062866,0.9315,0.93143453300646,0.9331543203062865,0.9315,0.93143453300646,10000,,,,,,,,
energy,imdb,run-001,E,positive|negative|neutral,10000.0,4813.0,0.4813,5187.0,0.5187,0.0,0.0,0.9357,0.9363102933859766,0.9357,0.9356775070674463,0.9363102933859766,0.9357,0.9356775070674462,10000,0.9357,0.9363102933859766,0.9357,0.9356775070674463,0.9363102933859766,0.9357,0.9356775070674462,10000,,,,,,,,
energy,imdb,run-001,I,positive|negative|neutral,10000.0,4553.0,0.4553,5447.0,0.5447,0.0,0.0,0.9247,0.9281217027723698,0.9247000000000001,0.9245492425961389,0.9281217027723698,0.9247,0.9245492425961389,10000,0.9247,0.9281217027723698,0.9247000000000001,0.9245492425961389,0.9281217027723698,0.9247,0.9245492425961389,10000,,,,,,,,
energy,imdb,run-002,BASE,positive|negative|neutral,10000.0,4691.0,0.4691,5309.0,0.5309,0.0,0.0,0.9315,0.9331543203062866,0.9315,0.93143453300646,0.9331543203062865,0.9315,0.93143453300646,10000,0.9315,0.9331543203062866,0.9315,0.93143453300646,0.9331543203062865,0.9315,0.93143453300646,10000,,,,,,,,
energy,imdb,run-002,E,positive|negative|neutral,10000.0,4813.0,0.4813,5187.0,0.5187,0.0,0.0,0.9357,0.9363102933859766,0.9357,0.9356775070674463,0.9363102933859766,0.9357,0.9356775070674462,10000,0.9357,0.9363102933859766,0.9357,0.9356775070674463,0.9363102933859766,0.9357,0.9356775070674462,10000,,,,,,,,
energy,imdb,run-002,I,positive|negative|neutral,10000.0,4553.0,0.4553,5447.0,0.5447,0.0,0.0,0.9247,0.9281217027723698,0.9247000000000001,0.9245492425961389,0.9281217027723698,0.9247,0.9245492425961389,10000,0.9247,0.9281217027723698,0.9247000000000001,0.9245492425961389,0.9281217027723698,0.9247,0.9245492425961389,10000,,,,,,,,
energy,imdb,avg,BASE,positive|negative|neutral,10000.0,4691.0,0.4691,5309.0,0.5309,0.0,0.0,0.9315,0.9331543203062866,0.9315,0.93143453300646,0.9331543203062865,0.9315,0.93143453300646,10000,0.9315,0.9331543203062866,0.9315,0.93143453300646,0.9331543203062865,0.9315,0.93143453300646,10000,,,,,,,,
