pair,dataset,run,model,test,statistic,df,p_value,n_total,n_used,n_dropped,labels
energy,imdb,run-001,E,stuart_maxwell,122.00000000000006,2,3.2213402859924316e-27,10000,10000,0,positive|negative|neutral
energy,imdb,run-002,E,stuart_maxwell,122.00000000000006,2,3.2213402859924316e-27,10000,10000,0,positive|negative|neutral
energy,imdb,run-001,I,stuart_maxwell,137.99999999999994,2,1.0806392777073147e-30,10000,10000,0,positive|negative|neutral
energy,imdb,run-002,I,stuart_maxwell,137.99999999999994,2,1.0806392777073147e-30,10000,10000,0,positive|negative|neutral
energy,mental,run-001,E,mcnemar_exact,2029.0,1,1.176734e-317,31747,31744,3,normal|depression
energy,mental,run-002,E,mcnemar_exact,2029.0,1,1.176734e-317,31747,31744,3,normal|depression
energy,mental,run-001,I,mcnemar_exact,2302.0,1,0.0,31747,31745,2,normal|depression
energy,mental,run-002,I,mcnemar_exact,2302.0,1,0.0,31747,31745,2,normal|depression
energy,news,run-001,E,stuart_maxwell,74.35241041505543,2,7.154498883943921e-17,11931,11931,0,neutral|bearish|bullish
energy,news,run-002,E,stuart_maxwell,74.35241041505543,2,7.154498883943921e-17,11931,11931,0,neutral|bearish|bullish
energy,news,run-001,I,stuart_maxwell,1205.7888537187507,2,1.4664837155307248e-262,11931,11931,0,neutral|bearish|bullish
energy,news,run-002,I,stuart_maxwell,1205.7888537187507,2,1.4664837155307248e-262,11931,11931,0,neutral|bearish|bullish
energy,fiqasa,run-001,E,stuart_maxwell,83.00391772771792,2,9.460809053455215e-19,1173,1173,0,positive|negative|neutral
energy,fiqasa,run-002,E,stuart_maxwell,83.00391772771792,2,9.460809053455215e-19,1173,1173,0,positive|negative|neutral
energy,fiqasa,run-001,I,stuart_maxwell,60.0702947845805,2,9.03443971710817e-14,1173,1173,0,positive|negative|neutral
energy,fiqasa,run-002,I,stuart_maxwell,60.0702947845805,2,9.03443971710817e-14,1173,1173,0,positive|negative|neutral
energy,imdb_sklearn,run-001,E,stuart_maxwell,242.38167938931292,2,2.3307036880690666e-53,10000,10000,0,positive|negative|neutral
energy,imdb_sklearn,run-002,E,stuart_maxwell,242.38167938931292,2,2.3307036880690666e-53,10000,10000,0,positive|negative|neutral
energy,imdb_sklearn,run-001,I,stuart_maxwell,0.21875,2,0.8963942066351505,10000,10000,0,positive|negative|neutral
energy,imdb_sklearn,run-002,I,stuart_maxwell,0.21875,2,0.8963942066351505,10000,10000,0,positive|negative|neutral
energy,sst2,run-001,E,stuart_maxwell,450.00000000000637,2,1.9219477278177058e-98,10000,10000,0,positive|negative|neutral
energy,sst2,run-002,E,stuart_maxwell,450.00000000000637,2,1.9219477278177058e-98,10000,10000,0,positive|negative|neutral
energy,sst2,run-001,I,stuart_maxwell,469.1444410224822,2,1.338378724241388e-102,10000,10000,0,positive|negative|neutral
energy,sst2,run-002,I,stuart_maxwell,469.1444410224822,2,1.338378724241388e-102,10000,10000,0,positive|negative|neutral
