pair,dataset,run,model,labels,n_total,count_positive,ratio_positive,count_negative,ratio_negative,count_neutral,ratio_neutral,accuracy_strict,precision_macro_strict,recall_macro_strict,f1_macro_strict,precision_weighted_strict,recall_weighted_strict,f1_weighted_strict,support_strict,accuracy_neutral,precision_macro_neutral,recall_macro_neutral,f1_macro_neutral,precision_weighted_neutral,recall_weighted_neutral,f1_weighted_neutral,support_neutral,count_normal,ratio_normal,count_depression,ratio_depression,count_bearish,ratio_bearish,count_bullish,ratio_bullish
information,imdb,run-001,BASE,positive|negative|neutral,10000,4691.0,0.4691,5309.0,0.5309,0,0.0,0.9315,0.9331543203062866,0.9315,0.93143453300646,0.9331543203062865,0.9315,0.93143453300646,10000,0.9315,0.9331543203062866,0.9315,0.93143453300646,0.9331543203062865,0.9315,0.93143453300646,10000,,,,,,,,
information,imdb,run-001,N,positive|negative|neutral,10000,4778.0,0.4778,5222.0,0.5222,0,0.0,0.9338,0.9346568651576973,0.9338,0.9337673579046697,0.9346568651576974,0.9338,0.9337673579046697,10000,0.9338,0.9346568651576973,0.9338,0.9337673579046697,0.9346568651576974,0.9338,0.9337673579046697,10000,,,,,,,,
information,imdb,run-001,S,positive|negative|neutral,10000,4607.0,0.4607,5393.0,0.5393,0,0.0,0.9277,0.9303587390756598,0.9277,0.9275881606382241,0.9303587390756598,0.9277,0.9275881606382241,10000,0.9277,0.9303587390756598,0.9277,0.9275881606382241,0.9303587390756598,0.9277,0.9275881606382241,10000,,,,,,,,
information,imdb,run-002,BASE,positive|negative|neutral,10000,4691.0,0.4691,5309.0,0.5309,0,0.0,0.9315,0.9331543203062866,0.9315,0.93143453300646,0.9331543203062865,0.9315,0.93143453300646,10000,0.9315,0.9331543203062866,0.9315,0.93143453300646,0.9331543203062865,0.9315,0.93143453300646,10000,,,,,,,,
information,imdb,run-002,N,positive|negative|neutral,10000,4778.0,0.4778,5222.0,0.5222,0,0.0,0.9338,0.9346568651576973,0.9338,0.9337673579046697,0.9346568651576974,0.9338,0.9337673579046697,10000,0.9338,0.9346568651576973,0.9338,0.9337673579046697,0.9346568651576974,0.9338,0.9337673579046697,10000,,,,,,,,
information,imdb,run-002,S,positive|negative|neutral,10000,4607.0,0.4607,5393.0,0.5393,0,0.0,0.9277,0.9303587390756598,0.9277,0.9275881606382241,0.9303587390756598,0.9277,0.9275881606382241,10000,0.9277,0.9303587390756598,0.9277,0.9275881606382241,0.9303587390756598,0.9277,0.9275881606382241,10000,,,,,,,,
information,imdb,avg,BASE,positive|negative|neutral,10000,4691.0,0.4691,5309.0,0.5309,0,0.0,0.9315,0.9331543203062866,0.9315,0.93143453300646,0.9331543203062865,0.9315,0.93143453300646,10000,0.9315,0.9331543203062866,0.9315,0.93143453300646,0.9331543203062865,0.9315,0.93143453300646,10000,,,,,,,,
information,imdb,avg,N,positive|negative|neutral,20000,9556.0,0.4778,10444.0,0.5222,0,0.0,0.9338,0.9346568651576973,0.9338,0.9337673579046697,0.9346568651576974,0.9338,0.9337673579046697,10000,0.9338,0.9346568651576973,0.9338,0.9337673579046697,0.9346568651576974,0.9338,0.9337673579046697,10000,,,,,,,,
information,imdb,avg,S,positive|negative|neutral,20000,9214.0,0.4607,10786.0,0.5393,0,0.0,0.9277,0.9303587390756598,0.9277,0.9275881606382241,0.9303587390756598,0.9277,0.9275881606382241,10000,0.9277,0.9303587390756598,0.9277,0.9275881606382241,0.9303587390756598,0.9277,0.9275881606382241,10000,,,,,,,,
information,mental,run-001,BASE,normal|depression|neutral,31747,,,,,0,0.0,0.899549563738306,0.8994153834151728,0.8996639578315377,0.899497582631908,0.8996648791051176,0.899549563738306,0.8995651868686222,31747,0.899549563738306,0.8994153834151728,0.8996639578315377,0.899497582631908,0.8996648791051176,0.899549563738306,0.8995651868686222,31747,16126.0,0.5079535074180237,15621.0,0.49204649258197625,,,,
