pair,dataset,run,model,test,statistic,df,p_value,effect_cramers_v,effect_tv,effect_js,n_total,n_used,n_dropped,labels
information,imdb,run-001,N,stuart_maxwell,79.67368421052629,2,5.001258439318258e-18,0.063116433759571,0.008700000000000013,5.475387694647881e-05,10000,10000,0,positive|negative|neutral
information,imdb,run-002,N,stuart_maxwell,79.67368421052629,2,5.001258439318258e-18,0.063116433759571,0.008700000000000013,5.475387694647881e-05,10000,10000,0,positive|negative|neutral
information,imdb,run-001,S,stuart_maxwell,78.39999999999996,2,9.454886273886723e-18,0.0626099033699941,0.00839999999999999,5.11509685238885e-05,10000,10000,0,positive|negative|neutral
information,imdb,run-002,S,stuart_maxwell,78.39999999999996,2,9.454886273886723e-18,0.0626099033699941,0.00839999999999999,5.11509685238885e-05,10000,10000,0,positive|negative|neutral
information,mental,run-001,N,mcnemar_exact,3466.0,1,0.0,0.3157414092075467,0.10432810432810433,0.007928218185934338,31747,31746,1,normal|depression
information,mental,run-002,N,mcnemar_exact,3466.0,1,0.0,0.3157513555418498,0.10433467741935484,0.007929137261918066,31747,31744,3,normal|depression
information,mental,run-001,S,mcnemar_exact,1459.0,1,9.315593019970916e-44,0.07714012023809605,0.016536995621633493,0.0001972775813690996,31747,31747,0,normal|depression
information,mental,run-002,S,mcnemar_exact,1459.0,1,9.315593019970916e-44,0.0771425501925859,0.01653803748621835,0.00019730242619529076,31747,31745,2,normal|depression
information,news,run-001,N,stuart_maxwell,502.92798113909913,2,6.174140359554847e-110,0.14517755526298565,0.03612438186237535,0.0020017909162854536,11931,11931,0,neutral|bearish|bullish
information,news,run-002,N,stuart_maxwell,502.92798113909913,2,6.174140359554847e-110,0.14517755526298565,0.03612438186237535,0.0020017909162854536,11931,11931,0,neutral|bearish|bullish
information,news,run-001,S,stuart_maxwell,765.4123820911386,2,6.2060181116797184e-167,0.1790994784201237,0.06219093118766239,0.00342915533367405,11931,11931,0,neutral|bearish|bullish
information,news,run-002,S,stuart_maxwell,765.4123820911386,2,6.2060181116797184e-167,0.1790994784201237,0.06219093118766239,0.00342915533367405,11931,11931,0,neutral|bearish|bullish
information,fiqasa,run-001,N,stuart_maxwell,10.450450450450454,2,0.005379148303579953,0.0667426584704082,0.01108269394714409,9.359468549020292e-05,1173,1173,0,positive|negative|neutral
information,fiqasa,run-002,N,stuart_maxwell,10.450450450450454,2,0.005379148303579953,0.0667426584704082,0.01108269394714409,9.359468549020292e-05,1173,1173,0,positive|negative|neutral
information,fiqasa,run-001,S,stuart_maxwell,23.34848484848485,2,8.510222889491018e-06,0.09976204606371492,0.019607843137254895,0.000670865271435968,1173,1173,0,positive|negative|neutral
information,fiqasa,run-002,S,stuart_maxwell,23.34848484848485,2,8.510222889491018e-06,0.09976204606371492,0.019607843137254895,0.000670865271435968,1173,1173,0,positive|negative|neutral
information,imdb_sklearn,run-001,N,stuart_maxwell,148.0845070422589,2,6.980039303791045e-33,0.08604780852591741,0.017700000000000028,0.00023911078792191923,10000,10000,0,positive|negative|neutral
information,imdb_sklearn,run-002,N,stuart_maxwell,148.0845070422589,2,6.980039303791045e-33,0.08604780852591741,0.017700000000000028,0.00023911078792191923,10000,10000,0,positive|negative|neutral
information,imdb_sklearn,run-001,S,stuart_maxwell,56.023391812864304,2,6.834001016881112e-13,0.05292607666021746,0.009700000000000047,0.00011803112716083142,10000,10000,0,positive|negative|neutral
information,imdb_sklearn,run-002,S,stuart_maxwell,56.023391812864304,2,6.834001016881112e-13,0.05292607666021746,0.009700000000000047,0.00011803112716083142,10000,10000,0,positive|negative|neutral
information,sst2,run-001,N,stuart_maxwell,0.3787696019300367,2,0.8274680349261799,0.004351836405071063,0.0005999999999999671,2.3600591412587554e-06,10000,10000,0,positive|negative|neutral
information,sst2,run-002,N,stuart_maxwell,0.3787696019300367,2,0.8274680349261799,0.004351836405071063,0.0005999999999999671,2.3600591412587554e-06,10000,10000,0,positive|negative|neutral
information,sst2,run-001,S,stuart_maxwell,24.011834319526603,2,6.107963418348283e-06,0.03464955578324678,0.005599999999999983,4.6891559984051936e-05,10000,10000,0,positive|negative|neutral
information,sst2,run-002,S,stuart_maxwell,24.011834319526603,2,6.107963418348283e-06,0.03464955578324678,0.005599999999999983,4.6891559984051936e-05,10000,10000,0,positive|negative|neutral
