model_root,dimension,dataset,p_value,effect_cramers_v,effect_tv,effect_js,n_total,n_used,n_dropped,p_value_clamped,neg_log10_p
qwen-3b_newlayout,decision,fiqasa,1.150552223164338e-19,0.19749014313001728,0.0758738277919863,0.00806407904581195,1173.0,1173.0,0.0,1.150552223164338e-19,18.93909366407281
qwen-3b_newlayout,decision,imdb,2.179805090274167e-28,0.0844076292159646,0.0142999999999999,0.0001501114143348,10000.0,10000.0,0.0,2.179805090274167e-28,27.661582337589316
qwen-3b_newlayout,decision,imdb_sklearn,2.3813328528632964e-21,0.07162561901537165,0.0107499999999999,0.00019418131860250433,10000.0,10000.0,0.0,2.3813328528632964e-21,20.623179896464666
qwen-3b_newlayout,decision,mental,0.0,0.21511142471059314,0.04688631996724095,0.001662448433259,31747.0,31747.0,0.0,1e-300,300.0
qwen-3b_newlayout,decision,news,5.980864663987956e-114,0.16945099693083365,0.05758109127483025,0.00346354486891985,11931.0,11931.0,0.0,5.980864663987956e-114,113.22323602476533
qwen-3b_newlayout,decision,sst2,1.0396559197597848e-117,0.16630216647027735,0.05524999999999995,0.00267705527206295,10000.0,10000.0,0.0,1.0396559197597848e-117,116.98311036923454
qwen-3b_newlayout,energy,fiqasa,4.5172671625993525e-14,0.1740576958506056,0.060102301790281296,0.004492292529117399,1173.0,1173.0,0.0,4.5172671625993525e-14,13.345124223405502
qwen-3b_newlayout,energy,imdb,1.6112104626350696e-27,0.0805843676941236,0.0129999999999999,0.00012290022060445,10000.0,10000.0,0.0,1.6112104626350696e-27,26.79284772662541
qwen-3b_newlayout,energy,imdb_sklearn,0.44819710331757523,0.056696950139060696,0.01294999999999995,0.00023119573066493048,10000.0,10000.0,0.0,0.44819710331757523,0.34853095462214934
qwen-3b_newlayout,energy,mental,5.88367e-318,0.2170818706206242,0.05680851734022105,0.0023618041477976,31747.0,31747.0,0.0,1e-300,300.0
qwen-3b_newlayout,energy,news,2.2961540455008312e-17,0.14051912796008154,0.0555276171318414,0.0040779377615355,11931.0,11931.0,0.0,2.2961540455008312e-17,16.638998979136968
qwen-3b_newlayout,energy,sst2,9.610407828450648e-99,0.15157875366432325,0.04594999999999995,0.0017999592776384,10000.0,10000.0,0.0,9.610407828450648e-99,98.01725818216626
qwen-3b_newlayout,execution,fiqasa,2.8601086345471026e-12,0.16645426530367405,0.0528559249786871,0.00515359868230215,1173.0,1173.0,0.0,2.8601086345471026e-12,11.543617470896013
qwen-3b_newlayout,execution,imdb,0.13794703321517274,0.0154175660349021,0.00125,1.1764898346520644e-06,10000.0,10000.0,0.0,0.13794703321517274,0.8602876353235026
qwen-3b_newlayout,execution,imdb_sklearn,3.599159010566878e-21,0.0707030333077649,0.013600000000000001,0.00013504774862005,10000.0,10000.0,0.0,3.599159010566878e-21,20.443798965826595
qwen-3b_newlayout,execution,mental,0.0,0.2202154862711498,0.058194475068510304,0.00245758704105255,31747.0,31747.0,0.0,1e-300,300.0
qwen-3b_newlayout,execution,news,4.509328993354232e-15,0.13554954944418598,0.0531807895398541,0.003548688550124001,11931.0,11931.0,0.0,4.509328993354232e-15,14.345888078114132
qwen-3b_newlayout,execution,sst2,2.501904751248951e-28,0.08200054681884611,0.01339999999999995,0.00028652578110300003,10000.0,10000.0,0.0,2.501904751248951e-28,27.60172922813356
qwen-3b_newlayout,information,fiqasa,0.0026938292632346958,0.08325235226706154,0.0153452685421994,0.00038222997846305146,1173.0,1173.0,0.0,0.0026938292632346958,2.5696299336259583
qwen-3b_newlayout,information,imdb,7.228072356602491e-18,0.06286316856478255,0.00854999999999995,5.2952422735183654e-05,10000.0,10000.0,0.0,7.228072356602491e-18,17.140977508585387
qwen-3b_newlayout,information,imdb_sklearn,3.417000508440556e-13,0.0694869425930674,0.0137,0.00017857095754135,10000.0,10000.0,0.0,3.417000508440556e-13,12.466354956579373
qwen-3b_newlayout,information,mental,4.657796509985458e-44,0.19644385879501958,0.060434453713827704,0.004062983863854125,31747.0,31745.5,1.5,4.657796509985458e-44,43.33181948886293
qwen-3b_newlayout,information,news,3.0870701797774234e-110,0.16213851684155464,0.0491576565250188,0.0027154731249796997,11931.0,11931.0,0.0,3.0870701797774234e-110,109.51045349739071
qwen-3b_newlayout,information,sst2,0.41373707144479915,0.019500696094158852,0.0030999999999999,2.4625809562655346e-05,10000.0,10000.0,0.0,0.41373707144479915,0.38327556394228673
