pair,dataset,run,model,test,statistic,df,p_value,n_total,n_used,n_dropped,labels
decision,imdb,run-001,F,stuart_maxwell,95.63460559796444,2,1.7108394455527868e-21,10000,10000,0,positive|negative|neutral
decision,imdb,run-002,F,stuart_maxwell,95.63460559796444,2,1.7108394455527868e-21,10000,10000,0,positive|negative|neutral
decision,imdb,run-001,T,stuart_maxwell,136.50981743024465,2,2.276511152387597e-30,10000,10000,0,positive|negative|neutral
decision,imdb,run-002,T,stuart_maxwell,136.50981743024465,2,2.276511152387597e-30,10000,10000,0,positive|negative|neutral
decision,mental,run-001,F,mcnemar_exact,1141.0,1,0.0,31747,31746,1,normal|depression
decision,mental,run-002,F,mcnemar_exact,1141.0,1,0.0,31747,31746,1,normal|depression
decision,mental,run-001,T,mcnemar_exact,1088.0,1,0.0,31747,31745,2,normal|depression
decision,mental,run-002,T,mcnemar_exact,1088.0,1,0.0,31747,31745,2,normal|depression
decision,news,run-001,F,stuart_maxwell,513.5648529433316,2,3.0255834341145405e-112,11931,11931,0,neutral|bearish|bullish
decision,news,run-002,F,stuart_maxwell,513.5648529433316,2,3.0255834341145405e-112,11931,11931,0,neutral|bearish|bullish
decision,news,run-001,T,stuart_maxwell,475.4933374305109,2,5.596721367097203e-104,11931,11931,0,neutral|bearish|bullish
decision,news,run-002,T,stuart_maxwell,475.4933374305109,2,5.596721367097203e-104,11931,11931,0,neutral|bearish|bullish
decision,fiqasa,run-001,F,stuart_maxwell,48.06818181818182,2,3.648605770161875e-11,1173,1173,0,positive|negative|neutral
decision,fiqasa,run-002,F,stuart_maxwell,48.06818181818182,2,3.648605770161875e-11,1173,1173,0,positive|negative|neutral
decision,fiqasa,run-001,T,stuart_maxwell,60.33333333333333,2,7.921056831539865e-14,1173,1173,0,positive|negative|neutral
decision,fiqasa,run-002,T,stuart_maxwell,60.33333333333333,2,7.921056831539865e-14,1173,1173,0,positive|negative|neutral
decision,imdb_sklearn,run-001,F,stuart_maxwell,105.04158415841587,2,1.550635829899271e-23,10000,10000,0,positive|negative|neutral
decision,imdb_sklearn,run-002,F,stuart_maxwell,105.04158415841587,2,1.550635829899271e-23,10000,10000,0,positive|negative|neutral
decision,imdb_sklearn,run-001,T,stuart_maxwell,140.86716417910452,2,2.5768192596634824e-31,10000,10000,0,positive|negative|neutral
decision,imdb_sklearn,run-002,T,stuart_maxwell,140.86716417910452,2,2.5768192596634824e-31,10000,10000,0,positive|negative|neutral
decision,sst2,run-001,F,stuart_maxwell,330.4091983454797,2,1.7887687299972278e-72,10000,10000,0,positive|negative|neutral
decision,sst2,run-002,F,stuart_maxwell,325.243062667642,2,2.367916059995044e-71,10000,10000,0,positive|negative|neutral
decision,sst2,run-001,T,stuart_maxwell,382.5817698330625,2,8.383478258031884e-84,10000,10000,0,positive|negative|neutral
decision,sst2,run-002,T,stuart_maxwell,382.5817698330625,2,8.383478258031884e-84,10000,10000,0,positive|negative|neutral
