pair,dataset,run,model,test,statistic,df,p_value,effect_cramers_v,effect_tv,effect_js,n_total,n_used,n_dropped,labels
energy,imdb,run-001,E,stuart_maxwell,56.15730337078656,2,6.391407585352034e-13,0.05298929296130802,0.005599999999999994,3.6640873330186815e-05,10000,10000,0,positive|negative|neutral
energy,imdb,run-002,E,stuart_maxwell,56.15730337078656,2,6.391407585352034e-13,0.05298929296130802,0.005599999999999994,3.6640873330186815e-05,10000,10000,0,positive|negative|neutral
energy,imdb,run-001,I,stuart_maxwell,70.60702875399359,2,4.654558727749397e-16,0.05941676057897872,0.0067999999999999615,3.750224864617354e-05,10000,10000,0,positive|negative|neutral
energy,imdb,run-002,I,stuart_maxwell,70.60702875399359,2,4.654558727749397e-16,0.05941676057897872,0.0067999999999999615,3.750224864617354e-05,10000,10000,0,positive|negative|neutral
energy,mental,run-001,E,mcnemar_exact,1866.0,1,8.40304883199637e-225,0.17112694380438978,0.04152336478086646,0.0013447733969532728,31747,31693,54,normal|depression
energy,mental,run-002,E,mcnemar_exact,1865.0,1,2.4749062870798395e-225,0.17131369788591325,0.04156016283252861,0.0013472116167376254,31747,31689,58,normal|depression
energy,mental,run-001,I,mcnemar_exact,2289.0,1,0.0,0.2262654566342536,0.06081358285732319,0.002921576048765348,31747,31687,60,normal|depression
energy,mental,run-002,I,mcnemar_exact,2289.0,1,0.0,0.2262690270387137,0.060815502114498515,0.0029217186465835716,31747,31686,61,normal|depression
energy,news,run-001,E,stuart_maxwell,218.24352679725052,2,4.064623281749445e-48,0.09563508867979802,0.01936132763389488,0.0002766252054467533,11931,11931,0,neutral|bearish|bullish
energy,news,run-002,E,stuart_maxwell,218.24352679725052,2,4.064623281749445e-48,0.09563508867979802,0.01936132763389488,0.0002766252054467533,11931,11931,0,neutral|bearish|bullish
energy,news,run-001,I,stuart_maxwell,366.0271884131622,2,3.2976603525300046e-80,0.12385206506623196,0.02916771435755599,0.0007699949317662227,11931,11931,0,neutral|bearish|bullish
energy,news,run-002,I,stuart_maxwell,366.0271884131622,2,3.2976603525300046e-80,0.12385206506623196,0.02916771435755599,0.0007699949317662227,11931,11931,0,neutral|bearish|bullish
energy,fiqasa,run-001,E,stuart_maxwell,45.121951219512184,2,1.591815709225002e-10,0.1386851408578519,0.03836317135549874,0.001340517619395071,1173,1173,0,positive|negative|neutral
energy,fiqasa,run-002,E,stuart_maxwell,45.121951219512184,2,1.591815709225002e-10,0.1386851408578519,0.03836317135549874,0.001340517619395071,1173,1173,0,positive|negative|neutral
energy,fiqasa,run-001,I,stuart_maxwell,41.0,2,1.2501528663867415e-09,0.13219892525934995,0.03665814151747654,0.0012317544860523683,1173,1173,0,positive|negative|neutral
energy,fiqasa,run-002,I,stuart_maxwell,41.0,2,1.2501528663867415e-09,0.13219892525934995,0.03665814151747654,0.0012317544860523683,1173,1173,0,positive|negative|neutral
energy,imdb_sklearn,run-001,E,stuart_maxwell,112.74315391879122,2,3.297123314609538e-25,0.07508100755810061,0.013,0.0005813427039944113,10000,10000,0,positive|negative|neutral
energy,imdb_sklearn,run-002,E,stuart_maxwell,112.74315391879122,2,3.297123314609538e-25,0.07508100755810061,0.013,0.0005813427039944113,10000,10000,0,positive|negative|neutral
energy,imdb_sklearn,run-001,I,stuart_maxwell,25.16063960639606,2,3.4390344703568714e-06,0.03546874652873714,0.003800000000000002,0.0004442873087498159,10000,10000,0,positive|negative|neutral
energy,imdb_sklearn,run-002,I,stuart_maxwell,25.16063960639606,2,3.4390344703568714e-06,0.03546874652873714,0.003800000000000002,0.0004442873087498159,10000,10000,0,positive|negative|neutral
energy,sst2,run-001,E,stuart_maxwell,154.81077022098262,2,2.4169539555852844e-34,0.08798033025085283,0.014199999999999994,0.00015969819043357928,10000,10000,0,positive|negative|neutral
energy,sst2,run-002,E,stuart_maxwell,154.81077022098262,2,2.4169539555852844e-34,0.08798033025085283,0.014199999999999994,0.00015969819043357928,10000,10000,0,positive|negative|neutral
energy,sst2,run-001,I,stuart_maxwell,154.81077022098262,2,2.4169539555852844e-34,0.08798033025085283,0.014199999999999997,0.0001590633737207749,10000,10000,0,positive|negative|neutral
energy,sst2,run-002,I,stuart_maxwell,154.81077022098262,2,2.4169539555852844e-34,0.08798033025085283,0.014199999999999997,0.0001590633737207749,10000,10000,0,positive|negative|neutral
