pair,dataset,run,model,labels,n_total,count_positive,ratio_positive,count_negative,ratio_negative,count_neutral,ratio_neutral,accuracy_strict,precision_macro_strict,recall_macro_strict,f1_macro_strict,precision_weighted_strict,recall_weighted_strict,f1_weighted_strict,support_strict,accuracy_neutral,precision_macro_neutral,recall_macro_neutral,f1_macro_neutral,precision_weighted_neutral,recall_weighted_neutral,f1_weighted_neutral,support_neutral,count_normal,ratio_normal,count_depression,ratio_depression,count_bearish,ratio_bearish,count_bullish,ratio_bullish
execution,imdb,run-001,BASE,positive|negative|neutral,10000.0,4852.0,0.4852,5117.0,0.5117,31.0,0.0031,0.9445,0.9477414405628813,0.9445,0.9459507481508174,0.9477414405628813,0.9445,0.9459507481508174,10000,0.9445,0.9477414405628813,0.9445,0.9459507481508174,0.9477414405628813,0.9445,0.9459507481508174,10000,,,,,,,,
execution,imdb,run-001,J,positive|negative|neutral,10000.0,4843.0,0.4843,5132.0,0.5132,25.0,0.0025,0.9444,0.9471262610908482,0.9444,0.945562614933653,0.9471262610908481,0.9444,0.9455626149336531,10000,0.9444,0.9471262610908482,0.9444,0.945562614933653,0.9471262610908481,0.9444,0.9455626149336531,10000,,,,,,,,
execution,imdb,run-001,P,positive|negative|neutral,10000.0,4862.0,0.4862,5103.0,0.5103,35.0,0.0035,0.9441,0.9476668735927996,0.9440999999999999,0.9457417237617818,0.9476668735927994,0.9441,0.9457417237617818,10000,0.9441,0.9476668735927996,0.9440999999999999,0.9457417237617818,0.9476668735927994,0.9441,0.9457417237617818,10000,,,,,,,,
execution,imdb,run-002,BASE,positive|negative|neutral,10000.0,4852.0,0.4852,5117.0,0.5117,31.0,0.0031,0.9445,0.9477414405628813,0.9445,0.9459507481508174,0.9477414405628813,0.9445,0.9459507481508174,10000,0.9445,0.9477414405628813,0.9445,0.9459507481508174,0.9477414405628813,0.9445,0.9459507481508174,10000,,,,,,,,
execution,imdb,run-002,J,positive|negative|neutral,10000.0,4843.0,0.4843,5132.0,0.5132,25.0,0.0025,0.9444,0.9471262610908482,0.9444,0.945562614933653,0.9471262610908481,0.9444,0.9455626149336531,10000,0.9444,0.9471262610908482,0.9444,0.945562614933653,0.9471262610908481,0.9444,0.9455626149336531,10000,,,,,,,,
execution,imdb,run-002,P,positive|negative|neutral,10000.0,4862.0,0.4862,5103.0,0.5103,35.0,0.0035,0.9441,0.9476668735927996,0.9440999999999999,0.9457417237617818,0.9476668735927994,0.9441,0.9457417237617818,10000,0.9441,0.9476668735927996,0.9440999999999999,0.9457417237617818,0.9476668735927994,0.9441,0.9457417237617818,10000,,,,,,,,
execution,imdb,avg,BASE,positive|negative|neutral,10000.0,4852.0,0.4852,5117.0,0.5117,31.0,0.0031,0.9445,0.9477414405628813,0.9445,0.9459507481508174,0.9477414405628813,0.9445,0.9459507481508174,10000,0.9445,0.9477414405628813,0.9445,0.9459507481508174,0.9477414405628813,0.9445,0.9459507481508174,10000,,,,,,,,
execution,imdb,avg,J,positive|negative|neutral,10000.0,4843.0,0.4843,5132.0,0.5132,25.0,0.0025,0.9444,0.9471262610908482,0.9444,0.945562614933653,0.9471262610908481,0.9444,0.9455626149336531,10000,0.9444,0.9471262610908482,0.9444,0.945562614933653,0.9471262610908481,0.9444,0.9455626149336531,10000,,,,,,,,
execution,imdb,avg,P,positive|negative|neutral,10000.0,4862.0,0.4862,5103.0,0.5103,35.0,0.0035,0.9441,0.9476668735927996,0.9440999999999999,0.9457417237617818,0.9476668735927994,0.9441,0.9457417237617818,10000,0.9441,0.9476668735927996,0.9440999999999999,0.9457417237617818,0.9476668735927994,0.9441,0.9457417237617818,10000,,,,,,,,
execution,mental,run-001,BASE,normal|depression|neutral,31747.0,,,,,1.0,3.1499039279301984e-05,0.8391344064006048,0.8620049577176614,0.8428586890204446,0.8374913556458466,0.8649225245907168,0.8391344064006048,0.8370063376667443,31747,0.8391344064006048,0.8620049577176614,0.8428586890204446,0.8374913556458466,0.8649225245907168,0.8391344064006048,0.8370063376667443,31747,12197.0,0.3841937820896463,19549.0,0.6157747188710744,,,,
