pair,dataset,run,model,test,statistic,df,p_value,effect_cramers_v,effect_tv,effect_js,n_total,n_used,n_dropped,labels,model_root,dimension
decision,imdb,run-001,F,stuart_maxwell,95.63460559796444,2,1.7108394455527868e-21,0.0691500562537603,0.0096,0.0001194196524964,10000,10000,0,positive|negative|neutral,qwen-7b_newlayout,decision
decision,imdb,run-002,F,stuart_maxwell,95.63460559796444,2,1.7108394455527868e-21,0.0691500562537603,0.0096,0.0001194196524964,10000,10000,0,positive|negative|neutral,qwen-7b_newlayout,decision
decision,imdb,run-001,T,stuart_maxwell,136.50981743024465,2,2.2765111523875972e-30,0.082616529045417,0.0133999999999999,0.0001409906995415,10000,10000,0,positive|negative|neutral,qwen-7b_newlayout,decision
decision,imdb,run-002,T,stuart_maxwell,136.50981743024465,2,2.2765111523875972e-30,0.082616529045417,0.0133999999999999,0.0001409906995415,10000,10000,0,positive|negative|neutral,qwen-7b_newlayout,decision
decision,mental,run-001,F,mcnemar_exact,1141.0,1,0.0,0.188914936433752,0.0358144076605664,0.000996784560806,31747,31747,0,normal|depression,qwen-7b_newlayout,decision
decision,mental,run-002,F,mcnemar_exact,1139.0,1,0.0,0.1884214675834242,0.0356906599464482,0.000989843829841,31747,31745,2,normal|depression,qwen-7b_newlayout,decision
decision,mental,run-001,T,mcnemar_exact,1089.0,1,0.0,0.1848690707419528,0.0342394556966012,0.0008801292123264,31747,31747,0,normal|depression,qwen-7b_newlayout,decision
decision,mental,run-002,T,mcnemar_exact,1090.0,1,0.0,0.1849658965293202,0.034275273288599,0.0008819467590155,31747,31743,4,normal|depression,qwen-7b_newlayout,decision
decision,news,run-001,F,stuart_maxwell,513.5648529433316,2,3.02558343411454e-112,0.1467047671322462,0.04919956416059,0.0019030842002869,11931,11931,0,neutral|bearish|bullish,qwen-7b_newlayout,decision
decision,news,run-002,F,stuart_maxwell,506.2370762202453,2,1.1803631191384059e-110,0.1456543816809792,0.0489481183471628,0.0018911733423046,11931,11931,0,neutral|bearish|bullish,qwen-7b_newlayout,decision
decision,news,run-001,T,stuart_maxwell,475.4933374305109,2,5.596721367097203e-104,0.1411623232366625,0.0328555862878216,0.0009121941187832,11931,11931,0,neutral|bearish|bullish,qwen-7b_newlayout,decision
decision,news,run-002,T,stuart_maxwell,475.4933374305109,2,5.596721367097203e-104,0.1411623232366625,0.0328555862878216,0.0009121941187832,11931,11931,0,neutral|bearish|bullish,qwen-7b_newlayout,decision
decision,fiqasa,run-001,F,stuart_maxwell,48.06818181818182,2,3.648605770161875e-11,0.1431412626214699,0.0426257459505541,0.0017803771656897,1173,1173,0,positive|negative|neutral,qwen-7b_newlayout,decision
decision,fiqasa,run-002,F,stuart_maxwell,48.06818181818182,2,3.648605770161875e-11,0.1431412626214699,0.0426257459505541,0.0017803771656897,1173,1173,0,positive|negative|neutral,qwen-7b_newlayout,decision
decision,fiqasa,run-001,T,stuart_maxwell,60.33333333333333,2,7.921056831539865e-14,0.1603668712364485,0.0528559249786871,0.0024215929471609,1173,1173,0,positive|negative|neutral,qwen-7b_newlayout,decision
decision,fiqasa,run-002,T,stuart_maxwell,60.33333333333333,2,7.921056831539865e-14,0.1603668712364485,0.0528559249786871,0.0024215929471609,1173,1173,0,positive|negative|neutral,qwen-7b_newlayout,decision
decision,imdb_sklearn,run-001,F,stuart_maxwell,105.04158415841589,2,1.550635829899271e-23,0.072471230208413,0.0104999999999999,0.0003895449375748,10000,10000,0,positive|negative|neutral,qwen-7b_newlayout,decision
decision,imdb_sklearn,run-002,F,stuart_maxwell,105.04158415841589,2,1.550635829899271e-23,0.072471230208413,0.0104999999999999,0.0003895449375748,10000,10000,0,positive|negative|neutral,qwen-7b_newlayout,decision
decision,imdb_sklearn,run-001,T,stuart_maxwell,140.86716417910452,2,2.5768192596634824e-31,0.083924717508939,0.0138999999999999,0.000146935696442,10000,10000,0,positive|negative|neutral,qwen-7b_newlayout,decision
decision,imdb_sklearn,run-002,T,stuart_maxwell,140.7884203002145,2,2.6802973308292256e-31,0.0839012575293763,0.0138999999999999,0.0001517309104182,10000,10000,0,positive|negative|neutral,qwen-7b_newlayout,decision
decision,sst2,run-001,F,stuart_maxwell,330.0414484624357,2,2.1498594423545544e-72,0.1284603924294246,0.0325,0.0014338831946242,10000,10000,0,positive|negative|neutral,qwen-7b_newlayout,decision
decision,sst2,run-002,F,stuart_maxwell,330.0414484624357,2,2.1498594423545544e-72,0.1284603924294246,0.0325,0.0014338831946242,10000,10000,0,positive|negative|neutral,qwen-7b_newlayout,decision
decision,sst2,run-001,T,stuart_maxwell,381.7125490412775,2,1.294711898068751e-83,0.1381507417716744,0.0383,0.0018432466628276,10000,10000,0,positive|negative|neutral,qwen-7b_newlayout,decision
decision,sst2,run-002,T,stuart_maxwell,381.7125490412775,2,1.294711898068751e-83,0.1381507417716744,0.0383,0.0018432466628276,10000,10000,0,positive|negative|neutral,qwen-7b_newlayout,decision
energy,imdb,run-001,E,stuart_maxwell,56.15730337078656,2,6.391407585352034e-13,0.052989292961308,0.0055999999999999,3.6640873330186815e-05,10000,10000,0,positive|negative|neutral,qwen-7b_newlayout,energy
energy,imdb,run-002,E,stuart_maxwell,56.15730337078656,2,6.391407585352034e-13,0.052989292961308,0.0055999999999999,3.6640873330186815e-05,10000,10000,0,positive|negative|neutral,qwen-7b_newlayout,energy
energy,imdb,run-001,I,stuart_maxwell,70.60702875399359,2,4.654558727749397e-16,0.0594167605789787,0.0067999999999999,3.750224864617354e-05,10000,10000,0,positive|negative|neutral,qwen-7b_newlayout,energy
energy,imdb,run-002,I,stuart_maxwell,70.60702875399359,2,4.654558727749397e-16,0.0594167605789787,0.0067999999999999,3.750224864617354e-05,10000,10000,0,positive|negative|neutral,qwen-7b_newlayout,energy
energy,mental,run-001,E,mcnemar_exact,1866.0,1,8.40304883199637e-225,0.1711269438043897,0.0415233647808664,0.0013447733969532,31747,31693,54,normal|depression,qwen-7b_newlayout,energy
