model_root,dimension,dataset,model,statistic,df,p_value,effect_cramers_v,effect_tv,effect_js,n_total,n_used,n_dropped,test,labels,p_value_clamped,neg_log10_p,significant,conclusion
qwen-7b_newlayout,decision,fiqasa,F,48.06818181818182,2.0,3.648605770161875e-11,0.1431412626214699,0.0426257459505541,0.0017803771656897,1173.0,1173.0,0.0,stuart_maxwell,positive|negative|neutral,3.648605770161875e-11,10.437873059379292,True,显著差异
qwen-7b_newlayout,decision,fiqasa,T,60.33333333333333,2.0,7.921056831539865e-14,0.1603668712364485,0.0528559249786871,0.0024215929471609,1173.0,1173.0,0.0,stuart_maxwell,positive|negative|neutral,7.921056831539865e-14,13.101216870748097,True,显著差异
qwen-7b_newlayout,decision,imdb,F,95.63460559796444,2.0,1.7108394455527868e-21,0.0691500562537603,0.0096,0.0001194196524964,10000.0,10000.0,0.0,stuart_maxwell,positive|negative|neutral,1.7108394455527868e-21,20.766790745094895,True,显著差异
qwen-7b_newlayout,decision,imdb,T,136.50981743024465,2.0,2.2765111523875972e-30,0.082616529045417,0.0133999999999999,0.0001409906995415,10000.0,10000.0,0.0,stuart_maxwell,positive|negative|neutral,2.2765111523875972e-30,29.6427302177878,True,显著差异
qwen-7b_newlayout,decision,imdb_sklearn,F,105.04158415841589,2.0,1.550635829899271e-23,0.072471230208413,0.0104999999999999,0.0003895449375748,10000.0,10000.0,0.0,stuart_maxwell,positive|negative|neutral,1.550635829899271e-23,22.809490185188025,True,显著差异
qwen-7b_newlayout,decision,imdb_sklearn,T,140.82779223965952,2.0,2.628558295246354e-31,0.08391298751915766,0.0138999999999999,0.00014933330343009998,10000.0,10000.0,0.0,stuart_maxwell,positive|negative|neutral,2.628558295246354e-31,30.580282386907655,True,显著差异
qwen-7b_newlayout,decision,mental,F,1140.0,1.0,0.0,0.1886682020085881,0.0357525338035073,0.0009933141953235,31747.0,31746.0,1.0,mcnemar_exact,normal|depression,1e-300,300.0,True,显著差异
qwen-7b_newlayout,decision,mental,T,1089.5,1.0,0.0,0.18491748363563648,0.0342573644926001,0.0008810379856709499,31747.0,31745.0,2.0,mcnemar_exact,normal|depression,1e-300,300.0,True,显著差异
qwen-7b_newlayout,decision,news,F,509.90096458178846,2.0,6.053094767397757e-111,0.1461795744066127,0.0490738412538764,0.00189712877129575,11931.0,11931.0,0.0,stuart_maxwell,neutral|bearish|bullish,6.053094767397757e-111,110.21802252670933,True,显著差异
qwen-7b_newlayout,decision,news,T,475.4933374305109,2.0,5.596721367097203e-104,0.1411623232366625,0.0328555862878216,0.0009121941187832,11931.0,11931.0,0.0,stuart_maxwell,neutral|bearish|bullish,5.596721367097203e-104,103.25206631391592,True,显著差异
