dataset,model_code,model_display,labels,support,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
imdb_sentiment,base,原始基座模型,negative|positive,10000,0.93,0.93,0.93,0.93,0.93,0.93,0.93
imdb_sentiment,f,F性格模型,negative|positive,10000,0.93,0.94,0.93,0.94,0.94,0.93,0.94
imdb_sentiment,t,T性格模型,negative|positive,10000,0.9,0.92,0.9,0.9,0.92,0.9,0.9
mental_sentiment,base,原始基座模型,depression|normal,31747,0.6,0.74,0.62,0.55,0.75,0.6,0.55
mental_sentiment,f,F性格模型,depression|normal,31747,0.58,0.73,0.59,0.51,0.73,0.58,0.51
mental_sentiment,t,T性格模型,depression|normal,31747,0.6,0.74,0.61,0.55,0.75,0.6,0.54
news_sentiment,base,原始基座模型,bearish|bullish|neutral,11931,0.6,0.61,0.73,0.6,0.75,0.6,0.6
news_sentiment,f,F性格模型,bearish|bullish|neutral,11931,0.57,0.61,0.71,0.58,0.74,0.57,0.56
news_sentiment,t,T性格模型,bearish|bullish|neutral,11931,0.67,0.65,0.75,0.66,0.76,0.67,0.68
fiqasa_sentiment,base,原始基座模型,negative|neutral|positive,1173,0.51,0.55,0.57,0.46,0.78,0.51,0.53
fiqasa_sentiment,f,F性格模型,negative|neutral|positive,1173,0.65,0.58,0.61,0.56,0.78,0.65,0.68
fiqasa_sentiment,t,T性格模型,negative|neutral|positive,1173,0.41,0.56,0.54,0.38,0.8,0.41,0.39
imdb_sklearn,base,原始基座模型,negative|positive,10000,0.93,0.94,0.93,0.93,0.94,0.93,0.93
imdb_sklearn,f,F性格模型,negative|positive,10000,0.94,0.94,0.94,0.94,0.94,0.94,0.94
imdb_sklearn,t,T性格模型,negative|positive,10000,0.9,0.91,0.9,0.9,0.91,0.9,0.9
sst2,base,原始基座模型,negative|positive,10000,0.81,0.87,0.82,0.83,0.89,0.81,0.83
sst2,f,F性格模型,negative|positive,10000,0.85,0.9,0.86,0.87,0.91,0.85,0.87
sst2,t,T性格模型,negative|positive,10000,0.68,0.85,0.71,0.72,0.86,0.68,0.71
