dataset,model_code,model_display,labels,support,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
imdb_sentiment,base,原始基座模型,negative|positive,10000,0.93,0.93,0.93,0.93,0.93,0.93,0.93
imdb_sentiment,f,F性格模型,negative|positive,10000,0.93,0.94,0.93,0.93,0.94,0.93,0.93
imdb_sentiment,t,T性格模型,negative|positive,10000,0.9,0.92,0.9,0.9,0.92,0.9,0.9
mental_sentiment,base,原始基座模型,depression|normal,31747,0.6,0.74,0.61,0.54,0.74,0.6,0.54
mental_sentiment,f,F性格模型,depression|normal,31747,0.55,0.72,0.56,0.46,0.73,0.55,0.46
mental_sentiment,t,T性格模型,depression|normal,31747,0.6,0.74,0.61,0.55,0.75,0.6,0.54
news_sentiment,base,原始基座模型,bearish|bullish|neutral,11931,0.58,0.59,0.72,0.58,0.73,0.58,0.58
news_sentiment,f,F性格模型,bearish|bullish|neutral,11931,0.52,0.57,0.7,0.53,0.72,0.52,0.5
news_sentiment,t,T性格模型,bearish|bullish|neutral,11931,0.65,0.62,0.75,0.64,0.75,0.65,0.65
fiqasa_sentiment,base,原始基座模型,negative|neutral|positive,1173,0.51,0.56,0.58,0.46,0.78,0.51,0.52
fiqasa_sentiment,f,F性格模型,negative|neutral|positive,1173,0.66,0.57,0.61,0.56,0.78,0.66,0.68
fiqasa_sentiment,t,T性格模型,negative|neutral|positive,1173,0.46,0.54,0.53,0.4,0.77,0.46,0.44
imdb_sklearn,base,原始基座模型,negative|positive,10000,0.93,0.93,0.93,0.93,0.94,0.93,0.93
imdb_sklearn,f,F性格模型,negative|positive,10000,0.93,0.94,0.93,0.93,0.94,0.93,0.93
imdb_sklearn,t,T性格模型,negative|positive,10000,0.91,0.92,0.91,0.91,0.92,0.91,0.91
sst2,base,原始基座模型,negative|positive,10000,0.81,0.88,0.83,0.83,0.89,0.81,0.83
sst2,f,F性格模型,negative|positive,10000,0.86,0.9,0.87,0.88,0.9,0.86,0.88
sst2,t,T性格模型,negative|positive,10000,0.73,0.85,0.75,0.76,0.86,0.73,0.75
