dataset,model_code,model_display,labels,support,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
imdb_sentiment,base,原始基座模型,negative|positive,10000,0.93,0.93,0.93,0.93,0.93,0.93,0.93
imdb_sentiment,f,F性格模型,negative|positive,10000,0.92,0.93,0.92,0.92,0.93,0.92,0.92
imdb_sentiment,t,T性格模型,negative|positive,10000,0.93,0.93,0.93,0.93,0.93,0.93,0.93
mental_sentiment,base,原始基座模型,depression|normal,31747,0.61,0.74,0.62,0.56,0.75,0.61,0.56
mental_sentiment,f,F性格模型,depression|normal,31747,0.58,0.73,0.59,0.51,0.73,0.58,0.5
mental_sentiment,t,T性格模型,depression|normal,31747,0.64,0.76,0.65,0.61,0.76,0.64,0.6
news_sentiment,base,原始基座模型,bearish|bullish|neutral,11931,0.57,0.59,0.71,0.58,0.73,0.57,0.57
news_sentiment,f,F性格模型,bearish|bullish|neutral,11931,0.67,0.63,0.74,0.65,0.74,0.67,0.68
news_sentiment,t,T性格模型,bearish|bullish|neutral,11931,0.5,0.58,0.69,0.52,0.73,0.5,0.48
fiqasa_sentiment,base,原始基座模型,negative|neutral|positive,1173,0.65,0.56,0.6,0.55,0.77,0.65,0.67
fiqasa_sentiment,f,F性格模型,negative|neutral|positive,1173,0.54,0.55,0.57,0.47,0.77,0.54,0.55
fiqasa_sentiment,t,T性格模型,negative|neutral|positive,1173,0.76,0.62,0.62,0.6,0.78,0.76,0.76
imdb_sklearn,base,原始基座模型,negative|positive,10000,0.94,0.94,0.94,0.94,0.94,0.94,0.94
imdb_sklearn,f,F性格模型,negative|positive,10000,0.93,0.93,0.93,0.93,0.93,0.93,0.93
imdb_sklearn,t,T性格模型,negative|positive,10000,0.94,0.94,0.94,0.94,0.94,0.94,0.94
sst2,base,原始基座模型,negative|positive,10000,0.82,0.88,0.83,0.84,0.89,0.82,0.84
sst2,f,F性格模型,negative|positive,10000,0.77,0.87,0.79,0.8,0.88,0.77,0.8
sst2,t,T性格模型,negative|positive,10000,0.86,0.89,0.87,0.87,0.9,0.86,0.87
