dataset,model_code,model_display,labels,support,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
imdb_sentiment,base,原始基座模型,negative|positive,10000,0.93,0.93,0.93,0.93,0.93,0.93,0.93
imdb_sentiment,e,E性格模型,negative|positive,10000,0.94,0.94,0.94,0.94,0.94,0.94,0.94
imdb_sentiment,i,I性格模型,negative|positive,10000,0.92,0.93,0.92,0.92,0.93,0.92,0.92
mental_sentiment,base,原始基座模型,depression|normal,31747,0.87,0.88,0.87,0.87,0.88,0.87,0.87
mental_sentiment,e,E性格模型,depression|normal,31747,0.88,0.88,0.88,0.88,0.88,0.88,0.88
mental_sentiment,i,I性格模型,depression|normal,31747,0.87,0.87,0.87,0.87,0.87,0.87,0.87
news_sentiment,base,原始基座模型,bearish|bullish|neutral,11931,0.79,0.75,0.76,0.75,0.8,0.79,0.8
news_sentiment,e,E性格模型,bearish|bullish|neutral,11931,0.78,0.73,0.77,0.74,0.8,0.78,0.78
news_sentiment,i,I性格模型,bearish|bullish|neutral,11931,0.8,0.77,0.72,0.74,0.8,0.8,0.8
fiqasa_sentiment,base,原始基座模型,negative|neutral|positive,1173,0.76,0.63,0.67,0.63,0.81,0.76,0.77
fiqasa_sentiment,e,E性格模型,negative|neutral|positive,1173,0.8,0.64,0.65,0.64,0.8,0.8,0.8
fiqasa_sentiment,i,I性格模型,negative|neutral|positive,1173,0.7,0.61,0.66,0.6,0.81,0.7,0.73
imdb_sklearn,base,原始基座模型,negative|positive,10000,0.93,0.93,0.93,0.93,0.93,0.93,0.93
imdb_sklearn,e,E性格模型,negative|positive,10000,0.93,0.94,0.93,0.93,0.94,0.93,0.93
imdb_sklearn,i,I性格模型,negative|positive,10000,0.91,0.92,0.92,0.91,0.92,0.91,0.91
sst2,base,原始基座模型,negative|positive,10000,0.76,0.82,0.78,0.75,0.84,0.76,0.75
sst2,e,E性格模型,negative|positive,10000,0.81,0.84,0.82,0.81,0.86,0.81,0.8
sst2,i,I性格模型,negative|positive,10000,0.7,0.8,0.73,0.69,0.82,0.7,0.68
