dataset,model_code,model_display,labels,support,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
imdb_sentiment,base,原始基座模型,negative|positive,10000,0.93,0.93,0.93,0.93,0.93,0.93,0.93
imdb_sentiment,s,S性格模型,negative|positive,10000,0.93,0.93,0.93,0.93,0.93,0.93,0.93
imdb_sentiment,n,N性格模型,negative|positive,10000,0.93,0.93,0.93,0.93,0.93,0.93,0.93
mental_sentiment,base,原始基座模型,depression|normal,31747,0.87,0.88,0.87,0.87,0.88,0.87,0.87
news_sentiment,base,原始基座模型,bearish|bullish|neutral,11931,0.79,0.75,0.76,0.75,0.8,0.79,0.8
news_sentiment,s,S性格模型,bearish|bullish|neutral,11931,0.8,0.75,0.76,0.76,0.8,0.8,0.8
news_sentiment,n,N性格模型,bearish|bullish|neutral,11931,0.78,0.74,0.75,0.74,0.79,0.78,0.78
fiqasa_sentiment,base,原始基座模型,negative|neutral|positive,1173,0.76,0.63,0.67,0.63,0.81,0.76,0.77
fiqasa_sentiment,s,S性格模型,negative|neutral|positive,1173,0.77,0.63,0.68,0.64,0.81,0.77,0.78
fiqasa_sentiment,n,N性格模型,negative|neutral|positive,1173,0.76,0.63,0.67,0.64,0.81,0.76,0.77
imdb_sklearn,base,原始基座模型,negative|positive,10000,0.93,0.93,0.93,0.93,0.93,0.93,0.93
imdb_sklearn,s,S性格模型,negative|positive,10000,0.93,0.93,0.93,0.93,0.93,0.93,0.93
imdb_sklearn,n,N性格模型,negative|positive,10000,0.93,0.93,0.93,0.93,0.93,0.93,0.93
sst2,base,原始基座模型,negative|positive,10000,0.76,0.82,0.78,0.75,0.84,0.76,0.75
sst2,s,S性格模型,negative|positive,10000,0.76,0.82,0.79,0.76,0.84,0.76,0.76
sst2,n,N性格模型,negative|positive,10000,0.76,0.82,0.78,0.75,0.84,0.76,0.75
