model_family,personality,pair,dataset,positive_side_col,negative_side_col,base_positive_side,base_negative_side,base_shift,tuned_positive_side,tuned_negative_side,tuned_shift,delta_shift,shift_dir
L3,E,energy,imdb,ratio_positive,ratio_negative,0.4623,0.5343,-0.072,0.4744,0.5228,-0.0484,0.0236,1
L3,E,energy,imdb_sklearn,ratio_positive,ratio_negative,0.4684,0.5316,-0.0632,0.47935,0.52055,-0.0412,0.022,1
L3,E,energy,sst2,ratio_positive,ratio_negative,0.3857,0.5579,-0.1722,0.44935,0.52825,-0.0789,0.0933,1
L3,E,energy,fiqasa,ratio_positive,ratio_negative,0.201193520887,0.50042625746,-0.299232736573,0.492327365729,0.465046888321,0.0272804774084,0.326513213981,1
L3,E,energy,news,ratio_bullish,ratio_bearish,0.43801860699,0.238035370044,0.199983236946,0.540440868326,0.2571871595,0.283253708826,0.08327047188,1
L3,E,energy,mental,ratio_normal,ratio_depression,0.140863703657,0.850883548052,-0.710019844395,0.180127256119,0.806312407472,-0.626185151353,0.0838346930419,1
L3,I,energy,imdb,ratio_positive,ratio_negative,0.4623,0.5343,-0.072,0.4502,0.545,-0.0948,-0.0228,-1
L3,I,energy,imdb_sklearn,ratio_positive,ratio_negative,0.4684,0.5316,-0.0632,0.46225,0.53765,-0.0754,-0.0122,-1
L3,I,energy,sst2,ratio_positive,ratio_negative,0.3857,0.5579,-0.1722,0.34435,0.57715,-0.2328,-0.0606,-1
L3,I,energy,fiqasa,ratio_positive,ratio_negative,0.201193520887,0.50042625746,-0.299232736573,0.226768968457,0.537084398977,-0.31031543052,-0.0110826939471,-1
L3,I,energy,news,ratio_bullish,ratio_bearish,0.43801860699,0.238035370044,0.199983236946,0.290755175593,0.264688626268,0.0260665493253,-0.17391668762,-1
L3,I,energy,mental,ratio_normal,ratio_depression,0.140863703657,0.850883548052,-0.710019844395,0.106498251803,0.884556021041,-0.778057769238,-0.0680379248433,-1
L3,S,information,imdb,ratio_positive,ratio_negative,0.4623,0.5343,-0.072,0.4359,0.56325,-0.12735,-0.05535,-1
L3,S,information,imdb_sklearn,ratio_positive,ratio_negative,0.4684,0.5316,-0.0632,0.4348,0.5652,-0.1304,-0.0672,-1
L3,S,information,sst2,ratio_positive,ratio_negative,0.3857,0.5579,-0.1722,0.3181,0.6757,-0.3576,-0.1854,-1
L3,S,information,fiqasa,ratio_positive,ratio_negative,0.201193520887,0.50042625746,-0.299232736573,0.305200341006,0.638959931799,-0.333759590793,-0.0345268542199,-1
L3,S,information,news,ratio_bullish,ratio_bearish,0.43801860699,0.238035370044,0.199983236946,0.344103595675,0.31841421507,0.0256893806051,-0.174293856341,-1
L3,S,information,mental,ratio_normal,ratio_depression,0.140863703657,0.850883548052,-0.710019844395,0.158093678143,0.840551863168,-0.682458185025,0.0275616593694,1
L3,N,information,imdb,ratio_positive,ratio_negative,0.4623,0.5343,-0.072,0.46395,0.51075,-0.0468,0.0252,1
L3,N,information,imdb_sklearn,ratio_positive,ratio_negative,0.4684,0.5316,-0.0632,0.4832,0.5167,-0.0335,0.0297,1
L3,N,information,sst2,ratio_positive,ratio_negative,0.3857,0.5579,-0.1722,0.38645,0.48335,-0.0969,0.0753,1
L3,N,information,fiqasa,ratio_positive,ratio_negative,0.201193520887,0.50042625746,-0.299232736573,0.256180733163,0.478687127025,-0.222506393862,0.076726342711,1
L3,N,information,news,ratio_bullish,ratio_bearish,0.43801860699,0.238035370044,0.199983236946,0.589682340122,0.19700779482,0.392674545302,0.192691308356,1
L3,N,information,mental,ratio_normal,ratio_depression,0.140863703657,0.850883548052,-0.710019844395,0.097946262639,0.898053359373,-0.800107096734,-0.0900872523388,-1
L3,F,decision,imdb,ratio_positive,ratio_negative,0.4623,0.5343,-0.072,0.4815,0.5119,-0.0304,0.0416,1
L3,F,decision,imdb_sklearn,ratio_positive,ratio_negative,0.4684,0.5316,-0.0632,0.4823,0.5177,-0.0354,0.0278,1
L3,F,decision,sst2,ratio_positive,ratio_negative,0.3857,0.5579,-0.1722,0.4621,0.4934,-0.0313,0.1409,1
L3,F,decision,fiqasa,ratio_positive,ratio_negative,0.201193520887,0.50042625746,-0.299232736573,0.369565217391,0.433503836317,-0.0639386189258,0.235294117647,1
L3,F,decision,news,ratio_bullish,ratio_bearish,0.43801860699,0.238035370044,0.199983236946,0.472382868159,0.266029670606,0.206353197553,0.00636996060682,1
L3,F,decision,mental,ratio_normal,ratio_depression,0.140863703657,0.850883548052,-0.710019844395,0.0961035688412,0.896935143478,-0.800831574637,-0.0908117302422,-1
L3,T,decision,imdb,ratio_positive,ratio_negative,0.4623,0.5343,-0.072,0.4227,0.564,-0.1413,-0.0693,-1
L3,T,decision,imdb_sklearn,ratio_positive,ratio_negative,0.4684,0.5316,-0.0632,0.42265,0.57735,-0.1547,-0.0915,-1
L3,T,decision,sst2,ratio_positive,ratio_negative,0.3857,0.5579,-0.1722,0.27505,0.6141,-0.33905,-0.16685,-1
L3,T,decision,fiqasa,ratio_positive,ratio_negative,0.201193520887,0.50042625746,-0.299232736573,0.115089514066,0.514492753623,-0.399403239557,-0.100170502984,-1
L3,T,decision,news,ratio_bullish,ratio_bearish,0.43801860699,0.238035370044,0.199983236946,0.355251026737,0.238957338027,0.11629368871,-0.0836895482357,-1
L3,T,decision,mental,ratio_normal,ratio_depression,0.140863703657,0.850883548052,-0.710019844395,0.136910574227,0.858364569881,-0.721453995653,-0.0114341512584,-1
L3,J,execution,imdb,ratio_positive,ratio_negative,0.4623,0.5343,-0.072,0.45655,0.54145,-0.0849,-0.0129,-1
L3,J,execution,imdb_sklearn,ratio_positive,ratio_negative,0.4684,0.5316,-0.0632,0.46455,0.534,-0.06945,-0.00625,-1
L3,J,execution,sst2,ratio_positive,ratio_negative,0.3857,0.5579,-0.1722,0.36645,0.6137,-0.24725,-0.07505,-1
L3,J,execution,fiqasa,ratio_positive,ratio_negative,0.201193520887,0.50042625746,-0.299232736573,0.376811594203,0.554987212276,-0.178175618073,0.1210571185,1
L3,J,execution,news,ratio_bullish,ratio_bearish,0.43801860699,0.238035370044,0.199983236946,0.407048864303,0.274159751907,0.132889112396,-0.0670941245495,-1
L3,J,execution,mental,ratio_normal,ratio_depression,0.140863703657,0.850883548052,-0.710019844395,0.185781333669,0.797839165905,-0.612057832236,0.0979620121586,1
L3,P,execution,imdb,ratio_positive,ratio_negative,0.4623,0.5343,-0.072,0.4692,0.52215,-0.05295,0.01905,1
L3,P,execution,imdb_sklearn,ratio_positive,ratio_negative,0.4684,0.5316,-0.0632,0.479,0.51515,-0.03615,0.02705,1
L3,P,execution,sst2,ratio_positive,ratio_negative,0.3857,0.5579,-0.1722,0.38655,0.4868,-0.10025,0.07195,1
L3,P,execution,fiqasa,ratio_positive,ratio_negative,0.201193520887,0.50042625746,-0.299232736573,0.29326513214,0.489343563512,-0.196078431373,0.1031543052,1
L3,P,execution,news,ratio_bullish,ratio_bearish,0.43801860699,0.238035370044,0.199983236946,0.43877294443,0.259617802364,0.179155142067,-0.0208280948789,-1
L3,P,execution,mental,ratio_normal,ratio_depression,0.140863703657,0.850883548052,-0.710019844395,0.449081803005,0.447207610168,0.00187419283712,0.711894037232,1
Q3,E,energy,imdb,ratio_positive,ratio_negative,0.4691,0.5309,-0.0618,0.4813,0.5187,-0.0374,0.0244,1
Q3,E,energy,imdb_sklearn,ratio_positive,ratio_negative,0.4417,0.5582,-0.1165,0.4669,0.533,-0.0661,0.0504,1
Q3,E,energy,sst2,ratio_positive,ratio_negative,0.3178,0.6813,-0.3635,0.3628,0.6367,-0.2739,0.0896,1
Q3,E,energy,fiqasa,ratio_positive,ratio_negative,0.474850809889,0.398124467178,0.076726342711,0.544757033248,0.373401534527,0.171355498721,0.0946291560102,1
Q3,E,energy,news,ratio_bullish,ratio_bearish,0.26116838488,0.16285307183,0.09831531305,0.259827340541,0.154303914173,0.105523426368,0.00720811331825,1
Q3,E,energy,mental,ratio_normal,ratio_depression,0.507953507418,0.492046492582,0.015907014836,0.457397549375,0.542507953507,-0.0851104041327,-0.101017418969,-1
Q3,I,energy,imdb,ratio_positive,ratio_negative,0.4691,0.5309,-0.0618,0.4553,0.5447,-0.0894,-0.0276,-1
Q3,I,energy,imdb_sklearn,ratio_positive,ratio_negative,0.4417,0.5582,-0.1165,0.441,0.5589,-0.1179,-0.0014,-1
Q3,I,energy,sst2,ratio_positive,ratio_negative,0.3178,0.6813,-0.3635,0.2709,0.7277,-0.4568,-0.0933,-1
Q3,I,energy,fiqasa,ratio_positive,ratio_negative,0.474850809889,0.398124467178,0.076726342711,0.424552429668,0.404092071611,0.0204603580563,-0.0562659846547,-1
Q3,I,energy,news,ratio_bullish,ratio_bearish,0.26116838488,0.16285307183,0.09831531305,0.191266448747,0.131841421507,0.05942502724,-0.0388902858101,-1
Q3,I,energy,mental,ratio_normal,ratio_depression,0.507953507418,0.492046492582,0.015907014836,0.444892430781,0.555044571141,-0.11015214036,-0.126059155196,-1
Q3,S,information,imdb,ratio_positive,ratio_negative,0.4691,0.5309,-0.0618,0.4607,0.5393,-0.0786,-0.0168,-1
