pair,model,dataset,test,n_rows,n_sig_p_lt_0.05,sig_rate,p_min,p_median,p_max,effect_cramers_v_median,effect_tv_median,effect_js_median
ST-NF,NF,fiqasa,stuart_maxwell,2,2,1.0,2.0775905525745766e-84,2.9742167594027034e-81,5.946355928252832e-81,0.4010698524807432,0.3158567774936061,0.11164176997523328
ST-NF,NF,imdb,stuart_maxwell,2,2,1.0,4.4730754407449404e-123,2.1538841381985545e-119,4.3073209688530346e-119,0.16646760169484426,0.05535,0.0031010059492821472
ST-NF,NF,imdb_sklearn,stuart_maxwell,2,2,1.0,3.3036072487483526e-141,5.24213980880433e-139,1.0451243545121177e-138,0.17904875980449403,0.06474999999999999,0.005216963946119789
ST-NF,NF,mental,mcnemar_exact,2,2,1.0,2.6918946107268347e-34,9.925566733588935e-16,1.985113346717787e-15,0.057974896565946274,0.014954984375797016,0.0003572492878597825
ST-NF,NF,news,stuart_maxwell,2,2,1.0,0.0,0.0,0.0,0.3813080486468714,0.2912580672198475,0.06569827722112032
ST-NF,NF,sst2,stuart_maxwell,2,2,1.0,0.0,0.0,0.0,0.2698672529634728,0.14254999999999998,0.014958635158259933
ST-NF,ST,fiqasa,stuart_maxwell,2,2,1.0,4.498419322019669e-19,3.4060175930520455e-11,6.812035141119897e-11,0.16552276352088763,0.06862745098039215,0.003558510563841083
ST-NF,ST,imdb,stuart_maxwell,2,2,1.0,5.850347277495003e-115,4.335684029153528e-112,8.66551771102956e-112,0.16104894853699103,0.05209999999999998,0.004120798194244621
ST-NF,ST,imdb_sklearn,stuart_maxwell,2,2,1.0,3.6436046702150605e-112,5.137731235100098e-110,1.0239026423498045e-109,0.15930145180481486,0.050850000000000006,0.005274669007153528
ST-NF,ST,mental,mcnemar_exact,2,2,1.0,0.0,0.0,0.0,0.5430853822387729,0.2962626744840827,0.07971166029300628
ST-NF,ST,news,stuart_maxwell,2,2,1.0,0.0,0.0,0.0,0.3032798424438658,0.1839745201575727,0.0296122679427207
ST-NF,ST,sst2,stuart_maxwell,2,2,1.0,7.338532596397326e-307,1.4139129982722262e-295,2.827825996537114e-295,0.2629633938356595,0.13735000000000003,0.016796455219682288
decision,F,fiqasa,stuart_maxwell,6,6,1.0,3.691829002133728e-45,2.293819284244738e-19,3.648605770161875e-11,0.19128251698305684,0.07075873827791988,0.007162812133710516
decision,F,imdb,stuart_maxwell,6,6,1.0,2.979288148736876e-54,1.8048513878454602e-35,1.7108394455527868e-21,0.08944271909999157,0.015999999999999986,0.00018506111966010326
decision,F,imdb_sklearn,stuart_maxwell,6,6,1.0,4.679172641186482e-31,2.3888513335140306e-21,1.4492652423538497e-20,0.07043853090887561,0.010499999999999987,0.00014260128953267346
decision,F,mental,mcnemar_exact,6,6,1.0,0.0,0.0,2.654879962867571e-220,0.21374573668626357,0.046366585819132514,0.0018123575806637026
decision,F,news,stuart_maxwell,6,6,1.0,6.86280455654759e-192,3.1380893047717117e-113,1.1803631191384058e-110,0.1692153365559944,0.061268963205095936,0.00352865038572912
decision,F,sst2,stuart_maxwell,6,6,1.0,2.875505692098979e-172,2.581760344799719e-124,2.1498594423545546e-72,0.1686926436039242,0.05689999999999999,0.0027341792050141764
decision,T,fiqasa,stuart_maxwell,6,6,1.0,1.4042596014979176e-37,1.6046847878351645e-19,7.921056831539865e-14,0.19711773603962274,0.07203751065643647,0.007219688630122966
decision,T,imdb,stuart_maxwell,6,6,1.0,2.7763000388850214e-89,2.276511152387597e-30,4.359610000063195e-28,0.08261652904541701,0.013399999999999995,0.00014099069954152433
decision,T,imdb_sklearn,stuart_maxwell,6,6,1.0,2.402728460984503e-107,2.628558295246354e-31,4.693969975249699e-25,0.0839129875191577,0.013899999999999992,0.00031392643580441064
decision,T,mental,mcnemar_exact,6,6,1.0,0.0,0.0,7.122484821297147e-08,0.18491748363563654,0.034257364492600154,0.000881037985671
decision,T,news,stuart_maxwell,6,6,1.0,1.3762966559794678e-254,1.1961729327975913e-113,5.596721367097203e-104,0.14762472391997047,0.0418238203000587,0.0017728731666684545
decision,T,sst2,stuart_maxwell,6,6,1.0,6.302095320230546e-303,2.079311581343535e-117,1.294711898068751e-83,0.16391168933663056,0.05360000000000001,0.0026199313391118673
energy,E,fiqasa,stuart_maxwell,6,6,1.0,4.949455520108961e-83,9.460809053455215e-19,1.591815709225002e-10,0.18809848244901925,0.06990622335890881,0.0055691886323185145
energy,E,imdb,stuart_maxwell,6,6,1.0,1.3510252550844588e-27,3.3820298680215384e-23,6.391407585352034e-13,0.07477514846823252,0.011799999999999984,0.0001076328554367673
energy,E,imdb_sklearn,stuart_maxwell,6,6,1.0,2.3307036880690666e-53,3.297123314609538e-25,5.939572090178079e-19,0.07508100755810061,0.013,0.0004620330414819244
energy,E,mental,mcnemar_exact,6,6,1.0,0.0,1.176734e-317,8.40304883199637e-225,0.19307429772000764,0.04176884258305373,0.001791930236676233
energy,E,news,stuart_maxwell,6,6,1.0,0.0,4.064623281749445e-48,4.5923080910016624e-17,0.09563508867979802,0.01936132763389488,0.0002766252054467533
energy,E,sst2,stuart_maxwell,6,6,1.0,3.778449161449957e-153,1.9219477278177058e-98,2.4169539555852844e-34,0.15000000000000105,0.04499999999999998,0.0016601436334464856
energy,I,fiqasa,stuart_maxwell,6,6,1.0,9.03443971710817e-14,6.255306110610677e-10,1.3757365313312716e-07,0.14297241102371377,0.04987212276214834,0.002926287407536858
energy,I,imdb,stuart_maxwell,6,6,1.0,1.0806392777073147e-30,1.4731204407402159e-25,4.654558727749397e-16,0.0758004138647138,0.012099999999999979,0.00013816758577220572
energy,I,imdb_sklearn,stuart_maxwell,6,4,0.6666666666666666,9.291982736789882e-12,3.4390344703568714e-06,0.8963942066351505,0.03546874652873714,0.003800000000000002,7.796529350501751e-05
energy,I,mental,mcnemar_exact,6,6,1.0,0.0,0.0,2.2304184463277204e-270,0.22626724183648367,0.06081454248591085,0.0028769046519054736
energy,I,news,stuart_maxwell,6,6,1.0,0.0,8.897536735397802e-263,3.2976603525300046e-80,0.22488583885049257,0.10099740172659463,0.008039773724585274
energy,I,sst2,stuart_maxwell,6,6,1.0,1.338378724241388e-102,5.419440391526122e-87,2.4169539555852844e-34,0.14409970107276396,0.041350000000000026,0.0019397749218304674
execution,J,fiqasa,stuart_maxwell,6,6,1.0,3.5775438585797236e-66,4.8616959578230376e-18,6.825603376334866e-08,0.1843519196904492,0.062233589087809044,0.0074551751457056885
execution,J,imdb,stuart_maxwell,6,4,0.6666666666666666,2.5646490762215576e-14,0.010431376298345108,0.24935220877729608,0.02136103242574446,0.0014999999999999788,2.432387352904286e-05
execution,J,imdb_sklearn,stuart_maxwell,6,6,1.0,4.6163751585747785e-24,1.0404212719951062e-10,7.511697955739692e-05,0.04794395189132775,0.00670000000000001,0.0004367827259050802
execution,J,mental,mcnemar_exact,6,6,1.0,0.0,0.0,3.748853945219033e-172,0.21784858363534576,0.057573702354580036,0.002688069353294564
execution,J,news,stuart_maxwell,6,6,1.0,2.197802980718224e-71,4.7421811523724566e-67,9.018657986708463e-15,0.1131370494455938,0.02288156902187577,0.0004571943024782657
execution,J,sst2,stuart_maxwell,6,6,1.0,1.7611871830552177e-131,5.003130233524603e-28,3.4115430773420722e-18,0.07928576091618202,0.012799999999999988,0.0003040228775352806
execution,P,fiqasa,stuart_maxwell,6,6,1.0,2.0289835828732195e-25,5.7202124073982465e-12,1.522997974471264e-08,0.14855661091689892,0.0434782608695652,0.0028520222188987195
execution,P,imdb,stuart_maxwell,6,6,1.0,8.058464072846151e-27,0.003998887304499968,0.026541857653049544,0.023498381072820276,0.001500000000000029,9.811962986528143e-06
execution,P,imdb_sklearn,stuart_maxwell,6,6,1.0,6.067537089743221e-29,7.19370164597518e-21,1.0466910100636915e-18,0.06810365708321474,0.0131,0.0006930159016355145
execution,P,mental,mcnemar_exact,6,6,1.0,0.0,0.0,7.6635023927898645e-208,0.2104916265998905,0.05471383122814749,0.0021637737802552015
execution,P,news,stuart_maxwell,6,6,1.0,2.538703555963137e-249,1.2204454726931417e-91,3.3044270141263745e-19,0.132459638785558,0.03553767496437854,0.0009503100552516342
execution,P,sst2,stuart_maxwell,6,6,1.0,1.3656764891105959e-190,6.79268973299643e-32,7.281862200755943e-08,0.08471533272151023,0.014000000000000007,0.0002690286846708256
information,N,fiqasa,stuart_maxwell,6,6,1.0,8.36590705936107e-15,1.898638642878406e-07,0.005379148303579953,0.11486660978619029,0.030690537084398978,0.0008149132008715473
information,N,imdb,stuart_maxwell,6,6,1.0,1.5008153417098742e-62,5.001258439318258e-18,4.256970039476739e-05,0.063116433759571,0.008700000000000013,6.323468515633272e-05
information,N,imdb_sklearn,stuart_maxwell,6,6,1.0,6.980039303791045e-33,7.223182490216204e-27,1.9554365807860666e-21,0.0781537307149758,0.014950000000000019,0.00023911078792191923
information,N,mental,mcnemar_exact,6,6,1.0,0.0,0.0,0.0,0.27824736601389255,0.08245666610886734,0.005454271972501727
information,N,news,stuart_maxwell,6,4,0.6666666666666666,0.0,6.174140359554847e-110,0.13650978328591554,0.14517755526298565,0.03612438186237535,0.0020017909162854536
information,N,sst2,stuart_maxwell,6,4,0.6666666666666666,6.08011987954865e-187,1.2746619071887693e-26,0.8274680349261799,0.07721692265639128,0.012599999999999986,0.00013429075642898219
information,S,fiqasa,stuart_maxwell,6,6,1.0,6.664590885927896e-65,1.1253517471925916e-07,8.510222889491018e-06,0.11679143249475675,0.027280477408354625,0.000670865271435968
information,S,imdb,stuart_maxwell,6,6,1.0,1.320254833609457e-62,9.454886273886723e-18,2.9619734877256966e-09,0.0626099033699941,0.00839999999999999,8.205317789643945e-05
information,S,imdb_sklearn,stuart_maxwell,6,6,1.0,3.294985785336889e-74,6.834001016881112e-13,1.0359130259707558e-05,0.05292607666021746,0.009700000000000047,0.0002348190349638759
information,S,mental,mcnemar_exact,6,6,1.0,2.69718439421178e-75,2.4116146433910486e-69,9.315593019970916e-44,0.09734456934731484,0.016721513182257584,0.0003825749602213418
information,S,news,stuart_maxwell,6,6,1.0,2.742195838067932e-284,6.2060181116797184e-167,3.8522067661650966e-31,0.1790994784201237,0.06219093118766239,0.00342915533367405
information,S,sst2,stuart_maxwell,6,6,1.0,1.2805308271224468e-259,4.4606725260976854e-33,6.107963418348283e-06,0.0863075944071751,0.014600000000000023,0.0003588846248263164
