model,dataset,variant,label,proportion,macro_f1
Llama-3.2-3B,FiQA-SA,Base,positive,0.2867557715674362,0.4598915552665369
Llama-3.2-3B,FiQA-SA,Base,negative,0.7132442284325639,0.4598915552665369
Llama-3.2-3B,FiQA-SA,E,positive,0.514247551202137,0.595157855259749
Llama-3.2-3B,FiQA-SA,E,negative,0.4857524487978629,0.595157855259749
Llama-3.2-3B,FiQA-SA,I,positive,0.296875,0.470285018356557
Llama-3.2-3B,FiQA-SA,I,negative,0.7031250000000001,0.470285018356557
Llama-3.2-3B,FiQA-SA,S,positive,0.3232505643340858,0.5004206480257969
Llama-3.2-3B,FiQA-SA,S,negative,0.6767494356659143,0.5004206480257969
Llama-3.2-3B,FiQA-SA,N,positive,0.3486078886310905,0.4854572696297754
Llama-3.2-3B,FiQA-SA,N,negative,0.6513921113689096,0.4854572696297754
Llama-3.2-3B,FiQA-SA,F,positive,0.4601910828025478,0.5554494922533697
Llama-3.2-3B,FiQA-SA,F,negative,0.5398089171974523,0.5554494922533697
Llama-3.2-3B,FiQA-SA,T,positive,0.18280297901150974,0.3897006678256151
Llama-3.2-3B,FiQA-SA,T,negative,0.8171970209884902,0.3897006678256151
Llama-3.2-3B,FiQA-SA,J,positive,0.404391582799634,0.5398590209395104
Llama-3.2-3B,FiQA-SA,J,negative,0.595608417200366,0.5398590209395104
Llama-3.2-3B,FiQA-SA,P,positive,0.3747276688453159,0.5069568398439803
Llama-3.2-3B,FiQA-SA,P,negative,0.6252723311546841,0.5069568398439803
Llama-3.2-3B,IMDb,Base,positive,0.4638771824202288,0.927965996497824
Llama-3.2-3B,IMDb,Base,negative,0.5361228175797712,0.927965996497824
Llama-3.2-3B,IMDb,E,positive,0.4757320497392699,0.9322557101002048
Llama-3.2-3B,IMDb,E,negative,0.52426795026073,0.9322557101002048
Llama-3.2-3B,IMDb,I,positive,0.4523713826366559,0.920310314928281
Llama-3.2-3B,IMDb,I,negative,0.547628617363344,0.920310314928281
Llama-3.2-3B,IMDb,S,positive,0.43627083020567486,0.9123239707394948
Llama-3.2-3B,IMDb,S,negative,0.5637291697943252,0.9123239707394948
Llama-3.2-3B,IMDb,N,positive,0.47599261311172664,0.9248520077690676
Llama-3.2-3B,IMDb,N,negative,0.5240073868882733,0.9248520077690676
Llama-3.2-3B,IMDb,F,positive,0.48469901348902755,0.9342574717149392
Llama-3.2-3B,IMDb,F,negative,0.5153009865109724,0.9342574717149392
